Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Alvey, Mark	3	1	2	4	3	2	3	3	3	2	2	2	2	1	-	3	-	2	2	1	-	3	44
Bandy, Daniel	1	1	2	-	-	1	-	-	1	1	1	-	1	1	-	-	1	1	1	2	1	3	19
Bartlett, Trent	2	5		-	-	2	2																11
Birss, Shane		2	2	1	1	-	-	-	3	-	1	-	2	-		1	2	-	-		2		17
Bowden, Patrick			-	-																-		1	1
Brown, Nathan	4	2	1	4	1	3	3	5	2	1	3	4	2	2	3	-	3	-	1	-	-	1	45
Croft, Matthew	3	1	-	2	3	4	2	1	5	2	2	3	2	7	1	3	4				3	-	48
Cross, Daniel										1	-			1	1								3
Darcy, Luke	1	1	-	1	3	1	2	-	2	-	1	-	2	1	-	2	-	2	3	-	2	-	24
Dimattina, Paul	-	-		-	1	1	-		1	-	2	-	-		-	4	1	-	1	2	-	-	13
Eagleton, Nathan					1	-	-	-	-	-	1	1	1	1							-	3	8
Garlick, Simon	1	2	4	4	2	-	2	3	1	1	-	-	-	5	2	-	1	-	2	4	2	2	38
Giansiracusa, Daniel	-	-	-	1	-	3	1	-	2	3	1	1	3	3	-	1	-	1	-	1	-	-	21
Gilbee, Lindsay			2	1	-	-	2	1	1	-	2	-	1					2	-	1	1	1	15
Grant, Chris	1	2	-	5	2	-	-	-	10	-	-	5	1	3	2	2	3		2	1	3	4	46
Hahn, Mitch		1	1	1												-	-	1	1	3	1	1	10
Hargrave, Ryan	2	-	2			1		2	1	2	1	2	5	-	2	2	3	-	1	2	1	1	30
Harrison, Ben	1	-	-	4	2	4	-	2	2	2	3	3	2	3	3	3	1	-		2		-	37
Hunter, Kingsley	1	2	-	1	2		3	2	1	4	2	5	1	1	-	2	5	2	4	-			38
James, Aaron	-																						
Johnson, Brad	-	2	1	1	-	3	3	5	3	2	1	3	3	3	5	4	-	-	1	1	2	1	44
Kretiuk, Steven	1		-	2	-	3	2	3	-		3	2	3	-	4		2	1	2	1	6		35
Lake, Brian																					-		
Liberatore, Tony	-	-	1	1	1	2	-	-	-	3	-	-	1		2	2	-						13
McGuinness, Kieran														-	1				-			3	4
McMahon, Jordan	2	2	-	1	-			-						2	-	-	1	1	1	1	1	-	12
Murphy, Robert				1	4	2	4	5	1	7	4	-	-	1	2	2	2	9	2	4	2	7	59
Penny, Luke	2	3																4	2	1	-		12
Power, Sam																	1	-	1	2	4	-	8
Robbins, Matthew	10	6	-												-	2		1					19
Saunders, Nathan						-	-	-	-	-	-	-	-	-		-							
Smith, Rohan	1	6	3	5	1	6	3	4	1	-	2	1	3	2	6	-	7	2	5	9	2	4	73
West, Scott	-	3	3		3	3	1	4	2	4		1	-	-	2	4	4	-	3	2			39
Wiggins, Patrick																						-	
Totals	36	42	24	40	30	41	33	40	42	35	32	33	35	37	36	37	41	29	35	40	33	35	786
Opponent	AD	KA	WC	BL	ME	CA	CW	SY	GE	RI	FR	SK	PA	ES	HW	AD	KA	WC	BL	ME	CA	CW	
