Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	SF	Tot
Alessio, Steven			1	-	-	1	-	2	3	1	-	1		1	-	-							-	1	11
Bannister, Jordan					-									-	-	-	-								
Barnard, Paul	1	2	-	1	-	-	2	1	1	1	-	3	2	-	-	-	-	1	1	1	1	1	2	2	23
Blumfield, Justin	1	2	1	-	-	-	-	2	1	-	-	1	1	1	1	-	-	-	-	-			-	-	11
Bolton, Mark	1	-	-				-			-	-	-	1	-	-	-	-	1	-	1	2	-	2	-	8
Bullen, Marcus																					-	-			
Caracella, Blake	-	3	-	1	-	1	-	3	-	-	-	-	-	2	1	3	-	2	-	-	3	-	2	1	22
Davies, James											-														
Fletcher, Dustin	-	-	-	-	1	-	-	-	-	2		-	-					-	-	-	-	-	-		3
Forster-Knight, Robert	-	-	-	-	-	-	-	-	-	-	-	-	-	-			-		-	-				-	
Hall, Ken												-													
Harvey, Shane						3	-	1	-	1								-				1			6
Heffernan, Chris	1	-	1	-	-	-	-	2	2	-	-	2	2	-	-	-	-	1	-	1	-		-	-	12
Henneman, Aaron	-	-	-	-	-	-						-										-			
Hille, David	1	-	-	1	-	1	1	1	-		1	-	1		1	1	1	-	-		-	1			11
Hird, James	2	2	1	1	-	-								-	2	-	-	2	-	1	-	-		-	11
Hunt, Sam																				1		-	-		1
Jacobs, Danny	-	-	-	-	1	-	1	-	-	1	2	-	-	1	-	-	-	-	-	2	-	-	1	-	9
Johnson, Jason	-	-	1	1	-	1	2	3	-	-	-	1	-	-	-	-	-	1	1	-	-	1	1	1	14
Johnson, Mark	-	-	-	-	-	-	1	-	1	-	-	-	-	-	-	-	-	-	1	-	-	-	1	1	5
Lloyd, Matthew	6	3	3	6	2	1								5	1	2	2	1	1	5	4	5	-		47
Lucas, Scott	1						-	4	2	2	2	1	1	1	-	1	2	1	1	1	1	1	3	-	25
McAlister, Daniel						-						-	-												
McGrath, Cory				1	-	-	-	-																-	1
McVeigh, Mark	-	-	-	1	-	-	1	1	-	-	-	1	3	-	-	-	-	-	-	-	-	-	-	-	7
Mercuri, Mark	1	1	-	1	-			-	1	1	-	-	2												7
Misiti, Joe	2	1	1	1	-	-	-										-	-	1	-	-	-	-	-	6
Moorcroft, Gary	-	1								1	-		-		-	-	-	-	2	5	1	-	3	-	13
Peverill, Damien	-	-	-	3	-				-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	5
Ramanauskas, Adam	1	1	-	1	-	-	3	-	-	1	-	-	3	1	1	-	-	-	-		-	-	-	1	13
Reynolds, Joel			-	-				2	-	1	-			1	-	1									5
Richards, Ted		-		-																					
Rioli, Dean					-	-	1	2	1				1	2	1	-	-	1		1	1		-	1	12
Salmon, Paul							-	2	-	-	2		1	1			2	-	1	-	-	1	1	-	11
Wellman, Sean	-	-	-			1	-	-	-	-	-	-	-	1	-	-	-	-	1	-	-	-	-	-	3
Welsh, Andrew							-	-	-	-	-	-	-	-	-	-			-	-	-		1	-	1
Totals	18	16	9	19	4	9	12	26	12	12	7	10	18	17	8	8	7	11	11	19	13	12	17	8	303
Opponent	GE	RI	BL	AD	CW	FR	CA	SK	SY	KA	PA	HW	ME	WB	WC	GE	RI	BL	AD	CW	FR	CA	WC	PA	
