Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Ablett, Gary	4	-	3	8	7	3	2	4	4	-							-	1					36
Bartel, Jimmy	7	6	5	11	15	9	6	4	2					1							6		72
Burns, Ronnie		7	4	3	3			4	4	4	3	4	5	2	4	4	4	8	6		10	9	88
Chambers, Paul				1	1	-																	2
Chapman, Paul	6							5	14	5	7	5	6	12	10	11	10	11	12	7	9	8	138
Clarke, David	23	12	8	24	18	17	9	6	24	17	9	11	13	12	13	12	14	3	17	9	15	17	303
Corey, Joel	16	4	10	10	13	10	8	13	14	9	9	8	8	5		8	19	6	9	8	3		190
Enright, Corey	13	12	6							11	11	19	12	10	14	5	15	14	8	11	10	18	189
Foster, Daniel	2	2	8	7	3	3	2	3								8	1	6	1				46
Gardiner, Charlie											6	3	2										11
Graham, Ben	2	1	8	6	8	6	10	7	4	7	7	6	11	5	5	7	3	-	2	11	6	6	128
Grgic, Brent	7	2							5	9	4												27
Harley, Tom	8	8	7	15	12	8	7	5	6	13	6	3	7	5	4	6	5	14	7	7	11	8	172
Hunt, Josh			2	6		5	1							5	3	1							23
Johnson, David	5																						5
Johnson, Steve						10	3						6	7	9	8	9	6	9	9	11	6	93
Kelly, James						-			3	5	8	14	8	16	8	12	11	8	5	13	6	11	128
Kilpatrick, Glenn			12	18	-					1	3	10			-	4	11	7	4	4			74
King, Steven	12	8	4	5	5	12	10	7	6	7	7	12	14	5	6	15	2	11	10	8	10	7	183
Kingsley, Kent	7	2	7	10	10	7	10	2	6	7	7	6	8	3	4	4	8	7	4	3	17	3	142
Ling, Cameron	14	9	12	19	15	13	14	9	10	11	19	15	11	10	19		19	11	7	23	14	11	285
Lord, Aaron	21	13	10	8	8		5	10	4		6	5	3	6	4	9	6			9		3	130
McGrath, Tim	15	5																					20
Mensch, David			2																				2
Milburn, Darren				7	4	12	15	8	12	8	11	5	11	9	11	8	8	-					129
Mooney, Cameron	1	7	3	3	9	-	6	3				3	5	3	6	8	5	3	4	3	10	6	88
Rahilly, James	3	8						7					8	5	12	13	7	16	4	7	3	12	105
Riccardi, Peter	13	9	4	8	7	3	13	14	11	10	12	9	7	7	8	11	9	4	9	4	5	10	187
Rooke, Max		5	10	7	4	7	2	14	4	8	8	6	7							5	9	4	100
Sanderson, Brenton	16	10	8			8	12	15	7	8			4	6	-							6	100
Scarlett, Matthew	7	11	8	2	5	9	9	18	8	6	9	5	10	9	10	9	3	9	2	10	5	7	171
Sholl, Brad	13	11	15	8	9	10	7	10	8	-	17	7			8	10	8	14	8				163
Slade, Will																			5	5	5	3	18
Street, Peter										2	3	1									6	1	13
White, Mitchell					4	5													2	9		10	30
Wojcinski, David				11	7		6	8	6	10	5	8	8	4	6	3		8	7	3	6	4	110
Woolnough, Marc							4		3											4	4		15
Totals	215	152	156	197	167	157	161	176	165	158	177	165	174	147	164	176	177	167	142	172	181	170	3716
Opponent	ES	AD	KA	SK	FR	BL	HW	PA	WB	ME	CA	SY	RI	WC	CW	ES	AD	KA	SK	FR	BL	HW	
