Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	Tot
Bassett, Scott										2	-						-	-	-							2
Bishop, Matthew	-	2	1	1	-	3	1	1	-	-	-	-	-	-	-	-	1	1	-	2	1	-	-	1	1	16
Brogan, Dean																						-				
Burgoyne, Peter	-	-	1	1	-	-	-	-	2	-	-	-	2	-	1	-	-	1	-	1		1	1	1	-	12
Burgoyne, Shaun			-	-						1	-	-	1	-	-		2	-	-	-	-	-	-	-	-	4
Carr, Josh	1	-	-	-	-	-	-	-	-	-	1	1	1	-	-	1	1	-	-	-	-	1	-	-	-	7
Cassisi, Domenic														-	-			-	-	-	-					
Cockatoo-Collins, Che	3	-	2	1	1	-	-	-	2	1	-	1	2	1	-	1	-	1	-	1	-			2	-	19
Cornes, Chad	1	2	2	-	3	2	1	3	1	2	1	1	1	2	1	2	3	3	1	3	-	4	2	9	2	52
Cornes, Kane					-		-	1	-	-	-						-	1	-	1	-	-	-	-	-	3
Crabb, Jaxon																		-	-	-	-					
Dew, Stuart	-	-	-			-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
Francou, Josh	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	1
French, Barnaby	-				-	-		-	-	-	1	1	1	-			-	-	-	-	1	-	1	-	-	5
Guerra, Brent	-	-	-	2	-	-		-	-	-	-	-	-			-	-	-	-	-	-	-	-			2
Hardwick, Damien		-	-	1	-	-	1	-	1	-	-	1	1	-	-	-					-	-	1	-	-	6
James, Roger	-	-	-	-	-	-	-	-	-	-	1	-	-	-	1	1	-		-	-	-	-	-	-	-	3
Kingsley, Adam	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-						-	-	-	1
Lade, Brendon	-	-	2	-	1	1	-					-	-	1	2	-	-							-		7
Mead, Darren		2	1	2	2	3	2	-	1											-	1	-	-			14
Montgomery, Brett	4	1	-	1	2	1	1	1	3	1	-	-	-	2	-	3	-	-	2	2		1	-	-	2	27
Morgan, Adam															-	1										1
Murray, Allan																			-							
Murray, Derek	-	-																								
Paxman, Stephen																		-	1	-	-	-	-	-	1	2
Poulton, Jared	-		-	-	1	1	-	-	-	-	-	1	-	-	-	1	-	-	1	2	2	-	1	-	-	10
Primus, Matthew	-	1	-	-		2	-	2	1	1	-	-	1	1	-	-	2	-	-	1	1	-	1	-	-	14
Schofield, Jarrad	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						-	1	-	-	1
Stevens, Michael	-	-		-	-		1									-	-	-			-					1
Stevens, Nick	-	-	-	1	-	-	1	1	-	-	-	-	-	-	1	-	-	-			-	-	1	-	-	5
Tredrea, Warren	1	-	5	3	3	4	3	2	-	6	2	2	1	2	6	2	4	4	2	4	3	1	3	4	-	67
Wakelin, Darryl	1	-	3	1	1	1	2	-	2	1	2	1	1	3	3	-	1	-	2	1					2	28
Wanganeen, Gavin	1	-	-	-	-	-	-	-	-			-	-	-	-	-				-	-	-	2	2	-	5
Totals	12	8	17	14	14	18	13	11	13	16	8	9	13	12	15	12	14	12	9	18	9	8	14	19	8	316
Opponent	KA	ME	SK	CA	AD	WC	BL	GE	CW	HW	ES	RI	WB	FR	SY	KA	ME	SK	CA	AD	WC	BL	CW	ES	BL	
