Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Biddiscombe, Craig					1						1											2	4
Bowden, Joel	2	7	2	2	2	4	1	1	5	4	1	2	2	-	5	2	2	5	2	3	3	2	59
Cameron, Leon	1	3	-	5	1	3	5	3				4	2	2	1	-	-	-	3	2	1	2	38
Campbell, Wayne	1	2	5	1	1	1	-	1	-	1	1	4	1	-	4	-	4	1	10	5	-	3	46
Chaffey, Mark			2	1	3	2	1	3	2	3	4	2	-		2	2	1	8	4	2	2	3	47
Coughlan, Mark				2	-	-				-	-	1	1	2	-	2	3	-	-	1	1	1	14
Ednie, Craig						-	2	1	-					-	-	-							3
Fiora, Aaron	-	4	2	4	1	-	-	1	1	-			1	3	4		1	-	1	2	1	2	28
Gaspar, Darren	1	1		6	2	3	9	6	1	3	4	2		1	3	2	3	3	4		4	4	62
Hall, Ray	-	-	1	2	2	2	1			2	-	-	3	-	-	-	2	1	-	3	-	-	19
Hilton, Rory	-	-	1																				1
Holland, Ben	-	1	4	-																			5
Houlihan, Adam	1	4	-	1	2	-	1	-	1	-	-	2				1							13
Hudson, Paul					-	-							-										
Hyde, Chris														1	3								4
Kellaway, Andrew	3	4	1	-	2	2	1	1	1	-	4	1	2	2	-	5	7	2	3	-	3	6	50
Kellaway, Duncan									-	1	2	2	-	-	-	2	-	1	2	2	2	1	15
King, Clinton	1	1	4	1	1	-	1	-	1	-	-	-	-				-	-	2	-	1	2	15
Knights, Matthew	4	1	4	3	2	2	-	1	1	2	-	-		-	2	2	2						26
Krakouer, Andrew	-	-	-	-			-	-	-		-	-	-						-	-	-		
Mills, Andrew																		-	-	-	-	-	
Newman, Chris									2	1	1	-	1	1	1	1	1	-	-	-	-		9
Ottens, Brad	1	-	-	-	-	-	-	-	1	-			2	-	-	1	-	-	-	1	2	2	10
Pettifer, Kayne						-	-	-		-	-			2	-	-	-	-					2
Poyas, Ezra			-	2	-																		2
Richardson, Matthew	-	-				-						-	-	-		-	-	-	-	-	-	1	1
Rodan, David	1	-	-	-	-	1	-	1	-	-	-	-	1	-	-	-	1	-	-	1	1	-	7
Rogers, Matthew	1	1	-	1			3	4	2	1	4	3	2	-		2	2	1	2	3	3	3	38
Stafford, Greg	-	1	1					1	2	2	1	1			3	-	-	-	-	-	1	-	13
Sziller, Steven	-	-	2	-	-		-	-	-	-	-	1	2	1	1							-	7
Tivendale, Greg	2	2	3	1	1	3	2	3	-	-	2	1	5	2	3	4	4	1	1	-	1	-	41
Torney, Jason	3	5	2	1	7	1	2	2	1	2	1	1	2	-	2	1	2	4	-	5	1	1	46
Vardy, Royce					-	6	-	-	1				1							-			8
Zantuck, Ty	1	2	1	2	5	4	3	2	4	2	3	2	4	2	3	2	6	-	10	4	6	2	70
Totals	23	39	35	35	33	34	32	31	26	24	29	29	32	19	37	29	41	27	44	34	33	37	703
Opponent	CW	ES	ME	FR	HW	AD	SY	WC	SK	WB	KA	PA	GE	CA	BL	CW	ES	ME	FR	HW	AD	SY	
