Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	GF	Tot
Akermanis, Jason	5	12	10	6	9	6	2	5	8	8	10	6	8	8	4		7	6	7	6	7	4	7	8	6	8	173
Ashcroft, Marcus	2	2	-	3	4	1	-	1	1	3	2	5	6	3	5	4	2	3	6	5	3	4	4	2		1	72
Black, Simon	9	15	16	12	10	10	10	14	15	8	14	17	12	18	5	7	15	12	8	12	6	19	10	13	8	25	320
Bradshaw, Daniel	6	2	10		9	-	7	2	5	1	1		1	3	3	4	4	5	5	2	4	1	3	2	5	6	91
Brennan, Jared				6	3	3	3	3			2	2															22
Brown, Jonathan	4	11		8	4	3			3					8	3	5	15	8	11	11	9	10	12	8	8	8	149
Caracella, Blake	5		7					6	13	11	7	3				3	2	7	9	1	3	9	-	7	7	13	113
Charman, Jamie	2	2	3	4	2	5	8	6	6	2	9	5	4	9	5	10	4	5	4	5	2	4	5	4	6	3	124
Copeland, Robert									2	8	7	8	6	3	4	3	4	3	6	4	2	3	3	6	3	3	78
Gram, Jason													2	1													3
Hadley, Richard																								2	4	3	9
Hart, Shaun	7	4	6	10	6	3	8	5	5	3		-	6	11	4	6	3	3	9	4	2	7	8	5	3	6	134
Johnson, Chris	4	5	5	7	6	5	3	3	7	5	1	7	4						1	6	9	5	6	6	5	5	105
Keating, Clark															2	2	5	1	6	6	3	3	3	8	3	5	47
Lappin, Nigel	10	16	5	10	11	11	5	11	7	8	8	17	8	13	6					7	9	12	5	15	9	4	207
Leppitsch, Justin	8	6	3	8	10	2	9	6	4	6	2	2	8	7	9	4					10	6	3	7	2	6	128
Lynch, Alastair	4	3		-			5	7	3	7	10	8	8		4	6	9	2	4	2	3	10	4	6	5	9	119
McDonald, Beau			2	1	4		7		5	1	1		-	1													22
McGrath, Ashley		1	6	2	4	7	1			3	3	2	5	4	2	5	3	-	5	3		8	7	7	7	5	90
McLaren, Dylan	-	1				1		-				4															6
McRae, Craig				4	3	4	3	3	3	7	5	9	5	3	7	8	4	11	6		1			3	8	9	106
Michael, Mal	9	6	1	3	8	4	1	-	3			2	5	8	4	-	1	2	7	-	5		4	2	4	5	84
Morrison, Shane			3					1																			4
Notting, Tim	4	5	2	3	1	7	2									3	1	1	-			5	1		2		37
Pike, Martin	4	5	2	2	4	6	4	1	4	7	8	5	4	6	3	4	12	8	3	4	8		5	5	8	5	127
Power, Luke	5	10	7	7	6	8	13	8	9	13	11	11	12	5	10	14	9	5	6	11	9	8	8	10	5	5	225
Scott, Brad	1	9	4	2	5	11	6	5	11	6	5	7	3	1	4	6	1	3	8	6	8	-					112
Scott, Chris	4	7	3	5	2	3	7	4	8	8	6			6	8	1		7		7	8	2	7				103
Shattock, Aaron	7	5	4					3	2	1	2	6	4	5	2	9	3	3	3	-	9	3					71
Voss, Michael	16	8	6	11	15	13	6	13	11	8	4		11	6	13	14	8	7	4	21	7	9	3	12	3	9	238
Weller, Luke												4	4	-			2										10
White, Darryl	2	3	4	6	4	2	1			2	3	5			3	5	4	2	8	2		5	10	3	4	7	85
Totals	118	138	109	120	130	115	111	107	135	126	121	135	126	129	110	123	118	104	126	125	127	137	118	141	115	150	3214
Opponent	ES	PA	KA	CW	WB	GE	SY	AD	CA	ME	SK	WC	RI	FR	HW	ES	PA	KA	CW	SY	GE	WB	CW	AD	SY	CW	
