Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	GF	Tot
Akermanis, Jason	5	3	4	1	11	-	-	3	7	3	5	2	3	4	2		3	9	5	5	8	4	5	2	2	3	99
Ashcroft, Marcus	4	3	-	2	2	2	1	3	5	2	3	3	2	1	2	-	3	3	9	2	6	2	4	2		2	68
Black, Simon	1	1	3	5	4	3	-	3	9	1	3	5	1	5	3	1	2	3	3	-	2	1	6	4	2	2	73
Bradshaw, Daniel	9	3	5		7	5	3	2	8	3	-		5	1	1	7	5	9	8	2	14	6	5	1	11	7	127
Brennan, Jared				6	9	2	5	1			3	2															28
Brown, Jonathan	9	4		10	3	6			2					6	8	6	8	6	7	8	3	10	9	4	9	8	126
Caracella, Blake	3		5					6	8	7	6	1				3	5	10	9	-	3	7	-	3	7	3	86
Charman, Jamie	2	3	6	-	2	6	2	3	2	3	4	1	7	2	6	3	2	3	1	2	8	4	3	1	3	2	81
Copeland, Robert									1	2	4	3	2	3	4	10	2	5	4	-	4	3	8	3	1	4	63
Gram, Jason													1	2													3
Hadley, Richard																								1	3	2	6
Hart, Shaun	2	2	5	6	4	4	2	7	11	3		-	2	7	2	2	4	7	5	6	3	4	4	4	4	4	104
Johnson, Chris	3	3	7	3	5	4	5	5	8	5	10	-	3						-	5	4	7	5	1	4	4	91
Keating, Clark															2	2	3	1	2	2	2	2	-	2	1	1	20
Lappin, Nigel	8	7	3	7	3	9	5	4	8	3	9	4	2	6	5					6	6	5	7	4	6	7	124
Leppitsch, Justin	6	7	8	5	5	5	3	6	8	7	3	4	4	7	12	2					8	8	9	1	5	3	126
Lynch, Alastair	7	1		2			4	6	6	8	4	8	7		5	5	4	4	3	-	1	5	3	7	3	8	101
McDonald, Beau			2	3	1		2		-	7	1		1	-													17
McGrath, Ashley		1	2	1	4	2	1			-	2	8	3	5	2	3	4	3	5	2		3	1	5	2	3	62
McLaren, Dylan	1	2				1		1				-															5
McRae, Craig				2	1	2	-	4	-	2	4	-	2	-	5	3	3	3	1		-			1	-	1	34
Michael, Mal	4	6	3	3	8	3	-	1	2			4	4	3	6	1	8	3	7	3	2		10	1	8	1	91
Morrison, Shane			4					1																			5
Notting, Tim	4	3	5	3	5	4	-									2	1	3	2			3	-		-		35
Pike, Martin	2	3	7	2	4	2	3	4	7	11	5	2	7	4	6	11	7	5	6	2	1		4	4	5	4	118
Power, Luke	2	7	2	5	6	3	4	6	5	4	3	3	3	9	5	2	3	10	3	2	5	7	3	5	7	6	120
Scott, Brad	8	7	8	7	10	4	3	8	7	4	5	-	4	3	5	4	6	3	5	4	7	-					112
Scott, Chris	6	5	8	8	4	3	7	9	7	7	5			7	7	1		6		4	1	9	4				108
Shattock, Aaron	4	-	2					1	2	2	4	4	2	6	1	7	4	3	3	1	5	4					55
Voss, Michael	4	2	9	2	6	3	2	8	10	5	2		5	4	6	6	4	2	5	7	-	2	-	3	3	5	105
Weller, Luke												2	2	1			2										7
White, Darryl	-	2	4	7	3	5	1			4	5	5			6	2	5	3	10	6		6	8	3	6	5	96
Totals	94	75	102	90	107	78	53	92	123	93	90	61	72	86	101	83	88	104	103	69	93	102	98	62	92	85	2296
Opponent	ES	PA	KA	CW	WB	GE	SY	AD	CA	ME	SK	WC	RI	FR	HW	ES	PA	KA	CW	SY	GE	WB	CW	AD	SY	CW	
