Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	SF	Tot
Alessio, Steven	2	-	1	-	-	1	-	1	1	-		1		-			-	1	2	1					11
Bannister, Jordan	-	4		3	-		-																		7
Barnard, Paul		1	1		-		1	-			-	-	1		-		-							-	4
Bolton, Mark				3	3	1	1	3	-	1	2	-	-	-	-	2	-	-	-	1	2	-	1	4	24
Bullen, Marcus									1	-	3	1	2	-	-	2	-	1	-	1	-	-	-	1	12
Cupido, Damian	1	1	-	-	-	3		1	-	-	-	3	-	-	1	1	-	-	2	-	-	-	-	-	13
Davies, James								-		-															
Fletcher, Dustin		7	4			1						3	7	6	6	4	4	7	6	9		4	2		70
Forster-Knight, Robert	2									-	1				2										5
Harvey, Shane				1	-		1														-				2
Haynes, Ben																		2	1	1	-	-	-	-	4
Henneman, Aaron																-				-	-	2	-	-	2
Hille, David	-	-	-	-	-	-	-	1	1	1	1	-	-	-	2	1	1	-	1	-	1	-	1	-	11
Hird, James	1	-	3	5	1	1	-						6	2	5	4		1	4	1	2	2	1	-	39
Jacobs, Danny	9	1	3	6	6	-	5	3	4	9	1	2	2	2	-	-	4	2	-	5	1	-	3	3	71
Johnson, Jason	2	1	-	1	4	2	2	3	4	2	3	4	1	2		-	2	1	-		1	2	2	-	39
Johnson, Mark	3	1	2	4	3	2	2	1	3	3	3	1	1	1	1	2	2	4	1	1	2	3	3	1	50
Lloyd, Matthew	-	-	-	-	-	-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Lucas, Scott	4	1	3	3	2	4	-	-	-	-	-	1	-	2	3	4	-	4	7	5	5	10	-	3	61
McGrath, Cory						-		-	-	1					3				1	2			1	-	8
McPhee, Adam	2	3	2	1	-	2	2	1	2	1	-	-	-	1	1	2	1	-	3	4	1	-	2	4	35
McVeigh, Mark	1	-	3	-	-	-	5	1	-	2	2	-	2	1	1	-	2	-	2	1	2	2	7	2	36
Mercuri, Mark	1	1	1	2			-	1	-	2	-	2					-	-	-	-	1	-			11
Misiti, Joe	-	2	-		-	1	-	1	3		-	1	1	-		1	2	1	-	1	1	1	2	3	21
Peverill, Damien	4	3	2	2	2	-	-	-	2		1	1	-	-	1	2	5	2	1	1	2	-	2	1	34
Ramanauskas, Adam	2	2	1									-	1	4	2	1	3	-							16
Reynolds, Joel	1	5	1	-	-	1	2	-	1	-	-		-	-	-										11
Richards, Ted				-	-			-	-	-	-			-	-	-					-				
Rioli, Dean	1	4	1	2	2	-			-	1	1	3				-	1	1		1	3	3	-	-	24
Solomon, Dean	2	4	2	1	1	-	1	-	-	1	2	1	2	-	-	5	3	5	1	-	3	-	-	1	35
Walsh, Darren				1		-																			1
Watson, Jobe													1												1
Wellman, Sean	6	3	6			6	1	4	2	3	5	6	2	5	1	-	4	3	2			-	2	5	66
Welsh, Andrew	1		3	4	3	2	2	3	1	6	5	1	4	6	3	4	-		1	4	4	3	5	2	67
Winderlich, Jason							-	-	-																
Totals	45	44	39	39	27	27	25	24	25	33	30	31	33	32	32	35	34	35	35	39	31	32	34	30	791
Opponent	BL	ME	CA	WB	CW	FR	RI	HW	PA	WC	SY	KA	GE	SK	AD	BL	ME	CA	WB	RI	FR	CW	FR	PA	
