Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	Tot
Bell, Peter	2	1	3	-	1	2	1	2	-	-	1	3	2	3	-	2	-	2	-	1	-	-	1	27
Browne, Andrew	-	-	-																					
Carr, Matthew	1	-	1	-	-	-	1	-	-	-	-	-			-	-	1	-	1	-	-	-	1	6
Cook, Troy	-	-	2	-	-	2	-	-	1	1	2	-	1	2	-	7	-	1	3	1	3	1		27
Croad, Trent			1	1	3	3	1	1	-	-	-	-	-	1			3	-	-	-	-			14
Cunningham, Ben												-												
Farmer, Jeff	-	1	1	-	-	1	1	-	-				2	-	-	1	-	2	1	2	2	1	1	16
Grover, Antoni	1	-	1	1	-	-	-	-	-	-	-	1	1	-	1	-						-	-	6
Haddrill, Robert	1	-	1	-	-	1	-	-	-	1	-	3	-	1	3	-	-	1	-	-	-	-	-	12
Haines, Daniel	1	2	2	-	1					-	1													7
Hasleby, Paul	2	-	2	1	2	-	-	1	-	2	-	3	1	1	-	-	1	-	1	-	1	2	1	21
Hayden, Roger	1	-	2	1	1	1	-	1	2	2			2	-	-	-	-	-	-	-	-	2	1	16
Headland, Des	1	1	1	1	-	2	-	-	3	2	-		-	3	1	3	-	-	1	-	-	2	-	21
Jones, Anthony	-																							
Koops, Steven				1	2	2	-	-	-	1	2	1	-	1	-	1								11
Longmuir, Justin		-	-	-	3	-	-	1	-	-	1	1	-	-	-	1	-	-	-	1	-	1	-	9
Longmuir, Troy	-	1	1														-	1	2	-	-	-	-	5
McManus, Shaun	1	-	1	2	1	1	-	1	1	2	-	-	1	2	1	2	1	4	1	-	2	1	-	25
McPharlin, Luke												-	1	-	1	-	1	2	2	-	-	1	1	9
Medhurst, Paul	2	2	1	-	2	1	-	-	-	2	-	-	1	-	-	-	1	1	-	1	1	2	1	18
Parker, Shane				1	-	1							-	-	-	-	-	-	-	1	-		1	4
Pavlich, Matthew	1	3	3	1	-	1	-	-	-	1	-	1	-	-	1	-	1	-	1	1	-	2	2	19
Polak, Graham	2	-		2	1	1	1	1	1	1	-	-	-	4	1	-	2	-	-	-	2	-	-	19
Sandilands, Aaron	1	-	1			-	1	1	-	1		1	1	2	-	1		1	-	1	1	1	-	14
Schammer, Byron	-	-					2	-	-	1	-	-	1	-	1	-	-	-	-	-	1			6
Siegert, Andrew			-								1	1	-											2
Simmonds, Troy	1	2	-	2	1	1	1	-	-	2	3	1	1		1	1	-	-	-	-	1	-	1	19
Thornton, Scott											-	1		-								-	-	1
Walker, James	1	-	-	-	-	-	-	1	-	-	-	-	-	1	-	-	1	-	1	-	-	-	-	5
Waterhouse, Clive				-	-	1	-	-	1	1	1													4
Webster, Luke														-			-					-	1	1
Woods, Dion	-	-	2	1	1	1	1	-	1	2	-	-			2	-	1	2	-	-	1	1	1	17
Totals	19	13	26	15	19	22	10	10	10	22	12	17	15	21	13	19	13	17	14	9	15	17	13	361
Opponent	AD	SY	RI	KA	WC	ES	WB	SK	ME	CA	PA	GE	HW	BL	CW	AD	SY	RI	KA	WB	ES	WC	ES	
