Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Ablett, Gary	5	-	4	4	1	2	1	1	5	1	2	1	1	1	1	1	3	2	1	3	1	1	42
Bartel, Jimmy				2	-	2	1						1	2	3	2	1	4	3	-		1	22
Callan, Tim																						-	
Chambers, Paul				1	-	1	4	4	1	1	1	7	-				-	1	1				22
Chapman, Paul	1	2	4	2	3	3	3	3	1	-	2	6	1	1	2	-	3	-	3	2	1	5	48
Clarke, David	-	-		-	2	-	4	-	2				-								1		9
Corey, Joel	2	2	4	1	3	1	-	3	5	4	4	1	3	-	2	1	1	1	3	1	1	3	46
Enright, Corey	2	2	1	7	1	4	2	1	4	6	2	1	2	2	3	3	1	3	6	1	-	4	58
Gardiner, Charlie	1	1	-						-	-	1										-	1	4
Graham, Ben	2	2	6	4	3	4	1	3	4	-	7	-	4	2	-	-	4	2	4	1	1	3	57
Grgic, Brent	1	3	1	1	1	4	3	1															15
Harley, Tom							1	4	6	7	6	4	1	3	7	2			5	2	4	4	56
Hunt, Josh						5	1																6
Johnson, David	2	1	-	3	4	3	-	8	2	3		-											26
Johnson, Steve	1	4	1			1		-					7	2	3	2	-	2	1	1	1	1	27
Kelly, James	-	2	1	-	2	2	1	-	2	2		-				1	2	2	2	1	3	2	25
King, Steven	3	3	7	3	6	6	-		3	1	-	4	3	8									47
Kingsley, Kent	-	-	-	2	1	-	1	3			1	-	1	1	1	1					-		12
Ling, Cameron	-	-	4	1	1		-	4	1	-	-	-	-	1	1	-	1	-	-	-	1	-	15
Lord, Aaron										-	-	-		1	3	-	-					-	4
McCarthy, Matthew	2							3	3	-	4	2	6	-				4	1	5	1	1	32
Milburn, Darren	8	3	7	3	1	8	3	3	5	8	5	3		8	8	6	2	4	3		2	5	95
Moloney, Brent														1	-	2	-	1	2	-	-		6
Mooney, Cameron	1		-	2	-	5			2	3	1	2			2	2	1	-		1			22
Playfair, Henry															-		1	2	1	-	-		4
Rahilly, James		2											-	1	-	3	-	1	1	-		-	8
Riccardi, Peter	1	1	1	4	4	5	1	2	1	2	2	1	1	1	-	2			3	1	-	-	33
Rooke, Max	3	1	-	5	1	2	1	1	1	2	4	3	1				2	3	2	1		1	34
Sanderson, Brenton	2	7	6	2	2	2	3	4	4	2	3	2	2	2	3	5	3	2	1	2	3	1	63
Scarlett, Matthew	8	3	5	9	5	5	1	5	4	2	10	3	2	5	5	2	1	2	5	7	6	7	102
Slade, Will				1	1			2	1	1	4		-										10
Spriggs, David	2	3	1						1	5	3	1	2	-	1	1	1	7	2	2	-		32
Street, Peter														-	2	3	-	3		2	1	3	14
White, Mitchell		1	-																				1
Wojcinski, David			1	1	-	1	-	3			2	2	-	1	1	-	2	-	2	2	3	3	24
Totals	47	43	54	58	42	66	32	58	58	50	64	43	38	43	48	39	29	46	52	35	30	46	1021
Opponent	WB	KA	CW	ME	SK	BL	WC	SY	HW	AD	CA	FR	ES	PA	RI	WB	KA	CW	ME	WC	BL	SK	
