Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	Tot
Adcock, Jed							-		-																	
Akermanis, Jason	2	2	6	4	2	3	5	-	4	4	1	3	1	3	2	4	2	1	4	5	2	7	2	1	2	72
Black, Simon	2	4	5	2	1	4	-	1	2	-	3	2	1	3	-	2	6	3	4	4	1	1	-	8	4	63
Bradshaw, Daniel	-	-		-			-	1	2	1	1	2	3	-	-	-	1	-	1	-	1	-	-	1	-	14
Brennan, Jared	2	-				2	1	2	1	2	1	1														12
Brown, Jonathan			5	1	2	1	3	2			4	-	3	1	3					3	1	3	2	1	6	41
Caracella, Blake	1	-	1	1										-	2	6	-	5	-	1	1	1	3	-	1	23
Charman, Jamie	2	3	3	4	2	2	2	3			1	2	4	-	-	2	4									34
Copeland, Robert	1	-	1	1	1	1	3	2	3	3	1	2	2	3	3	4	2	6	-	1	5	3	1	1	1	51
Corrie, Anthony				-	-	3	2		1		2	1							1							10
Hadley, Richard	-	1	1			-	-	1	-	1	2	-	3	-	-	3	2	-	1	2	3	1	-	-	-	21
Hart, Shaun	2	2	4	5	2	-	2	4	4	-				1	1	-		4	1	1	3	1	-	2		39
Johnson, Chris	1	3	2	3	2	4	4	3	3	1	1	3	2	3	2	3	-	2	5	3	2	1	1	4	6	64
Keating, Clark	2	3						-	-									3	2	-	2	-		3	1	16
Lappin, Nigel	3	8	2	2	2	3	4	6	2	5	1	5	1	1	2	-	-	2	5	4	-	2	2	4	5	71
Leppitsch, Justin	2	-	1	1	-	5	5	2	2	1	-	5	1	-	2	3	-		4	1	-	1	2	3	5	46
Lynch, Alastair			1		5	5	2							3	2	2	4	4			1	2		2	1	34
Macdonald, Joel										1	1	2	4	-	-	2	1	2	-				-			13
McGrath, Ashley	-	2	3	1	-			3	3	-	-	1	4	3	-	1	1	1	4	1			1			29
McLaren, Dylan			2	-	1					4	-	1	2	-	-	2	2	1	2	2	-	-	2	2	4	27
McRae, Craig	1	1	-	-	2	2	3	-		-						-	-	-	1	3	-	-	-	-	2	15
Michael, Mal	1	-	2	-	-	3	3	1	-	-	1	1	1	-	-	2	-	1	1	2	1	-	-	-	1	21
Notting, Tim	2	4	1	4	1	3	3	-	2	4	1	2	1	5	1	4	1	4	2	-	1	1	3	3	3	56
Pike, Martin	4	2	5	-	-	1	1	1	-	-	2	3	2	-	1	1	1	2	6	2	2	3	2	2	-	43
Power, Luke	-		2	-	1	4	3	1	11	1	1	2	2	1	1	-	-	1	2	-	-	-	4	-	-	37
Pratt, Daniel									-	-			-													
Rischitelli, Michael																	-									
Scott, Brad	4	-	1	-	3	5	2	-	1	2	1		-										-	2	2	23
Scott, Chris												1	5	-	-	1	-	-		2	3	1	2	3	3	21
Shattock, Aaron		-		-	-	-	1	4	3																	8
Voss, Michael	-	-	3	6	3	2		3	2	1	-	1	2	1	3	2	2	-	1	1	3	1	2	2	3	44
White, Darryl	3	-	1		2	2				3	1	1	4					-	1	1	-	1			1	21
Totals	35	35	52	35	32	55	49	40	46	34	26	41	48	28	25	44	29	42	48	39	32	30	29	44	51	969
Opponent	SY	AD	CW	WC	HW	SK	KA	CA	FR	ME	PA	ES	GE	RI	WB	CW	AD	SY	WC	HW	SK	KA	SK	GE	PA	
