Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Bandy, Daniel																			-	-	-	-	
Bassett, Scott			-	-	-	-	-	-												-		-	
Birss, Shane																	-	-	-	-	-	-	
Bowden, Patrick	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				-	
Boyd, Matthew		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-		-	
Cooney, Adam	-	-	-	-	-	-	-	-		-	-	-	-	-			-	-	-	-	-	3	3
Croft, Matthew				-				-													1		1
Cross, Daniel	-	-									-	-	-	-	-	-	-	-	-	-	-	-	
Darcy, Luke	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Eagleton, Nathan	-	-	-	1	-	-	1	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	4
Faulkner, Cameron						-	-	-	-			-								-			
Garlick, Simon	-	-	-						-	-	-							-			-		
Giansiracusa, Daniel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-								
Gilbee, Lindsay					-	-	-	-						-		-	-	-	-	-	-	-	
Grant, Chris	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Hahn, Mitch	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2
Hargrave, Ryan	-	-		-	-			-	-	-	-	-	-					-	-	-	-		
Harrison, Ben	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	
Johnson, Brad	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	3	-	-	-	3
Koops, Steven	-								-	-	-	-	-	-	-	-	-					-	
Lake, Brian	-	-	-	-	-	-	-			-	-	-	-			-	-	-	-	-	-		
McGuinness, Kieran								-															
McMahon, Jordan			-	-	-	-			1	-		-	-	-	-	-	-	-	-		-	-	1
Minson, Will									-	-	-										-	-	
Morgan, Adam	-	-	-						-					-	-				-				
Murphy, Brad																				-	-	-	
Murphy, Robert	-	-	-	2	-	-	-	-	3	-	-	-	-	-	-	-	-	-	-				5
Power, Sam	-	-	-	-	-	-	-				-	-	-	-	-	-				-	-	-	
Rawlings, Jade	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				1
Ray, Farren							-								-	-	-	-	-	-			
Robbins, Matthew	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Skipper, Wayde									-	-					-	-	-						
Smith, Rohan	-	-	-	-	-	-	3	-	-	-	-	1	-	-	-	-	-	-	-		-	-	4
Street, Peter	-	-	-	-	-	-	-	-				-	-	-	-	-	-		-	-			
West, Scott	-	-	2	3	-	3	-	1	-	-	-	3	1	3	-	-	1	-	-	-	3	-	20
Totals	1	0	2	6	0	5	4	1	4	0	0	6	1	3	0	0	1	0	3	0	4	3	44
Opponent	WC	CW	ME	HW	PA	KA	ES	RI	CA	SY	GE	SK	AD	FR	BL	ME	CW	WC	HW	PA	KA	ES	
