Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Buckley, Nathan	100	96	94				24					83	95	86	97	100	98	91	96	100	100	81	89.4
Burns, Scott	62	91	100	70	100	21				72	90	100	91	75	64	79	92	86	100	98	95	82	82.5
Clement, James	100	100	95	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.8
Cloke, Cameron					76	19			92	61	81	100	82										73.0
Cloke, Jason	67	54	57	26	100	100	60	96	100	61	100	100	31	94			94	70			84	61	75.3
Cole, Richard	95	87	63	100	100	100	50	100	100	100	100	100	85	100	100	66	100	100	100	100	100	91	92.6
Crow, Justin																			43				43.0
Davidson, Tom		40																					40.0
Davis, Leon	68	63				72	92	77	68	60	77	85	61	80	86	80	63	91	84	96	91	100	78.6
Didak, Alan	100	100	91	99	83	80	98	100	100	100	91	97	70	88	83					62	84	94	90.0
Fraser, Josh	100	100	100	88	82					71	100	100	88	83	95	95	100	91	78	91	93	78	90.7
Holland, Brodie	80	89	100	100	100	88	100					88	94	85	84	74	81	90	80	98	77	100	89.3
Johnson, Ben	100	100	99	100	100	47	95	100	87	100	32	100	68	84	81	94	100	90	100	81	100	98	88.9
King, David				41	14	49	15										50	78	78	49	27		44.6
Kinnear, Ben						98	100	52															83.3
Licuria, Paul	100	88	88	100	92	100	100	100	86	97	100	88	100	81	77	85	89	75	100	100	90	100	92.5
Lockyer, Tarkyn										77	97	79	82	74	97	95	100	100	83	100	97	100	90.8
Lokan, Matthew	90	68	100	80	78	100	100	57	100	61	97	64	66			87	67	77	56	62			78.3
Lonie, Ryan	86	100	100	100	75	79	81	100	100	100	100	72	100	100	98	86	100	97	73	100	100	100	93.0
Maxwell, Nick									71	48	67	58			81	57	90	79	100	30			68.1
McGough, Mark					83	79	68	54	65	73	28	61	49							45	63	7	56.3
McKee, Steven	86													27	27	66	77	40	39	16			47.3
Mullins, Luke				54				33	32														39.7
Nixon, Bo		13	45					42															33.3
OBree, Shane	48	75	100	64	81	99	100	95	83					51	64	66	84	87	85	93	48	89	78.4
Prestigiacomo, Simon	100	100	92	93	84	95						93	88	100	100	100	13						88.2
Richards, Guy		42	91	43	33	83	73	82	94	74	86	53	86										70.0
Rocca, Anthony		93	92	100	100	100	100	100	100	79	39		100	73	82	100							89.9
Rowe, Julian														80	63	50	19	39	32		80	36	49.9
Shackleton, Luke																		22					22.0
Shaw, Rhyce	70		41	80	20				69	76	77	27	65			91	100	100	81	97	32	25	65.7
Swan, Dane			100	100	98	92	82	90	19	96	37			51	45	58						99	74.4
Tarrant, Chris	100	100	7				78	87	98	98	100			95	100				92	100	100	100	89.6
Wakelin, Shane	99	100	46	100	100	100	100	74	100	97	100	51	100	100	100	71							89.9
Walker, Tristen	8						84	96	40								100	96	100	83	71	96	77.4
Williams, Andrew	73			81				65													68	63	70.0
Woewodin, Shane	70	100	100	79	100	98	100	100	97	100	100	100	100	91	76	100	83	100	100	100	100	100	95.2
Totals																							
Opponent	RI	WB	BL	FR	ES	PA	CA	SK	AD	KA	WC	ME	SY	HW	GE	BL	WB	RI	FR	ES	PA	CA	
