Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	SF	Tot
Allan, Matthew	88	73	34	73	52	42	55	71	72	73	85	66	65	77	66	63	32	26					62	32	60.3
Alvey, Mark		78		57	55					49	51				56			58	34						54.8
Bolton, Mark	87	100	100	100	100	100	100	100	97	100	100	100	100	95		100	60	90	100	88	87	87	72	100	94.0
Bradley, Kepler	57												78		95	77	82								77.8
Bullen, Marcus	22	77	82	81			25	38	36	45			39		80	76	76			61	82	92	72	78	62.5
Cupido, Damian								70	57									81	70				77	65	70.0
Dyson, Ricky			80	69	84	59	45		40					79	50	60				71	55				62.9
Fletcher, Dustin		100	100	95	90	97	100	100	100	98	87	72		100		71		100	100	87	100	100	100	70	93.3
Haynes, Ben												72	88	62	84	77	68	49	65			74	20		65.9
Henneman, Aaron		55	97	23							64	58	100	76											67.6
Hille, David	69	64	83	71	83	58	79	79	70	47		56	71	29	63	82	83	83	100	81	80	92	84	100	74.2
Hird, James	100	100	100	93	100	100	95	23		99	100	100	100	100	42				100	99	100	89	100	100	92.0
Johnson, Jason	100					79	89	100	92	76	87	97	97	92	100	89	98	100	100	85	97		100	100	93.6
Johnson, Mark		10				75	100	91	100	97	100	100	81	100	93	100	100	100	100	100	100	100	100	100	92.3
Laycock, Jason																			45	25	42	32			36.0
Lloyd, Matthew	100	100	100	100	95	100	100	100	100	100	100	100	100	100	100	100	100	100	70	97	97	100	100	100	98.3
Lovett-Murray, Nathan	49		47	53	60	72	66	62	67	43	61	62	41		78	98	71	70	73		87	59	37		62.8
Lucas, Scott	100	100	100	98	100	98	96	100	100	100	100	100	100	100	30				85	80	92	100	100	100	94.2
McPhee, Adam	100	100	100	100	100	100	63	100	100	100	98	100	100	94	100	100	100	100	100	100	13				93.7
McVeigh, Mark		59						61	100	100	100	100	100	87	100	46	100	93	100	100	100	100	100	100	91.4
Mercuri, Mark		84	89	59	83	58											58			48		36		75	65.6
Misiti, Joe	92	74	42	91	64	52	56	60	29	76	13	53	27	78	78	65	84	54	39						59.3
Murphy, Justin	100	100	94	100	82	100	100	100	100	95	88		100	100	88	67	84	100	98	92	100	100	100	100	95.1
Peverill, Damien	100	100	91	100	100	100	100	100	92	64	89	100	87	94	97	100	100	96	100	100	100	100	100	100	96.3
Ramanauskas, Adam	100	88	100	96	100	82	100	91	71	62	83	89	73	72	100	73	82	100	68	100	35	64	100	100	84.5
Reynolds, Joel	82	92	47																						73.7
Richards, Ted	63		42		62									44	100	100	95	80		55	76			4	65.5
Rioli, Dean	88	100	77	90	76	77	82	56	81	81	77	23						51							73.8
Solomon, Dean		100	94	95	85	94	98	97	97	95	100	100	94	81	100	95	100	100	90	93	92	95	100	100	95.4
Stanton, Brent	54				40	57						76	62	40		61	76	69	87	77	78	68	17	54	61.1
Watson, Jobe	67						50													60	87	55	59	77	65.0
Wellman, Sean				56	90	100	100	100	100	100	100	76										93	100	44	88.3
Welsh, Andrew	100		100	100	100	100	100	100	100	100	100	100	96	100	100	100	100	100	76		100	100	100	100	98.7
Winderlich, Jason	80	48									17						51			100		63			59.8
Totals																									
Opponent	PA	SK	WC	CA	CW	SY	WB	AD	GE	FR	HW	BL	ME	KA	RI	WC	SK	PA	CA	CW	SY	WB	ME	GE	
