Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	Tot
Ablett, Gary					3	-	1	-	2	-	-	1	-	-	2	-	1	2	2	-	-	1	-	2	-	17
Bartel, Jimmy	-	-								-	1	-	-	-	-	-	-	1	-	-			-	-	-	2
Byrnes, Shannon																1	-	-	-							1
Callan, Tim															-	-	-	-		-	-					
Chambers, Paul	-	-	-	-									-		-	1	-									1
Chapman, Paul	1	-	-	2	-	1	1	-	1	1	1	-	-	-	-	-	2	-	2	1	1	1	-	-	1	16
Corey, Joel	-	-	-	-	1	-	2	-	-				-	1	1	-	1	-	1	-	-	1	-	-	1	9
Enright, Corey	-	-	-						1	-		1						-						-	-	2
Gardiner, Charlie		-	1	1	-	1	-	-		-	-	-			-	1	1	-	1	-	-			1	-	7
Graham, Ben	-			1	-	1	-	-	-	-	-	1	1	-	1	-	1	-	-	1	-	-	-	-	2	9
Harley, Tom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Haynes, David	-	-	2	1	-	2	-		1	2	1		-	-								-	-	-	1	10
Hunt, Josh	-	-	1	1		-	-	-	-	-	1	-	-	-	-	-	1	-	-	-	-	-	-	-	-	4
Johnson, David		-	-	-	-	-	-	1					1			-	1	-	-	-	-	-		-	-	3
Johnson, Steve													-	1	-	-	-	1	1	1	1	2	-	-	-	7
Kelly, James	2	-	-	1		-	1	1	-	-	-	-	-	-												5
King, Steven								-	1	1	-			-	-	-	1	1	1	2	-	-	1	-	-	8
Kingsley, Kent	1	1	1	2	-	2	1	-	-	1	1	-	2	-	1	1	-	-	-	-	-	2	-		-	16
Koulouriotis, Paul																	1	-	2	-	-	1	-	-	-	4
Ling, Cameron	-	1	-	-	-	-	-	-	1	-	-	-	-	-	2	-	-	-	-	-	-	-	1	-	-	5
Loats, David												1														1
Mackie, Andrew			1	-	3	2	-	-	1	-		-	1	-	-	-										8
McCarthy, Matthew	-	-																		-	-					
Milburn, Darren	2		-		2	-	1	1	-	-	-	-	2	-	1	-	-	-	-	-	-	1	2	2	-	14
Moloney, Brent		-			-	-		-	-	1	1	-	-	-	-							-	-	-	-	2
Mooney, Cameron	-	1	-	-	1	-	-	-	-	-	1	-	-	-	-		1	-	1	-	-	-	-	-	-	5
Playfair, Henry	-	-	-	-	-	-	-	-	-	-	-	-						-	-			-	-	-		
Rahilly, James	-	-	-	-	-	-	-							-												
Riccardi, Peter	-			1	-		-	-	2	-	2	-		-	1	1			-	1	1	1	1	-	-	11
Rooke, Max	-	-	-	-	-				-	-	-	-	-									-				
Sanderson, Brenton	-			-	-	-	-	-			-	1	-	-	-	-	-			-	-	1	1			3
Scarlett, Matthew	-	-	-	-	-	-	-	-	1	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3
Spriggs, David	-	-	-																			1	1			2
Tenace, Kane		-	-	-	-	1	-	1	-		-								-	-	-					2
Wojcinski, David			-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-		-		-	-	-	2
Totals	6	3	6	10	10	10	7	4	11	6	11	5	8	3	9	5	11	5	11	6	3	12	7	5	5	179
Opponent	SK	CA	SY	RI	FR	AD	HW	ME	ES	PA	WB	KA	BL	WC	CW	SY	CA	SK	RI	FR	AD	HW	PA	ES	BL	
