Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Archer, Glenn			-					-	-	-		-	-	-	-	-	-	-	-	-	-		
Baird, John	-	-	-	-	-					-								-				-	
Brown, Leigh	1	1	1	-	-	-	-	-	-	-	1	-	2	-	1	-	-	1	1		-	-	9
Clayton, Jeremy		-				-	-																
Clayton, Shane																			-				
Colbert, Leigh	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				-		
Firrito, Michael	-	-	-	-	-	-	-				-	-	1	1	-	-	-	-				-	2
Grant, Shannon	-	1	1	1	4	-	-	1	2	1	1	-	-	2	1	-	-	2	-	-	-	1	18
Grima, Blake				-	-																		
Hale, David				-	-	-	-	-	-								1	-	1	-	-		2
Harding, Leigh	1						3	1	1		1	2	2	1	-				1	-		-	13
Harris, Daniel	-	-	-		-	-	2	-	-	-	-	-	1	1	-	-	-	-	-	-	-	-	4
Harvey, Brent	1	2	1	-	-	2	-	2	-	-	-	3	-	-	-	-	-	-		-	2	-	13
Harvey, Shane																-	3	2					5
Jones, Chad						-														-		-	
Jones, Corey	-	1	1	1	1	3	1	1	1	1			1	-	-	1	-	-	-	-	4	-	17
King, David	1	2	-	1	-	-	-	-	-	1	-	1	-	-	1	-	-	-	1	1	-	-	9
Makepeace, Troy	-	1	-	-		-	-	2	-	-	-	-	-	1	-	-	-		-	-	-	-	4
McKernan, Corey	1	2	-	-	1	-	1			-	1	-							2	-	1	-	9
Motlop, Daniel	1	1	-	2	1	-	1	1	1	3	1	1	1	3	-	-	3	1	3	-	2	-	26
Petrie, Drew	1	-	1	-	4	1	-	2	1	-	1	2	-	-	-	-	2	1	1	-	1	-	18
Porter, Mark	-	1	-		-		-	-	-		1	-	-	-	-	-	-	-					2
Rawlings, Brady	-	-	-	1	2	-	1	-	1	-	-	-	-	3	1	1		-	3	1	-	-	14
Rocca, Saverio								2	-	2	2	2	-	2	3	1	-	1	1	1	-	1	18
Sansbury, Eddie	1	-	1	-	-	-			-	-	-	-											2
Simpson, Adam	-	-	1	-	1	1	-	-	-	-	-	-	-	-	1	1	1	-	2	-	-	-	8
Sinclair, Jess				1	-	1	1	-	-	-			-	-	-	1	-	-	-	-	2	-	6
Stevens, Anthony	1	-	-	-			-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	3
Stevens, Michael	-	-	-	1	2	1	-	-			-	-	-	-	1	-	-	-	-	1	-	-	6
Urch, Callum																			-	-	1		1
Watson, Ashley										-	-												
Watt, Shannon	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Wells, Daniel	-	-	-	1	-	1	-	-	1	-	-	-	1	-	-	1	-	1	-	-	2	-	8
Totals	9	12	7	9	16	10	10	12	8	10	9	11	9	14	9	6	10	9	16	4	15	2	217
Opponent	AD	HW	CA	SY	SK	WB	BL	PA	ME	CW	RI	GE	WC	ES	FR	CA	HW	AD	SY	SK	WB	BL	
