Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Archer, Glenn			-					-	1	-		1	1	-	-	-	-	-	-	1	1		5
Baird, John	1	-	-	-	-					-								-				-	1
Brown, Leigh	-	-	-	3	2	3	1	-	2	1	1	5	3	-	-	2	-	-	-		-	-	23
Clayton, Jeremy		-				5	-																5
Clayton, Shane																			-				
Colbert, Leigh	-	-	1	2	1	2	1	1	2	-	3	-	1	1	1	-	-				-		16
Firrito, Michael	5	6	6	-	2	3	-				-	3	2	2	-	1	1	1				-	32
Grant, Shannon	5	3	3	1	4	8	2	4	2	5	4	2	4	3	-	2	7	1	2	2	3	4	71
Grima, Blake				1	3																		4
Hale, David				1	-	1	1	2	-								-	1	-	-	-		6
Harding, Leigh	-						-	-	-		-	-	-	-	-				-	-		-	
Harris, Daniel	1	3	2		4	2	4	4	6	5	9	5	8	4	5	4	5	7	11	11	6	2	108
Harvey, Brent	2	1	7	2	1	4	-	2	7	1	4	1	6	-	1	-	2	-		-	2	-	43
Harvey, Shane																1	1	-					2
Jones, Chad						-														-		-	
Jones, Corey	3	-	2	3	-	2	-	3	1	1			1	2	2	1	3	-	2	3	4	1	34
King, David	-	2	-	3	2	1	1	3	-	2	1	1	1	1	3	-	2	1	1	2	1	2	30
Makepeace, Troy	1	-	1	-		1	-	3	2	1	3	-	-	1	-	-	-		3	1	2	-	19
McKernan, Corey	4	1	-	-	-	-	-			-	1	3							5	1	1	8	24
Motlop, Daniel	1	-	-	-	1	1	-	-	-	-	-	-	2	1	1	-	2	-	-	-	4	1	14
Petrie, Drew	2	1	-	-	-	3	-	-	-	-	1	1	3	3	-	1	-	-	1	-	1	-	17
Porter, Mark	2	4	2		2		2	3	1		-	-	1	3	3	1	1	1					26
Rawlings, Brady	-	-	1	2	1	-	1	-	-	1	5	-	1	2	3	-		1	1	1	-	-	20
Rocca, Saverio								1	-	-	1	-	-	-	1	-	-	1	1	-	-	-	5
Sansbury, Eddie	-	-	-	-	1	-			-	1	-	-											2
Simpson, Adam	4	4	9	5	1	6	8	6	7	4	7	8	4	4	3	5	8	4	2	11	5	4	119
Sinclair, Jess				1	-	-	1	1	-	-			-	2	1	2	1	2	1	-	-	3	15
Stevens, Anthony	4	2	-	2			1	3	3	2	1	2	7	1	4	3	1	2	-	1	-	5	44
Stevens, Michael	-	-	1	2	-	4	-	-			2	1	1	-	-	-	-	-	3	-	-	-	14
Urch, Callum																			1	-	-		1
Watson, Ashley										-	-												
Watt, Shannon	-	-	-	-	-	1		-	-	-	1	-	-	-	1	1	-	-	-	-	-	-	4
Wells, Daniel	3	3	2	1	1	3	-	2	2	2	2	5	-	5	1	3	3	4	1	2	2	3	50
Totals	38	30	37	29	26	50	23	38	36	26	46	38	46	35	30	27	37	26	35	36	32	33	754
Opponent	AD	HW	CA	SY	SK	WB	BL	PA	ME	CW	RI	GE	WC	ES	FR	CA	HW	AD	SY	SK	WB	BL	
