Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Archer, Glenn			-					-	-	1		-	-	-	-	-	-	-	-	-	-		1
Baird, John	-	-	-	-	-					-								-				-	
Brown, Leigh	-	-	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-		-	-	2
Clayton, Jeremy		-				1	-																1
Clayton, Shane																			-				
Colbert, Leigh	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				-		
Firrito, Michael	-	1	1	-	-	-	-				-	-	-	-	-	-	-	-				-	2
Grant, Shannon	2	3	1	-	-	-	-	1	2	-	2	-	3	2	2	-	-	2	-	-	-	2	22
Grima, Blake				-	-																		
Hale, David				-	-	-	1	-	-								-	-	1	1	-		3
Harding, Leigh	-						1	2	-		-	-	-	-	1				-	-		-	4
Harris, Daniel	1	-	2		-	-	1	-	-	-	2	-	1	-	-	-	-	-	-	-	1	1	9
Harvey, Brent	4	2	1	-	1	-	-	1	-	-	1	-	-	-	-	-	-	-		1	1	-	12
Harvey, Shane																-	1	-					1
Jones, Chad						2														-		-	2
Jones, Corey	1	-	-	1	-	1	1	1	1	-			2	2	-	-	1	-	-	1	1	-	13
King, David	2	-	1	-	1	1	2	1	1	1	1	1	-	1	1	-	3	-	1	1	-	1	20
Makepeace, Troy	1	-	-	-		-	-	-	1	-	1	-	-	-	-	1	-		-	-	1	-	5
McKernan, Corey	1	1	-	2	-	-	-			-	-	1							-	-	-	1	6
Motlop, Daniel	1	1	-	2	1	-	-	1	-	1	1	-	1	-	-	1	1	1	-	-	-	-	12
Petrie, Drew	-	1	2	-	-	-	-	2	-	1	-	-	-	-	1	-	-	-	-	-	2	1	10
Porter, Mark	-	-	-		-		1	-	-		-	-	-	-	-	-	1	-					2
Rawlings, Brady	-	1	-	-	-	1	-	1	-	-	1	-	-	-	-	-		-	-	-	-	-	4
Rocca, Saverio								2	1	-	1	2	1	-	-	-	2	-	1	-	1	1	12
Sansbury, Eddie	-	-	-	-	1	-			-	-	1	-											2
Simpson, Adam	1	2	-	-	-	-	-	1	-	-	-	1	-	1	-	-	-	-	-	1	1	-	8
Sinclair, Jess				-	-	-	-	-	-	1			1	1	-	-	-	-	1	-	-	-	4
Stevens, Anthony	1	-	-	-			-	-	1	-	-	-	-	1	-	-	1	-	-	-	-	-	4
Stevens, Michael	-	-	1	-	-	-	-	-			-	-	1	-	-	1	1	-	-	-	-	-	4
Urch, Callum																			-	-	-		
Watson, Ashley										-	-												
Watt, Shannon	-	-	-	-	-	-		-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	1
Wells, Daniel	1	-	-	1	-	-	1	4	1	1	2	-	1	-	1	-	1	-	1	-	-	-	15
Totals	16	12	10	6	4	6	8	17	8	7	14	5	11	8	6	3	12	3	5	5	8	7	181
Opponent	AD	HW	CA	SY	SK	WB	BL	PA	ME	CW	RI	GE	WC	ES	FR	CA	HW	AD	SY	SK	WB	BL	
