Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Archer, Glenn			-					1	3	5		5	5	2	5	3	4	3	4	4	2		46
Baird, John	6	2	3	2	2					4								1				8	28
Brown, Leigh	6	3	4	2	3	2	5	3	3	5	8	2	2	2	2	9	3	3	3		1	2	73
Clayton, Jeremy		2				2	2																6
Clayton, Shane																			1				1
Colbert, Leigh	5	7	6	9	1	2	5	8	10	8	7	7	6	10	11	6	4				-		112
Firrito, Michael	1	2	4	5	2	2	2				2	-	4	5	-	3	1	-				2	35
Grant, Shannon	6	8	3	5	5	3	11	4	6	3	4	2	4	5	5	1	4	5	-	2	1	2	89
Grima, Blake				2	1																		3
Hale, David				9	5	5	4	6	2								3	-	1	2	-		37
Harding, Leigh	2						5	4	3		4	3	4	4	3				3	-		1	36
Harris, Daniel	2	1	2		-	4	5	1	4	-	7	2	-	2	3	2	1	3	-	-	4	4	47
Harvey, Brent	5	3	4	-	5	1	2	5	2	1	5	3	5	3	2	5	2	3		2	8	5	71
Harvey, Shane																1	4	3					8
Jones, Chad						2														-		2	4
Jones, Corey	3	3	2	-	3	4	9	2	1	-			5	3	-	3	7	4	5	3	8	1	66
King, David	4	3	1	2	4	5	11	8	4	7	5	2	4	4	9	1	3	3	2	3	4	5	94
Makepeace, Troy	4	5	5	3		3	4	4	2	3	4	1	3	3	3	4	1		4	5	3	2	66
McKernan, Corey	2	7	4	6	6	2	2			3	5	1							6	3	5	3	55
Motlop, Daniel	4	6	5	5	4	1	4	6	3	6	5	2	3	7	2	2	10	4	8	5	4	5	101
Petrie, Drew	3	4	6	1	-	1	1	7	3	3	3	4	5	2	3	3	6	4	5	6	8	6	84
Porter, Mark	2	4	1		1		5	1	3		6	1	4	3	1	-	2	-					34
Rawlings, Brady	2	2	3	5	3	3	2	5	6	8	1	-	2	6	4	4		1	4	5	2	6	74
Rocca, Saverio								10	3	3	9	2	4	8	9	3	4	3	4	4	3	6	75
Sansbury, Eddie	-	6	1	2	3	-			2	3	4	1											22
Simpson, Adam	7	3	5	7	8	8	8	4	9	6	2	2	1	8	3	7	3	3	6	5	6	7	118
Sinclair, Jess				2	-	3	5	2	2	2			7	4	6	4	5	4	2	6	4	5	63
Stevens, Anthony	5	3	5	4			10	6	4	9	1	5	5	4	3	3	1	2	1	1	5	9	86
Stevens, Michael	3	6	6	3	4	1	6	1			5	-	3	1	5	2	4	3	1	1	-	5	60
Urch, Callum																			1	3	2		6
Watson, Ashley										2	1												3
Watt, Shannon	2	1	2	3	1	2		2	4	2	3	2	1	2	-	4	1	3	4	3	2	3	47
Wells, Daniel	5	1	1	5	3	7	6	5	4	4	3	2	4	5	1	2	8	3	5	1	9	5	89
Totals	79	82	73	82	64	63	114	95	83	87	94	49	81	93	80	72	81	58	70	64	81	94	1739
Opponent	AD	HW	CA	SY	SK	WB	BL	PA	ME	CW	RI	GE	WC	ES	FR	CA	HW	AD	SY	SK	WB	BL	
