Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	Tot
Baker, Steven	80	100	73					100	75	67	100	100	100	100	25	100	97	100	100	91	100	100	100	100	100	90.9
Ball, Luke	69	84	83	85	85	81	95	73	84	92	82	77	72	91	98	83	83	83	87	89	83	96	87	100	93	85.4
Black, Heath	76	87	90	93	90	92	87				75	100	100	75	90	80	92	88	86	96	70		93		98	87.9
Blake, Jason	55	61	5					59	35	47			60	54	63	39	55	75	57	73	74	67	56	89	48	56.4
Clarke, Raphael																	42									42.0
Clarke, Xavier	66	83			50	88	92	91	100	66		77	80	81	71		91	37		78	66	80	70	37		73.9
Dal Santo, Nick	83	82	94	86	85	88	96	75	93	93	94	84	83	92	100	97	100	100	83	92	96	95	96	96	93	91.0
Ferguson, Matthew																100	100	100	100	48						89.6
Fisher, Leigh					100	93	100	100	25																	83.6
Fisher, Sam							53								93	100	100	100	100	66						87.4
Gehrig, Fraser	100	100	100	100	100	100	100	100	96	100	77	100	100	66			100	100	100	100	92	100	100	100	100	97.0
Goddard, Brendon	68	79	92	92	92	65	83	59	82	82	82	93	77	62		78	75	61	95	78	56	94	76	18	14	73.0
Gram, Jason															100	27										63.5
Guerra, Brent				84	82	85	85	90	100	90	92	76	71	67		80	77	59	57				79	51	28	75.2
Hamill, Aaron	100	91	96		100		100	97	98	98	100	34		100	100	100		100	100	98	83	76				92.8
Harvey, Robert	70	79	92	80	79	83	80	38		73	90	91	76	61	97	87	88	93	94	87	90		58	86	93	81.1
Hayes, Lenny	91	92	89	100	100	100			94	93	90	76	100	99	100	95	90	100	93	100	94	80	88	100	97	94.0
Hudghton, Max						90	100	100	94	100	100	100	100	100	98					100	100	100	83	94	100	97.4
Jones, Austinn	87	94	100	83	86	100	100	80	100	100	87	78	91	81	100	100	92	100	100	100	97	100	100	98	97	94.0
Knobel, Trent	40	42	63	77	63	70	79	39	41	63	59	59	54	67	64	100	51	56		34	60	38	93	53	36	58.4
Koschitzke, Justin	81	100	72	100	100	96		96	74	81	98	95	65								74	94	100	79	100	88.5
Maguire, Matt	100	97	100	100	95	90	100	91	81	66	100	100			32							85	67	38	59	82.4
Milne, Stephen	95	47	69	61	85	62	58	100	99	80	44	92	88	54	67	99	77	36				79		92	59	73.5
Montagna, Leigh				37							45					83	95	93	91	80	75	24				69.2
Moyle, Brett				35																						35.0
Murray, Allan																			36				77			56.5
Peckett, Justin	91	69	96	100	53											79	59	39	39					80	97	72.9
Penny, Luke	100	79	100	98		100	100	100	100	93	85	100	100	100	81					100	100	100	100	100	100	96.8
Powell, Stephen	82	63	86	77	78	50	48	51	86	68	61	42	71	81	84	34					47	56		94	94	67.7
Riewoldt, Nick	86	100	99	100	91	100	100	100	88	95	91	100	98	100	100	100	100	100	100	95	100	100	100	100	100	97.7
Schwarze, Troy			53	44	39	17	76	100	100	100	79		68	100	100				100	79	84	81	57			75.1
Stone, Nick																			43	25						34.0
Thompson, Andrew	80	73	55	68	47	54	44	59	54	53	70	25	52	70	67	40	37	80	40		59	55	55	95	93	59.4
Voss, Brett	100	100	93	100	100	96	24					100	95	100	73	100	100	100	100	93	100	100	65	100	100	92.3
Totals																										
Opponent	GE	ES	RI	AD	KA	BL	FR	CW	WC	CA	SY	WB	HW	PA	ME	RI	ES	GE	AD	KA	BL	FR	BL	SY	PA	
