Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	Tot
Baker, Steven	5	2	4					5	1	-	2	6	6	3	2	6	3	2	-	6	4	4	1	2	2	66
Ball, Luke	4	4	4	4	8	2	2	2	4	4	4	4	3	1	1	7	2	3	4	1	4	7	6	4	6	95
Black, Heath	4	2	5	2	10	5	3				3	4	4	5	3	4	9	7	7	4	2		10		4	97
Blake, Jason	6	4	2					3	5	1			5	5	4	5	5	7	5	6	5	3	-	4	3	78
Clarke, Raphael																	3									3
Clarke, Xavier	1	10			-	6	8	1	2	-		1	7	4	-		4	2		7	-	3	2	2		60
Dal Santo, Nick	6	4	4	6	4	4	8	2	3	11	-	-	3	1	3	8	3	5	9	4	1	6	3	4	3	105
Ferguson, Matthew																6	2	1	3	4						16
Fisher, Leigh					4	1	2	1	-																	8
Fisher, Sam							2								2	4	2	4	6	5						25
Gehrig, Fraser	8	5	7	9	6	4	8	7	4	6	-	1	4	3			12	4	8	13	2	4	3	7	6	131
Goddard, Brendon	3	7	2	8	6	3	5	2	3	4	2	7	6	5		4	7	4	10	6	5	6	3	-	1	109
Gram, Jason															1	1										2
Guerra, Brent				3	-	2	2	4	3	1	1	2	2	-		3	3	-	-				1	1	1	29
Hamill, Aaron	6	8	2		7		3	6	5	8	2	1		4	3	5		3	7	3	-	4				77
Harvey, Robert	6	8	6	5	5	6	4	1		5	3	5	4	2	6	4	4	4	6	4	2		4	-	6	100
Hayes, Lenny	5	7	1	11	8	7			2	7	1	2	3	8	3	3	5	1	2	4	3	2	1	-	7	93
Hudghton, Max						8	8	3	4	1	1	3	8	1	3					4	3	5	5	2	2	61
Jones, Austinn	7	2	2	10	3	5	1	3	3	2	2	5	2	1	2	6	5	3	6	1	5	2	1	4	2	85
Knobel, Trent	-	2	2	3	3	4	4	2	3	7	1	3	3	3	5	4	2	1		-	2	-	2	-	-	56
Koschitzke, Justin	4	7	7	2	1	6		6	3	8	6	10	6								5	7	3	5	6	92
Maguire, Matt	7	8	3	6	5	4	4	2	6	2	8	2			-							6	4	2	2	71
Milne, Stephen	1	3	6	2	4	1	5	5	4	7	-	1	5	1	2	6	1	-				-		1	1	56
Montagna, Leigh				1							1					1	6	7	5	1	6	-				28
Moyle, Brett				3																						3
Murray, Allan																			4				5			9
Peckett, Justin	4	5	4	3	3											8	8	3	1					4	2	45
Penny, Luke	5	-	3	4		2	2	5	2	2	-	2	6	7	1					2	5	2	3	2	4	59
Powell, Stephen	6	5	3	1	8	1	1	1	4	5	1	3	5	3	-	2					4	2		6	4	65
Riewoldt, Nick	9	6	10	12	7	6	12	8	15	11	5	7	11	13	10	11	10	8	13	18	10	14	6	12	12	256
Schwarze, Troy			1	6	1	2	1	6	2	5	1		3	6	2				4	5	2	5	2			54
Stone, Nick																			1	2						3
Thompson, Andrew	8	2	1	2	6	1	2	1	4	3	1	-	2	2	1	-	1	-	4		5	4	4	6	3	63
Voss, Brett	3	6	6	8	3	9	1					4	6	3	4	9	6	3	2	5	1	6	3	2	1	91
Totals	108	107	85	111	102	89	88	76	82	100	45	73	104	81	58	107	103	72	107	105	76	92	72	70	78	2191
Opponent	GE	ES	RI	AD	KA	BL	FR	CW	WC	CA	SY	WB	HW	PA	ME	RI	ES	GE	AD	KA	BL	FR	BL	SY	PA	
