Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	Tot
Adkins, Damien	5	2	6	3	9	1	3							-	7	7	2	4	5	3	4	1	2	64
Banfield, Drew	1													2	3	2	5	1	3	5	1	-	2	25
Beeck, Zach																	2							2
Braun, Michael	5	4	3	-	4	1	5	7	6	3	3	4	2	7	2	3	6	5	3	4	5	6	2	90
Butler, Sam										3	2	4	7	4	3	2	5	5			2	4	-	41
Carroll, Trent	-	-	-	-	-						1	1	1											3
Chambers, Callum				2		4	2	4	2	3	-	3	5											25
Chick, Daniel	1	5	1	1					-	1	3	-	1	-		1	1	1	1	3	-	1	-	21
Cousins, Ben	8	4	6	-	7	6	1	3	5	5	2	3	5	6	3							4	3	71
Cox, Dean	-	4	-	1	1	2	2	4	-	2	1	5	1	-	2	-	2	1	2	2	2	2	3	39
Embley, Andrew	2	5	4	3	1	3	4	5	2	6	5	6							3	5	3	6	4	67
Fletcher, Chad	6	4	2	4	4	8		3	1	4	1	3	2	5	4	1	3	2	5	2	5	6	3	78
Gardiner, Michael	1	3	1																					5
Gaspar, Travis						-	2	3	3	1														9
Glass, Darren						2	-	-	-	-	-	-	2	-	2	-	1	2	-	1	1	-	-	11
Green, Kasey	3	4	2		-	1	1																	11
Hansen, Ashley											1	4	2	2	-	1								10
Humm, Jeremy	-	-					1	2	1															4
Hunter, Adam			1	-	3	-	-	1						5	3	1	2	2	1	1	2	-	1	23
Jakovich, Glen	8	5	1			1	1	3																19
Jones, Brett							1	1	1	-	1	-	1	1										6
Jones, Rowan	1	3	1	1	-	-						1	-	2	3	4	-	5	1	1		-		23
Judd, Chris	11	6	5	5	2	4	4	7	4	4	5	4	3	4	1	9	4	5	6	2	10	6	4	115
Kerr, Daniel		1	3	4	5	4	2	2	1	2	6	4	3	1	7	2	6	2	3	5	5		2	70
Lynch, Quinten	1	1	5	1	3	5		1	-	1	1	-	1	1	1	6	1	6	6	3	3	3	3	53
Matera, Phillip	1	-	2	1	2	1	1	-	1	1	-	1	1	2	-	-	-	2	-	-	2	-	-	18
McDougall, Andrew	-	-	7	1	-		2	2	1	3	4	5	3	1	2	3		3	2	-	2	3	1	45
Morrison, Chad	4	2	3	1	1	-			3				2	1	3	2	4	1	-	1	-	1	-	29
Nicoski, Mark					2	1	3	1	-	3	2	1	1	2	-									16
Sampi, Ashley	3	1	-	1	2	1	3	2	-	4	2		3	2	2	2	-	1	2	1	1	2	3	38
Seaby, Mark				3	-	-				3	1	2	-	-	-	-	-	2	-	3	-	-	3	17
Selwood, Adam							2	-	4															6
Staker, Brent	-	-		2	-		5	4	3	4	2	-					3	-	3	2	2	-	3	33
Waters, Beau			-	1	3					-						1	1	2	1	1	-			10
Wirrpanda, David	-	3	1	-	-	1	3	-	-	1	1	2	-		-	1	-	1	3	3	5	2	-	27
Wooden, Josh															2	4	2	2	4	4	4	7	2	31
Totals	61	57	54	35	49	46	48	55	38	54	44	53	46	48	50	52	50	55	54	52	59	54	41	1155
Opponent	WB	PA	ES	BL	CA	FR	ME	SY	SK	RI	CW	AD	KA	GE	HW	ES	PA	WB	BL	CA	FR	ME	SY	
