Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Buckley, Nathan	4												12	10	11	21	17	16	10	16	12	20	149
Burns, Scott	8	5	12	14	13	8	6	7	9	3	10	15	11	10	10	7	8	8	11	8	7	10	200
Caracella, Blake	9	17	4	12	10	9	3	7	15	9	5	6	6	8	8	3	4	4	10		5	1	155
Clement, James	10	12	18	6	16	9	13	15	12	19	23	12	7	11	13	12	9	12	12	6	16	13	276
Cloke, Cameron		10	5	6	7	8		2	4		7	8	4	5	3								69
Cloke, Jason						11	7										8	4	11	5	5	11	62
Cloke, Travis					13	9	8	8	11	9	11	11	6	8	6	1		9	4	4			118
Cole, Richard	6	6	5	8	8	6	4									2							45
Davies, Ben							10	5	2										12	8	16	16	69
Davis, Leon	14	8	6	6											8	10	14	6	12	16	10	9	119
Didak, Alan					7	8	7	9	9	12	12	8	12	12			7		2				105
Egan, Chris								11	8	10	2		7	8	1	13	10	12	4	4		6	96
Fanning, David	5							6	4	3			1	4	7	3	5	4	5	4	12		63
Fraser, Josh						5	1			9	3	6											24
Hall, Brent																2							2
Holland, Brodie	13	5	9	15	5	5	8	12	11	13	18	12	14	16	17	21	10	12	15	17	14	16	278
Iacobucci, Adam						3	9										6						18
Johnson, Ben	16	26	12	18	12	10		18	20	6				7	6	9	5						165
Licuria, Paul	16	19	22	17	6	9	12	14	17	7	12	18	10	12	16	15	9	11	7	10	11	14	284
Lockyer, Tarkyn	12	16	19	9	10	12	9	9	15	9	18	20	11	17	12	6	20	15	13	12	15	15	294
Lokan, Matthew													1							4	6		11
Lonie, Ryan	8	5										5	10	12	13	9	10	2				5	79
Lumumba, Heritier																		5	6	7	4		22
Maxwell, Nick			10	3	8	8	7	6	4	8	6	2	6	12	12	6	7	7	7	8	6	5	138
Morrison, Chad	17	6	11	9	10	10	10	10	10	5	10	9								7	10	7	141
OBree, Shane	11	11	4	9	7	7	10	7	12	11	19	11	18	18	8	10		13	15	5	12	13	231
Prestigiacomo, Simon	3	2	9	5	2	1		9	4	6	2	3	7	5	1	4		5	5	3	2	6	84
Richards, Guy																					4	3	7
Rocca, Anthony	9	9	9	3																			30
Rowe, Julian		12	11	2	10	9	9	6	10	10	7	11	7	9	12	14						2	141
Rusling, Sean										2	6	1		7	-		2						18
Shaw, Heath																	13	6	5	14	10	18	66
Shaw, Rhyce	13	17	13	11	17	17	8	11	7	9	15	3											141
Swan, Dane								7	5	13	19	6	19	12	11	5		11	9	6	11	9	143
Tarrant, Chris	6	7	8	8	8	7	6		7	8	14	8	9	7	9	6	8	7					133
Wakelin, Shane	7	14	7	11	13	6	5	7	2	12	6	7	10	11	6	6	10	14	4	15	7	7	187
Walker, Tristen	4	5	6	5	7		4	4									2						37
Williams, Andrew	11	3	4	6	1																		25
Woewodin, Shane	9	16	13	3	11		2				13	14	5				14	12	15	10	14	18	169
Totals	211	231	217	186	201	177	158	190	198	193	238	196	193	221	190	185	198	195	194	189	209	224	4394
Opponent	WB	AD	CA	KA	ES	SK	FR	RI	WC	HW	GE	ME	SY	PA	BL	ES	SK	FR	KA	CA	AD	WB	
