Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Allan, Matthew	4																						4
Alvey, Mark		-						-	-	-	-	-											
Bolton, Mark	-	1	-	-	1	-	-					1	-	-	1		1		1	-	2	2	10
Bradley, Kepler	1	-	2	-			-	-	2	-	2	1	-		2	1	1	1	-	2	-	-	15
Bullen, Marcus	-		1		-	2	-								2					-			5
Cartledge, Tristan		-						-								2				1			3
Cupido, Damian	-	1						1	1	-	-		1	1		-	-	1					6
Dyson, Ricky				-	-										-	-	-	-	-	1	-	-	1
Fletcher, Dustin	2	1	1	-	-	-	-	-	-	1	1			-	1	1	2	2	-				12
Haynes, Ben	1			2	-	-																	3
Henneman, Aaron	1	-	2	-	-	2	1											-	-			-	6
Hille, David								-	-	1	-	-	1	-			1	-	-	2	-	1	6
Hird, James	-	1	1	1	1	-				2	-	1	1	2	1			1	3	-	2	-	17
Hunt, Sam												-					-				-	2	2
Johns, Courtney															-	1	-						1
Johnson, Jason	1	1	-	1	1	1	-	-	-	2	-	-	-	-	1	1	-	-	1	1	-	2	13
Johnson, Mark	1	2	2	3	1	-	-	1	1	1	2	-	2	1	3	-	2	1	1	1	-	-	25
Laycock, Jason			1	-	1	1	3	-	1	1	-	1	-	1	2								12
Lloyd, Matthew			2	-	-	1	2	1	1	-	3	2	1	-	1	1	1	-	1	1	-	1	19
Lovett-Murray, Nathan		-		-			-	-	-	1	1	-	1	-	-		-	-	2	2	1	3	11
Lovett, Andrew			-	-	-	-	2	-	1	-	-	-	-	-	-	2	1	1	1	1	-	1	10
Lucas, Scott	1	2	1	-	-	-	1	-	2	1	1	-	-	1	1	-	2	-	2	2	2	2	21
McPhee, Adam	2	-	2	4	-	1	2	2	3	-	1	4	-	-									21
McVeigh, Mark	1	1	3	1	2	-	1	-	-	3	4	2	-	1	1	2	-	3		1	-	2	28
Monfries, Angus	-	-	-	-								3	1	3		1	1		-		-	-	9
Murphy, Justin	-	-	-		-	-	1	-	1	-		-	-	-	-	-		-	-	-			2
Nash, Jay																-					-		
Peverill, Damien	-	-	1	1	1	-	1	-	-	2	-	-	-	2	2	-	-	-	-	-		-	10
Ramanauskas, Adam	-	-	-																				
Reynolds, Joel						-																	
Richards, Ted			1		1	-										2	-	1	2	2	1	1	11
Rioli, Dean					-	-	1	-	-				1	2	1	1		-	-				6
Slattery, Henry													2						-	1	-		3
Solomon, Dean	-	4	1	1	-	-			1	1	4	-	-	1	2	1	1	-					17
Stanton, Brent	1		-	1			-	-	2	1	-	2	-	-	1	-	-	3	-	1	-	1	13
Thomas, Paul				2			2				-				3	2	3				2	1	15
Watson, Jobe										-				-						-	1	-	1
Welsh, Andrew	-	-	-	-	3	2	-	-	-	1	-	1	-	-	1		1	1	1	-	1	1	13
Winderlich, Jason	1	1					-	1	-		-					-		1	-	-	-	1	5
Zantuck, Ty		1			-	-	-	1	-	1	-	1											4
Totals	17	16	21	17	12	10	17	7	16	19	19	19	11	15	26	18	17	16	15	19	12	21	360
Opponent	ME	CA	HW	GE	CW	BL	SY	FR	PA	WB	AD	WC	SK	KA	RI	CW	BL	GE	SY	HW	CA	ME	
