Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Bell, Peter	-	1	-	3	1	1	1	1	3	4	-	-	1				-	2	3	3		1	25
Black, Heath	6	2	3	3	3	3	-	-	5	5	2	1	-	2	-	4	2	2	4	4	3	4	58
Carr, Josh	4	5	5	1	4	2	4	2	4	3	3	4	6	6	3	3	3	3	1	6	2	3	77
Carr, Matthew	5	2	3		2	3	-	-	3									1	2	3	7	1	32
Cook, Troy			1	2	3	1	-	3	-	2	3	3	4	3	3	-	3	3	1	6	-	2	43
Crowley, Ryan										-	1	2	2		2	5	4	2	-	3	1	1	23
Dodd, Steven	2	1	3	-						1	1		2	-	-	5	1	2	3	3	3	1	28
Dunn, Ryley		-								1													1
Farmer, Jeff	1	1	4	1	8	1	9	1	2	1	3	4	4	3	3				2	4	-	4	56
Gilmore, Daniel		2										3											5
Grover, Antoni				1	-	1	-	-	-	-	1	-	1	3	-	2	2	2	3	1	2	-	19
Haddrill, Robert	1						1	-															2
Hasleby, Paul	3	4	-	3	1	1	-	1	3	-	1	1	3	3	2	1	2	4	8	3	2	1	47
Headland, Des	4	-	6			5	1	2	3				3	2	2	1	2	4	3			7	45
Johnson, Michael				1	-	1	1			3	-	1	1	-		3	-						11
Longmuir, Justin	7	3	4	3	3	3		1	1	1	5	4	2	-	3	4	1	1	1	3	2	1	53
McManus, Shaun	1	2	-	1	-					6	3												13
McPharlin, Luke	4	3	5	2	4	1	1	2	2	1				1	-	4	3	2	1	-	3	-	39
Medhurst, Paul	3	1	3	4	3	4	2	3	2	2	1	1	1	-	4	3	-	1	4	2	4	-	48
Mundy, David						-	-	-	1	4	3	-	1	2	1	2	-	2	1	-	4	1	22
Murphy, Ryan	1	-		2	1						2	1	-	2	1	-							10
Parker, Shane	-	1	-	1	3	2	2	1	2	3	3	1	1	2	-	2	-	1	4	2	-	1	32
Pavlich, Matthew	7	4	2	-	5	6	3	1	1	5	4	4	3	2	1	3	4	-	3	2	1	2	63
Peake, Brett													1	1	1	2	-	-		2	1	3	11
Polak, Graham	-	3	1					4	2	3	1		2	-	-		1	-	1		4		22
Sandilands, Aaron	-		1	3			-	-	4	1	4	1		-	2	-	2	1	1	1	2	2	25
Schammer, Byron			-	4	4	-			2			-	5	1	2	2	2	5	-	3	-	4	34
Schofield, Jarrad									1	1	3	1	2	1	1	3				1	-		14
Siegert, Andrew					3	2	-	2	1														8
Smith, Dylan					-	1	1	1				1				-							4
Thornton, Scott	1	2	2	2	2	6	-	3	1	2	2	1	-	5	1	1	2	4	-	1	1	-	39
Walker, James	-	1	-	5	2	1	2										-	-	-	-	-	1	12
Webster, Luke	-	1	2	3	3	-	-	1	2		1	-											13
Woods, Dion	-	4	-	2																			6
Totals	50	43	45	47	55	45	28	29	45	49	47	34	45	39	32	50	34	42	46	53	42	40	940
Opponent	PA	SK	WC	RI	CA	ME	CW	ES	HW	GE	BL	SY	KA	AD	WB	CA	ME	CW	RI	WC	SK	PA	
