Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Bell, Peter	18	28	17	22	21	27	28	21	16	29	28	19	23				27	28	28	19		23	422
Black, Heath	22	18	18	34	26	19	27	16	19	17	23	14	17	35	30	24	31	15	19	25	13	18	480
Carr, Josh	26	19	27	18	12	21	39	15	15	12	24	10	21	26	18	32	25	27	10	13	19	15	444
Carr, Matthew	33	14	23		30	18	29	21	14									14	24	16	19	16	271
Cook, Troy			14	22	16	10	18	19	11	21	22	21	23	18	20	10	12	16	16	16	12	11	328
Crowley, Ryan										8	16	8	14		16	19	6	10	12	15	10	9	143
Dodd, Steven	10	7	11	1						15	5		19	11	16	12	8	11	16	10	7	5	164
Dunn, Ryley		5								-													5
Farmer, Jeff	5	4	10	11	14	12	12	8	17	17	12	16	11	10	20				13	12	5	13	222
Gilmore, Daniel		8										17											25
Grover, Antoni				17	17	17	19	8	6	12	16	4	10	11	16	22	9	20	14	15	19	13	265
Haddrill, Robert	6						7	-															13
Hasleby, Paul	18	22	17	10	20	26	26	21	16	25	14	13	10	27	25	20	29	19	30	16	31	18	453
Headland, Des	23	8	18			14	16	15	13				14	14	19	15	11	13	23			11	227
Johnson, Michael				9	1	9	7			12	11	7	4	8		12	2						82
Longmuir, Justin	7	25	14	19	16	5		17	11	18	10	15	12	16	16	21	11	13	8	11	22	11	298
McManus, Shaun	16	7	6	20	9					17	12												87
McPharlin, Luke	18	12	10	20	18	12	9	7	7	9				9	12	10	8	6	5	9	13	6	200
Medhurst, Paul	9	9	5	18	12	17	17	5	11	13	7	7	9	4	9	11	10	10	9	9	4	11	216
Mundy, David						12	19	11	7	13	24	17	9	21	20	19	14	20	16	13	18	11	264
Murphy, Ryan	4	-		13	6						8	5	3	13	15	5							72
Parker, Shane	14	9	16	17	10	12	9	9	2	7	17	14	10	10	14	16	14	13	12	9	8	10	252
Pavlich, Matthew	17	17	15	6	26	28	21	24	17	17	21	18	9	14	19	19	15	16	15	14	12	12	372
Peake, Brett													9	9	12	14	9	5		7	17	15	97
Polak, Graham	15	15	14					16	3	9	10		12	8	4		4	6	10		15		141
Sandilands, Aaron	11		10	10			4	12	8	11	10	6		15	7	7	9	12	18	8	11	18	187
Schammer, Byron			9	15	10	7			6			19	23	26	21	22	24	18	21	9	13	20	263
Schofield, Jarrad									8	12	21	15	19	15	11	11				13	6		131
Siegert, Andrew					22	10	26	9	9														76
Smith, Dylan					15	9	11	12				12				12							71
Thornton, Scott	12	17	10	13	22	17	14	13	6	16	6	10	13	17	18	25	13	20	8	9	4	11	294
Walker, James	17	14	17	14	18	16	13										10	13	17	7	7	22	185
Webster, Luke	10	5	4	15	9	5	19	7	10		9	5											98
Woods, Dion	11	7	5	14																			37
Totals	322	270	290	338	350	323	390	286	232	310	326	272	294	337	358	358	301	325	344	275	285	299	6885
Opponent	PA	SK	WC	RI	CA	ME	CW	ES	HW	GE	BL	SY	KA	AD	WB	CA	ME	CW	RI	WC	SK	PA	
