Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Bell, Peter	13	16	14	18	17	19	23	10	10	24	18	10	17				13	20	16	11		16	285
Black, Heath	19	15	16	28	16	16	24	15	15	16	19	9	12	27	27	19	15	8	13	18	7	12	366
Carr, Josh	12	15	20	13	6	12	27	7	8	6	14	5	12	16	12	17	12	14	2	6	14	7	257
Carr, Matthew	20	13	17		21	13	22	15	9									13	17	14	16	14	204
Cook, Troy			7	16	10	9	13	9	2	13	13	14	21	10	11	5	4	6	9	8	6	7	193
Crowley, Ryan										3	10	5	11		13	12	4	7	6	8	6	7	92
Dodd, Steven	5	5	7	1						11	4		12	4	15	11	4	7	10	7	2	3	108
Dunn, Ryley		3								-													3
Farmer, Jeff	4	1	7	11	8	7	9	4	13	10	4	7	5	7	11				10	5	2	5	130
Gilmore, Daniel		3										14											17
Grover, Antoni				15	12	8	12	7	6	8	9	3	9	9	11	13	2	14	8	5	14	11	176
Haddrill, Robert	2						5	-															7
Hasleby, Paul	12	9	5	6	13	11	17	13	9	9	10	8	4	15	8	14	14	13	20	8	22	10	250
Headland, Des	17	6	13			9	12	11	9				10	4	13	12	5	9	15			10	155
Johnson, Michael				7	1	6	3			8	8	3	4	6		10	1						57
Longmuir, Justin	6	14	7	8	8	2		8	5	9	4	6	2	10	8	6	2	8	1	6	11	7	138
McManus, Shaun	10	4	3	16	5					10	7												55
McPharlin, Luke	13	4	3	15	11	6	6	3	4	5				7	4	2	6	2	2	5	4	3	105
Medhurst, Paul	5	2	4	12	9	12	11	2	6	7	7	3	5	3	5	6	5	5	6	5	1	3	124
Mundy, David						6	7	7	4	11	19	14	5	17	12	10	8	15	14	6	11	8	174
Murphy, Ryan	3	-		10	3						7	2	2	10	12	6							55
Parker, Shane	10	4	12	7	7	7	3	2	-	3	11	9	8	7	8	9	7	9	8	5	5	7	148
Pavlich, Matthew	12	10	10	3	18	14	14	14	10	12	13	11	5	5	12	8	4	9	7	6	5	9	211
Peake, Brett													7	8	12	13	5	1		7	13	12	78
Polak, Graham	8	7	6					9	-	7	3		3	4	3		3	5	6		8		72
Sandilands, Aaron	6		6	7			1	7	4	7	7	1		10	5	5	4	6	9	4	7	9	105
Schammer, Byron			7	9	7	4			5			14	14	22	15	18	12	14	12	8	9	15	185
Schofield, Jarrad									4	7	12	11	16	11	8	8				5	2		84
Siegert, Andrew					16	7	17	5	5														50
Smith, Dylan					6	6	10	10				6				5							43
Thornton, Scott	10	15	6	9	14	14	11	8	2	14	5	8	10	15	13	15	7	15	3	7	2	9	212
Walker, James	16	7	13	13	14	11	10										7	12	11	5	7	19	145
Webster, Luke	4	2	3	7	3	4	12	5	6		5	4											55
Woods, Dion	6	3	3	12																			24
Totals	213	158	189	243	225	203	269	171	136	200	209	167	194	227	238	224	144	212	205	159	174	203	4363
Opponent	PA	SK	WC	RI	CA	ME	CW	ES	HW	GE	BL	SY	KA	AD	WB	CA	ME	CW	RI	WC	SK	PA	
