Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	SF	Tot
Ablett, Gary	-	2	-	-	2	1	-	-	-	2	1	2	1	-	4	-	-	1	1	-	1	2	1	-	21
Ablett, Nathan																				-	-	-	-		
Bartel, Jimmy	2	1	-	1	2	-	-	3	1	2	2	4	4	4	1	3	2	1	3	4	2	-	4	3	49
Blake, Mark															-				2	1					3
Byrnes, Shannon	-	-	-	1	1	1	1	-	-	-	1	-	1	1	1	-		-		1	-				9
Callan, Tim					2	1																			3
Chambers, Paul					-							2	-	-	-	-					-	-			2
Chapman, Paul	-	2	2	-	1	-	-		2	-	3	1	1	-	1	-	1	-	-			1			15
Corey, Joel	2	-	1	3	1	3	2	3				1	-	1	3	1	2	1	-	2	1	2	2	1	32
Egan, Matthew	2	-										2	-	1	-	-	2	2	4	1	1	-	4	1	20
Enright, Corey	3	1	2	7	2	2	2	1	1	1	3	-						1	3					1	30
Gardiner, Charlie			2	-	-	-	-	-		1	-	-	-	1	-								-	1	5
Harley, Tom		1	4	2	-	1	3	2			5		2								2	-	2	3	27
Haynes, David													-		-				-						
Hunt, Josh	5	8	10	7	8	3	6	8	8	8	5	11	6	9	7	3	8	7	7	4			3	5	146
Johnson, David	3	7	4	-	-		1	2	3	4	1					1								-	26
Johnson, Steve				-		-		1	-								1	-	-	-	1	2	-	-	5
Kelly, James	1	-	2	2	3	1	-	1	2	-	2	-	-	2	1	-	-	-	-	-	1	-	1	2	21
King, Steven	-	1	2	-		1	2	-	2	1	2			-		2	-	1			1	-	1	-	16
Kingsley, Kent	-	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2
Koulouriotis, Paul	4													2	5	1	2	-	7	1					22
Ling, Cameron	1	3	1	1	2	2	2	-	1	2	1	2	1	2		-	1	1	1	2	3	1	-	1	31
Lonergan, Tom									1	-	-		-												1
Mackie, Andrew	-	-	-							-	-	1									1	-	-	-	2
McCarthy, Matthew														-											
Milburn, Darren		4	4	2	2	2	3	1	-	2	-	2	2	3	3	-	6	5	2	1	2	5	5	5	61
Mooney, Cameron						3	1	5	2		2	4	6	4	5	5	3	3		3	3	3	3	2	57
Ottens, Brad	-	1	-	1	-	-	1	-	-	-	-	1						-	-	-					4
Playfair, Henry	1	-	-	1	-	1	-	-	-	-		-				-	-	-	-	-	-	-	-	1	4
Rahilly, James													3		-	-	1								4
Riccardi, Peter	2		2	-	-	3	2	1	1	2	1	-	1	-	1	1	3	-	-	2	-	-	1		23
Rooke, Max	3	2	3	3	1	3	1	3	-	-	-	-	1	2		1	-	-	-	2	1	1	-	1	28
Sanderson, Brenton												4	1	4	2		4		6	3	-	3	2	-	29
Scarlett, Matthew	5	2	2	1	4	5	6	3	5	3	3	5	6	5	2	4	7	3	9	6	7	5	1	4	103
Tenace, Kane	1	2	-	-	-				3	2	1			1	1		1	3	1	3	1	-	-	3	23
Thurley, Cameron							-	-	-	-					-	-	-								
Wojcinski, David	2	1																							3
Totals	37	39	41	32	31	33	33	34	33	30	33	42	36	42	37	22	44	29	46	36	28	25	30	34	827
Opponent	RI	WC	ME	ES	PA	WB	SK	CA	KA	FR	CW	AD	BL	HW	SY	PA	WB	ES	SK	ME	WC	RI	ME	SY	
