Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	Tot
Archer, Glenn	-	-	1	-	1	1	-	-	2		3	2	-	2	1	-	2	-	1	3	1	-	1	21
Baird, John						-												-		1	-			1
Brown, Leigh	1	-	3	1	-	1	-	1	1	1	-	3	1	-	-	1	-	2	-	4	2	-	2	24
Colbert, Leigh	-	-	-	-	1		-	1	2	1	-	-	-	-	1	-	-	-	-		1	1	1	9
Firrito, Michael	3	-	2	-	2	1	2	-	-	-	1	1	-	2	1	2	-	-	2	2	-	1	2	24
Grant, Shannon	2	1	2	2	-	1	-	1	-	-	4	2	-	1	2	-	-	-	-	-	1	1	-	20
Grima, Blake			-	-	-																			
Hale, David	-	-	3	-	-	-	-	-	-	1	-	-	-	-	-	1	-	-	-	-	-	1	1	7
Harding, Leigh	1							1		-	-	1	1	-	1	-	1	-	1	-	1	-	-	8
Harris, Daniel	2	-	-	-	-	1	-	-	-	-		-	2	-	-	2	-	2	-	-	1	1	1	12
Harvey, Brent	-	-	-	-	1	1	-	-	1	2	1	-	1	-	1	1	2	1	-	1	1	-	2	16
Jones, Corey	1	2	1	-	-	-	-	1	-	-	1	-	-	3	-	-	1	-	-	2	1	1	-	14
LeCras, Brent									1	1		1	-											3
Makepeace, Troy	-	-	-	1	1	-	-	-	-	-	-	-	-	-	1	-	1	-	-	2	-	-	-	6
McIntosh, Hamish						-																		
Motlop, Daniel												-	2	-										2
Perkins, Justin									-	-	-									1				1
Petrie, Drew	1	-	1	3	1		-	1	1	3	-	-	3	1	1	1	3	1	4	2	2	1	1	31
Picioane, Lance	1	2	1	-	1	-	1			2	-	-	-	2	1							-	-	11
Pratt, Daniel	4	-	1	-	1	2	-	1						-	1	1	-	1	1	-	3	2		18
Rawlings, Brady	1	-				-	-	-	2	1	-	1	-	-	-	1	-	-	1	-	1	2	1	11
Rocca, Saverio	2	-	-	1	2	-	-	-	-		1			-	-	2	-	-	3	-	-	2	1	14
Sansbury, Eddie		1	2	1	3	-	1	1							2	1	-							12
Simpson, Adam	-	1	-	1	-	1	1	-	2	-	-	-	1	-	1	1	1			-	1	-	1	12
Sinclair, Jess	-	1	1	-	-	-	2	-	-	-	2	-	1			1	-	1	1	1	2		-	13
Smith, Jesse								-	1	-	1	1							-					3
Stevens, Michael	2	1	2	2	-	1	2	-	1	-	2		-	-	-	-	1	-	1			1	-	16
Thompson, Nathan	1	-	-	-	2	1	-	-	1	-	-	-	2	1	2	1	-	-	3	2	-	1	-	17
Trotter, David																		1	-	-				1
Urch, Callum																					3	1	-	4
Watson, Ashley															-									
Watt, Shannon	2	1	1	-	2	2	1		-	-	1	-	-	-	-	2	-	1	2	3	-	-	-	18
Wells, Daniel	1	-	1	-	-	1	1	2	1	-	-	1	-	-		-	1	1	-	2	-	1	1	14
Totals	25	10	22	12	18	14	11	10	16	12	17	13	14	12	16	18	13	11	20	26	21	17	15	363
Opponent	CA	SY	SK	CW	HW	AD	PA	WB	GE	BL	ME	RI	FR	ES	WC	HW	AD	PA	CW	SK	SY	CA	PA	
