Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	Tot
Archer, Glenn	2	8	4	4	1	-	4	3	4		3	4	8	1	5	3	5	2	3	1	3	1	2	71
Baird, John						3												-		2	-			5
Brown, Leigh	2	2	3	4	3	3	-	-	3	3	4	4	1	-	4	2	2	1	1	1	2	2	2	49
Colbert, Leigh	4	5	1	2	4		6	-	4	3	3	8	1	2	8	3	7	7	1		2	1	1	73
Firrito, Michael	-	1	-	-	-	-	1	1	2	2	-	-	2	4	-	4	-	3	2	4	4	-	2	32
Grant, Shannon	2	1	4	3	-	-	-	-	2	1	-	1	-	-	-	2	-	2	1	1	1	-	-	21
Grima, Blake			-	-	-																			
Hale, David	-	-	2	-	-	1	2	1	-	1	-	-	-	1	-	-	-	-	-	3	2	-	1	14
Harding, Leigh	-							-		-	1	2	-	1	1	-	-	-	-	-	1	-	2	8
Harris, Daniel	2	1	-	1	-	1	-	2	-	-		-	-	-	-	-	1	-	-	-	1	2	-	11
Harvey, Brent	1	2	1	2	3	2	-	-	-	2	1	2	2	2	4	1	3	1	3	4	1	2	2	41
Jones, Corey	2	1	-	-	1	-	-	2	-	1	1	-	-	-	-	1	-	-	-	-	1	-	1	11
LeCras, Brent									-	-		-	-											
Makepeace, Troy	4	4	11	7	2	6	5	7	6	7	5	8	6	7	3	6	7	3	8	9	4	9	7	141
McIntosh, Hamish						1																		1
Motlop, Daniel												-	-	-										
Perkins, Justin									-	2	-									-				2
Petrie, Drew	2	-	2	1	-		-	1	2	1	-	4	1	-	2	1	3	3	2	-	1	1	1	28
Picioane, Lance	-	-	1	1	2	2	2			1	1	-	-	1	-							-	-	11
Pratt, Daniel	1	1	4	2	4	5	-	-						5	5	2	-	1	3	3	6	3		45
Rawlings, Brady	-	-				2	1	1	-	-	1	-	1	1	2	-	-	1	1	-	3	1	-	15
Rocca, Saverio	-	-	-	-	-	-	-	-	-		-			1	-	1	-	-	-	-	-	-	-	2
Sansbury, Eddie		-	-	-	3	-	-	-							-	-	-							3
Simpson, Adam	2	1	-	2	-	2	1	-	-	1	1	-	2	1	3	-	-			-	-	-	1	17
Sinclair, Jess	3	3	4	7	3	5	5	3	2	5	4	6	1			3	2	6	2	2	4		6	76
Smith, Jesse								1	1	1	3	3							-					9
Stevens, Michael	1	1	-	1	1	3	5	7	3	1	1		-	-	3	1	1	2	1			4	4	40
Thompson, Nathan	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	1	2	-	-	5
Trotter, David																		-	-	-				
Urch, Callum																					-	1	-	1
Watson, Ashley															-									
Watt, Shannon	3	1	1	5	-	2	3		3	1	1	5	2	1	1	2	1	2	1	1	4	1	1	42
Wells, Daniel	4	1	5	3	1	2	2	3	3	7	3	1	-	-		1	1	3	1	3	2	4	2	52
Totals	36	33	43	45	28	40	37	32	35	40	34	48	27	28	41	33	33	37	30	35	44	32	35	826
Opponent	CA	SY	SK	CW	HW	AD	PA	WB	GE	BL	ME	RI	FR	ES	WC	HW	AD	PA	CW	SK	SY	CA	PA	
