Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	Tot
Ackland, Cain	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	1	-			-	-	-	-	-	2
Baker, Steven	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	1	-	-	-	-	3
Ball, Luke	-	1	-	1	1	1	-	-	-	-	-	-	1	1	-	-	-	1	-	-	1	2	-	-	10
Blake, Jason	-			-				-	2	-					1	-	-	-	-	-	-	-	-	-	3
Brooks, Barry			-								-														
Clarke, Raphael			2	-	-	-	-	-	-	1		-	-		1	-	-					1	-	-	5
Clarke, Xavier				-	-	-	-			1	-				-	-	-								1
Dal Santo, Nick	2	-	-	1	3	3	-	1	-	-	-	-	-	2	-	1	-	-	-	-	-	1	-	-	14
Ferguson, Matthew																						-	-		
Fiora, Aaron	-	-	1	-	-	-	-	1	2			-	-									-		1	5
Fisher, Sam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			-		
Gehrig, Fraser	3	3	2	2	1	2		1	1	2	3	6	1	1	6	2	3	1	1	4	2		-	2	49
Goddard, Brendon	-	1	-	-	3	-	-	-	-	-		-	-	-	-	-	-				-	-		-	4
Gram, Jason									-	1	1										-	1			3
Guerra, Brent				1	-	-	3	-						1		-	3	-	1	1			-	-	10
Gwilt, James																						1	1	-	2
Hamill, Aaron	2	2	-	1	-	-												-	1	-	-	-	-		6
Harvey, Robert	2	-	1		-	-	-				1	-	-	-				-	-	1	1	-	-	-	6
Hayes, Lenny	2	-	-	1	-	1	-	1	-	-	-	1	1	2	-	-	1	1	-	-	-	3	-	1	15
Hudghton, Max	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-					-	
Jones, Austinn	-	-	-	-	2	-	-		-	-	-	-	-		-	-	-	1	-	-	-	-	-	-	3
Koschitzke, Justin	1	1			1	2	-							1	2	1	2	-	2	-	1				14
Maguire, Matt	-	-	-	1	1	-	-	-		-	1	-	-	-	-	1	-	-	1	-	-			1	6
McGough, Mark	-	-					1	1	-	1	-			-	-										3
McQualter, Andrew								-	-		-	-	-	-	-										
Milne, Stephen	1	-	1	-	2	1	-	1	-	-	1	-	-	1	1	1	4	1	2	3	-	-	-	-	20
Montagna, Leigh													-					-	1	-	1	1	-	-	3
Murray, Allan												-	-												
Peckett, Justin		-	-	-	-	-	-	-	-	-	-	-		-		-	-	-	-	-	-	-	-		
Penny, Luke		-	-						-				-	-				-	-	-	-				
Powell, Stephen									1	-	1	-	-	-	-	-	-	1	-	-	2	-	-	-	5
Riewoldt, Nick	1						4	3	1	4	3	1	2	1				2	3	1	1	4	3	2	36
Schwarze, Troy	-	-	-	-											-	1	1								2
Stone, Nick								-																	
Thompson, Andrew	-	1	-	1	-	2	-	-		-	-	-		1	-	-	-	1	1	-	-	-	-	2	9
Voss, Brett	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2
Totals	14	9	9	10	14	12	8	9	7	10	11	8	5	11	11	8	15	9	14	11	9	14	4	9	241
Opponent	BL	FR	KA	ME	RI	CW	GE	WC	AD	SY	PA	HW	ES	WB	CA	RI	CW	ME	GE	KA	FR	BL	AD	SY	
