Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Adcock, Jed								-	1								1	4	5	1	5	8	25
Akermanis, Jason	2	-	-	1	1	1		3	2	5	2	-	-	1	2								20
Allan, Marcus																			1				1
Attard, Jayden		-		1		3																	4
Begley, Colm																				4	-		4
Black, Simon	2	3	-	1	2	1	2	1	1	2	-	2	-	1	-	1	2	2	-	2	1	-	26
Bradshaw, Daniel	1	2	-	1	1	1	-	-	-	-	3	-	-	-	-	-	-	-	-	-	-	1	10
Brennan, Jared	-	1	-	1			1	1	2	1	1	1	-	-	1	-	1			1		7	19
Brown, Jonathan	-	-	-	-	-	1	-	-	-	-													1
Charman, Jamie	1	1	1	3	-	-	-	-	2	5		1	1	2	2	-	-						19
Clark, Mitch	2	3	-		-	-	-																5
Copeland, Robert		3	7	-	1		1			1	2	3	-	2	4	4	3	1	6	2		1	41
Corrie, Anthony	1				1			1	2														5
Drummond, Josh	2														9	2	-	-		-	2		15
Fixter, Ben	4	-	1	2	2	2	-	-	2	-	-	1	3	1		1	2		1		-	-	22
Harding, Scott	1	2	1				-			-		-	-	-	1	-	-	-	-			-	5
Hooper, Rhan		-	-	-							-				-	-	-	-	-	-		-	
Johnson, Chris	8	4	3	5	-	1															1	-	22
Keating, Clark																-	-	2	2	1	1	-	6
Leppitsch, Justin	4	4	4			3																	15
Macdonald, Joel				-	1		2																3
McDonald, Beau					-	3	1	-	2	1	1	-											8
McGrath, Ashley	-	-	-		-	-	-	-	-	-	-	-											
Merrett, Daniel	-			-										-	-			-	2	1	2	5	10
Michael, Mal	5	1	4	3	5	1	2	1	1	3	-		5	3	-	5	-	6	1	3	6	6	61
Mills, Wayde		-	2	3	6																		11
Moody, Matthew				1	1	-	2	3	2	-	2	1	-	3	2	-	-	4	1	6	4	-	32
Notting, Tim	-	1	-	-	6	2	1	3	9	4	6	3	4	2	-	1	-	2	-	-	-	-	44
Pask, Martin											-	-	-	-	-				-		-	-	
Patfull, Joel								-	-	-	4	1	2	1	2	-	6	-	-	3	-	1	20
Power, Luke	4	4	-	4	1	-	3	3	1	1	5	4	2	7	2	5	1	4	2	6	1	8	68
Rischitelli, Michael	-	1	1	1	2	3	2	1	2	-	1	1	1	1	1	2	3	5					28
Roe, Jason						4	6	9	5	5	10	9	5	3		5	6	3	7	2	1		80
Scott, Brad	3					5	1	4	-	3	4	1	3	-	1	2	-	3	3	2	4	2	41
Selwood, Troy					-	1	1	2	2	2	1	-	1	3	1	-		1	3	3	2		23
Sherman, Justin	2	2	-	2	5	3	2	1	3	1	1	4	3	1	1	4	3	2	2	3	5	-	50
Stiller, Cheynee			1	-								2	4	2	5	2	-	3	2	5	2	2	30
Voss, Michael	1	1	1	1	-	3	2	1	2	4	3	-	-	1	2	1	-	-		2	2	3	30
Wood, Cameron											1		-					1	1	-	3	1	7
Totals	43	33	26	30	35	38	29	34	41	38	47	34	34	34	36	35	28	43	39	47	42	45	811
Opponent	GE	ES	SK	RI	WC	SY	HW	PA	FR	CW	AD	WB	CA	ME	KA	HW	ES	GE	RI	WC	SY	SK	
