Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Adcock, Jed								9	1								9	16	18	16	22	25	116
Akermanis, Jason	7	5	4	11	10	12		20	22	21	12	13	4	10	17								168
Allan, Marcus																			8				8
Attard, Jayden		9		6		5																	20
Begley, Colm																				6	10		16
Black, Simon	9	22	3	8	22	12	17	9	14	15	7	14	17	19	1	14	12	11	8	17	11	14	276
Bradshaw, Daniel	9	13	5	7	16	6	4	8	7	5	9	7	7	5	5	8	5	2	6	5	10	4	153
Brennan, Jared	7	7	9	3			14	16	13	9	8	12	3	9	2	7	10			7		9	145
Brown, Jonathan	7	15	11	9	13	8	16	6	13	8													106
Charman, Jamie	6	8	5	6	6	8	5	3	7	5		5	6	4	8	7	6						95
Clark, Mitch	3	6	4		4	4	5																26
Copeland, Robert		10	6	10	6		10			8	8	5	6	10	6	7	8	4	12	6		8	130
Corrie, Anthony	7				9			13	6														35
Drummond, Josh	4														18	13	8	9		8	11		71
Fixter, Ben	7	7	6	8	8	8	4	4	5	3	4	3	9	5		6	2		10		2	7	108
Harding, Scott	6	7	4				3			6		9	4	2	8	12	9	8	6			14	98
Hooper, Rhan		5	1	3							2				6	6	6	3	1	2		4	39
Johnson, Chris	9	12	12	9	11	5															4	7	69
Keating, Clark																6	1	7	3	3	9	7	36
Leppitsch, Justin	7	9	13			2																	31
Macdonald, Joel				8	14		10																32
McDonald, Beau					4	6	2	-	6	5	1	1											25
McGrath, Ashley	4	5	5		6	4	5	5	5	2	5	4											50
Merrett, Daniel	1			2										2	3			2	2	7	7	10	36
Michael, Mal	6	5	10	2	10	8	9	8	11	8	6		7	7	2	7	4	7	4	7	15	11	154
Mills, Wayde		8	7	4	15																		34
Moody, Matthew				7	14	9	15	15	18	12	16	9	2	13	19	13	13	11	6	14	10	7	223
Notting, Tim	7	6	6	9	16	10	11	17	16	21	14	9	10	8	11	10	9	7	12	10	4	13	236
Pask, Martin											2	3	8	9	5				7		4	1	39
Patfull, Joel								2	3	5	3	8	10	2	7	3	3	7	6	9	1	5	74
Power, Luke	12	20	13	20	13	5	19	29	10	16	21	30	21	18	16	24	12	16	19	17	14	22	387
Rischitelli, Michael	8	14	8	7	15	10	16	13	9	6	8	5	13	12	9	12	10	7					182
Roe, Jason						7	9	16	9	16	7	3	8	10		16	13	4	14	8	1		141
Scott, Brad	10					14	14	21	12	16	11	7	13	7	13	5	7	13	21	7	15	6	212
Selwood, Troy					5	9	13	14	7	11	10	-	11	15	6	3		12	19	12	14		161
Sherman, Justin	19	14	15	14	20	4	19	10	18	16	16	20	13	12	20	26	10	9	27	15	19	17	353
Stiller, Cheynee			10	6								12	23	20	19	12	10	14	19	16	21	16	198
Voss, Michael	11	12	19	10	11	12	23	13	12	11	13	10	10	14	21	18	15	14		11	4	24	288
Wood, Cameron											2		1					9	9	3	3	7	34
Totals	166	219	176	169	248	168	243	251	224	225	185	189	206	213	222	235	182	192	237	206	211	238	4605
Opponent	GE	ES	SK	RI	WC	SY	HW	PA	FR	CW	AD	WB	CA	ME	KA	HW	ES	GE	RI	WC	SY	SK	
