Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	SF	Tot
Addison, Dylan																				-		-			
Baird, Travis																-	1	-							1
Birss, Shane																			2	-	-				2
Boyd, Matthew	-	-	-	1	-	-	1	-	-	-	-	1	1	-	-	-	-	-	-	-	-	-	1	-	5
Cooney, Adam	1	1	1	-	3	-	-	-	-	1	2	-	-	1	1	-	1	-	1	1	-	2	2	1	19
Cross, Daniel	1	-	1	-	-	1	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	6
Eagleton, Nathan	2	-	-	2	-	-	1	-	-	1	-	-	1	2	-	-	-	-	-				-	1	10
Faulkner, Cameron																		2	-	-					2
Giansiracusa, Daniel	-	-	1	-	-	-	-	-	-				-	-	-						-	-	1	1	3
Gilbee, Lindsay	-	-	1	-	1	-	-	-	1	-	-	-	-	-	-	1	-	-	2	-	1	2	-	-	9
Grant, Chris	1	1	-	1	-	-	-	-	1	-	-	2	1	-	3	-	1	2	1	-	1	-	-	1	16
Griffen, Ryan	1	-	-	-	-	-	-	1	-	-	1	-	-	-	1	1	1	-	-	2	-	1	-	-	9
Hahn, Mitch	-	1	3	1	2	-	4	-		-	3	1													15
Hargrave, Ryan	1	-			-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	2
Higgins, Shaun									1	1	-	1	-												3
Johnson, Brad	1	3	1	2	1	1	3	1	4	1	-	1	4	1	2	3	3	-	1	-	1	5	1	2	42
Lake, Brian	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
McCormack, Damien															-	1	-	-							1
McGuinness, Kieran								-						-					-						
McMahon, Jordan	-	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	1	-	-	-	-	-	-	4
Minson, Will	1	1	-												-	-	-	-	1	-	-	-	-	1	4
Montgomery, Brett			-	-	-	-	1	1	-	1	1	-	1	-	-						-	1	1	-	7
Morgan, Adam	-	-	-																						
Morris, Dale	-	-	-	-	-	-	-	1	-	-	-	-	-	1	1	-	-	-	-	-	-	-	-	-	3
Murphy, Robert	2	4	1	2	1	1	-	-	1																12
Power, Sam	-	-	-	-						-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Ray, Farren				-	1	2	1	-	-	-	-	-	1	-	-	3	1	-	-	-	2	-	1	-	12
Robbins, Matthew	1	-	-	1	3	-	1	1	-	3	-	1	-	1	1	1	2	1	1	4	1	-	3	-	26
Skipper, Wayde	1	2	1	-	-		1		-	-	-	2	-	-											7
Smith, Rohan	-	-	-	1	-	-	-	-	-	-	-	-	1	1	3	-	-	1	-	-	2	1	-	-	10
Street, Peter				-	-	-	-	-	-	1	-	-	-	1	-	-	-	-	1	-	-	-	1	-	4
West, Scott	1	-	1	-	-	-	1	-	-	-	-	-	1	-	-	-	-	-	-	-	1	-	-	-	5
Wight, Cameron						-										-	-			-	-	-	-	-	
Totals	14	14	11	11	12	5	14	5	8	9	7	9	11	8	13	10	12	9	10	8	9	12	11	7	239
Opponent	RI	ME	ES	GE	AD	SK	PA	SY	CW	HW	FR	BL	WC	KA	CA	GE	ME	RI	PA	AD	SK	ES	CW	WC	
