Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	SF	Tot
Addison, Dylan																				-		1			1
Baird, Travis																-	1	-							1
Birss, Shane																			-	1	-				1
Boyd, Matthew	2	1	2	2	2	-	-	1	3	2	-	2	4	5	4	-	5	2	3	3	2	-	3	4	52
Cooney, Adam	3	1	1	4	1	-	1	2	1	3	2	2	-	-	5	4	2	3	3	3	2	1	2	7	53
Cross, Daniel	-	6	2	4	2	6	4	2	3	2	2	2	1	3	2	3	3	-	4	4	-	3	1	3	62
Eagleton, Nathan	4	2	3	-	4	7	3	8	-	-	3	6	2	1	-	3	1	2	-				1	2	52
Faulkner, Cameron																		3	4	-					7
Giansiracusa, Daniel	2	4	2	2	2	2	1	1	-				2	1	2						2	3	1	3	30
Gilbee, Lindsay	-	2	2	4	-	1	2	1	5	2	-	-	2	1	1	2	1	4	-	2	3	1	1	1	38
Grant, Chris	3	3	2	2	-	2	1	1	3	5	1	4	3	1	-	-	2	2	-	2	1	5	2	4	49
Griffen, Ryan	2	2	4	1	2	1	-	4	1	3	6	1	1	1	1	5	1	2	-	5	3	2	1	2	51
Hahn, Mitch	3	1	3	2	3	4	1	-		1	1	3													22
Hargrave, Ryan	3	3			4	5	1	-	4	1	4	-	1	3	2	4	4	2	6	1	3	5	3	3	62
Higgins, Shaun									1	5	2	1	-												9
Johnson, Brad	4	2	3	2	3	2	3	4	5	2	-	-	2	5	3	4	2	4	1	5	-	3	2	2	63
Lake, Brian	1	1	1	3	-	2	2	2	4	3	5	1	2	1	3	1	2	1	1	1	2	2	4	2	47
McCormack, Damien															3	1	2	-							6
McGuinness, Kieran								-						2					3						5
McMahon, Jordan	2	2	2	7	5	2	2	-	1	4	3	1	3	3	3	1	2	4	2	3	2	2	3	5	64
Minson, Will	2	3	-												4	1	1	2	3	-	5	4	2	4	31
Montgomery, Brett			2	1	1	2	2	5	3	1	2	3	2	1	-						3	-	3	4	35
Morgan, Adam	-	1	1																						2
Morris, Dale	-	-	2	-	1	3	-	2	1	-	1	2	3	-	-	-	-	2	-	2	2	1	2	3	27
Murphy, Robert	3	1	1	2	1	-	1	2	-																11
Power, Sam	2	1	-	2						3	-	1	-	2	3	1	-	3	1	1	-	-	5	1	26
Ray, Farren				-	2	2	-	1	1	7	1	-	1	4	2	-	1	1	1	1	2	2	1	7	37
Robbins, Matthew	1	-	2	-	1	1	1	2	2	1	2	2	1	4	3	6	4	1	2	1	3	1	1	1	43
Skipper, Wayde	1	2	1	-	-		3		1	1	1	-	2	1											13
Smith, Rohan	3	2	2	3	1	-	2	1	2	1	2	2	1	4	2	1	2	1	2	-	1	1	-	2	38
Street, Peter				4	2	2	4	3	3	-	2	3	-	6	3	2	3	-	1	4	1	2	1	4	50
West, Scott	1	2	4	2	6	6	3	1	2	3	3	-	-	4	4	3	3	-	2	6	3	3	3	2	66
Wight, Cameron						1										1	2			-	-	2	4	1	11
Totals	42	42	42	47	43	51	37	43	46	50	43	36	33	53	50	43	44	39	39	45	40	44	46	67	1065
Opponent	RI	ME	ES	GE	AD	SK	PA	SY	CW	HW	FR	BL	WC	KA	CA	GE	ME	RI	PA	AD	SK	ES	CW	WC	
