Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	SF	Tot
Addison, Dylan																				-		-			
Baird, Travis																-	-	-							
Birss, Shane																			-	-	-				
Boyd, Matthew	1	-	-	-	-	-	-	-	-	-	1	1	1	1	-	1	1	-	-	-	-	-	-	-	7
Cooney, Adam	-	-	1	-	1	1	-	1	-	1	-	-	-	-	2	-	1	1	-	-	-	-	-	-	9
Cross, Daniel	-	1	-	-	1	-	-	-	-	-	-	-	-	1	-	-	1	-	-	1	-	-	2	-	7
Eagleton, Nathan	1	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				-	-	3
Faulkner, Cameron																		1	1	-					2
Giansiracusa, Daniel	-	-	-	1	-	-	-	-	-				-	-	1						-	1	1	-	4
Gilbee, Lindsay	-	-	-	-	-	-	1	-	-	-	1	-	-	-	-	-	-	-	-	-	-	1	-	-	3
Grant, Chris	2	1	1	-	-	-	-	1	2	1	-	3	-	1	1	-	1	2	1	-	-	-	-	1	18
Griffen, Ryan	-	1	-	-	-	1	-	1	1	1	-	-	2	-	1	-	-	-	-	-	-	1	-	1	10
Hahn, Mitch	-	-	1	-	-	2	1	-		-	-	-													4
Hargrave, Ryan	1	-			-	-	-	-	1	-	-	-	-	-	1	1	-	-	-	1	-	-	-	-	5
Higgins, Shaun									-	2	-	1	-												3
Johnson, Brad	-	2	-	1	-	2	4	1	2	1	1	1	2	-	1	1	1	-	1	2	2	5	-	1	31
Lake, Brian	-	-	1	-	-	-	-	1	-	1	2	2	1	1	-	-	2	-	-	-	-	-	1	-	12
McCormack, Damien															-	-	-	-							
McGuinness, Kieran								-						-					-						
McMahon, Jordan	-	-	-	-	-	1	-	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	3
Minson, Will	1	-	-												-	-	1	-	1	-	-	1	1	-	5
Montgomery, Brett			-	1	1	-	2	1	-	4	-	1	2	-	1						-	-	2	-	15
Morgan, Adam	1	-	-																						1
Morris, Dale	1	-	-	-	-	-	1	-	1	-	1	1	2	-	-	-	-	-	-	1	1	-	-	-	9
Murphy, Robert	-	2	1	1	-	-	1	-	-																5
Power, Sam	-	-	-	-						-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	1
Ray, Farren				1	-	1	1	-	-	-	-	-	1	-	1	-	-	-	-	-	-	-	-	-	5
Robbins, Matthew	-	1	-	-	1	-	1	2	1	1	1	2	-	2	1	-	-	-	2	2	-	-	2	-	19
Skipper, Wayde	1	1	-	-	-		-		1	-	-	-	-	-											3
Smith, Rohan	-	-	-	1	-	-	1	-	-	-	-	-	1	-	1	-	-	-	-	1	-	1	-	-	6
Street, Peter				1	2	-	-	-	1	-	1	1	-	-	-	1	-	1	-	-	-	-	-	-	8
West, Scott	-	-	-	-	-	-	1	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	1	-	3
Wight, Cameron						-										-	-			-	-	-	-	2	2
Totals	9	10	5	8	6	8	14	9	10	12	9	13	12	6	11	5	8	5	6	9	3	10	10	5	203
Opponent	RI	ME	ES	GE	AD	SK	PA	SY	CW	HW	FR	BL	WC	KA	CA	GE	ME	RI	PA	AD	SK	ES	CW	WC	
