Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Bolton, Mark			1		1	-	1	-	1	-	-	-	1	1	-	-	-	1	-	1	-	-	8
Bradley, Kepler	-	-	2	-	1	-	-	-	1	-		-	-	-	-	-	4	-	-	-	-	-	8
Camporeale, Scott	1	-	-			-						-	1	-	-	-	-	-	1				3
Cartledge, Tristan													-								-	-	
Cole, Richard																	-	-			-	-	
Dempsey, Courtenay							-		-		1										-	-	1
Dyson, Ricky		1		-			2	1	-	1	1		-	-	-	-	2	-	-	-	1	-	9
Fletcher, Dustin	-	-	-	-	-	-		-	-	-	-		-	-			-	-	-	-			
Heffernan, Chris	1	1	1	1	1	-	-	-	-	-	-	-	-		-	-			-	-	-	1	6
Hille, David	-	1		3	1	-	2	-	-	-	1	1	-	-	-	1	3	-	-	-	-	-	13
Hird, James			2	2	2	1	-					-	2				4	-	-	2	2	2	19
Johns, Courtney								1	-	2	1	-		3					3	-	1	1	12
Johnson, Jason	-	-	-	-	-	-	-	-			-	-	1	2	1	-	1	1	1	-		5	12
Johnson, Mark	1	-	1	-	-	-	1	-	-	-	-	1	-	1	-	1	-	-	1	-	2	-	9
Jolley, Ben															-			-	-	-			
Laycock, Jason						2	-	1	-	-	1												4
Lee, Andrew													1	-	-	1						-	2
Lloyd, Matthew	8	4	1																				13
Lonergan, Sam															-								
Lovett-Murray, Nathan	-	-	-	-	-	-	-	-	-	-	1	-	2	-				1	1	-	2	-	7
Lovett, Andrew	1	1	1	1	2	2	2	2						-	3	1	-	1					17
Lucas, Scott	4	1	2	2	3	4	-	2	3	2	3	2	2	1	2	6	7	4	1	4	4	8	67
McPhee, Adam	-	-	-	-	-	-	-	2	1	-	1	1	1	1	-		1		-	-	-	-	8
McVeigh, Mark	1	-	-	-	-	-		-	1	-	-	-	-	1	-	2	2	-	-	1	1	-	9
Monfries, Angus	-	5	1	1	-	1	1	1	-	-	2	1	-	2		1	-	2	1	3	-	-	22
Nash, Jay										1	-				-	-	-	-	-				1
Peverill, Damien	-	-			-		-	-		-	-	-		-	1	1	-	-	-	1	1	-	4
Reynolds, Joel							-	-	-		1	2	1	-	2	-	-				-		6
Rioli, Dean				1		-														1	1		3
Ryder, Patrick	-	-	1	-	-				-			1		-		-							2
Slattery, Henry	-	-	-	-	-					-		-				-							
Solomon, Dean	-	-	-	-	-	-	-	2	-	-	-	-	1		-	-	-	-		-	-	1	4
Stanton, Brent	-	1	-	-	-	2	-	1	1	-	-	1	-	-	-	2	1	-	1	1	1	-	12
Watson, Jobe	-	-	-	-	-	1	1	1	1	-		-	-	-	1	-	-	-	-	1	-	-	6
Welsh, Andrew	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-			1
Winderlich, Jason	-		-	1	1	-	1		-	-	-												3
Totals	17	15	13	12	12	13	11	14	9	6	13	10	13	12	10	16	25	11	10	15	16	18	291
Opponent	SY	BL	WB	CW	HW	RI	CA	WC	PA	AD	GE	ME	KA	FR	SK	CA	BL	SY	CW	HW	RI	WB	
