Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Archer, Glenn	2	-	6		1	1	5	2	3	2	2	3	4	-							2	2	35
Brown, Leigh	-	1	2	2	2	2	2	5	-	1	1	-	-	1	1	-		3	1	2	3	1	30
Firrito, Michael	3	5	1	3	4	4						2	-	1	5	2	3	3	2	4	1	1	44
Gibson, Josh	4	3	1			1	4	3	-	2	1	3										2	24
Grant, Shannon	1	1	2	1	4	1	3	-	-	4	1	1	-	1	3	4	2	2					31
Green, Kasey	-	2	-	1	1	-	-	2	4	2	2	2	3	2	-	1	1	1	1	1	1	1	28
Hale, David	2	6	3	3	2	-	6	4	-	1	3	2	2	2	1	-	2	-	3	-	-	-	42
Harding, Leigh	2	-	2	2	2	5	1	1	4			1	4	2	-	-	-	5	3	-	4		38
Harris, Daniel	8	7	5	6	8	3	3	1	5	4	5	5	4	4	5	2	4	7	6	8	4	5	109
Harvey, Brent	5	1	-	2	4	1	2	1	2	2	1	1	2	5	1	-	5	4	1	1	4	1	46
Hay, Jonathan	-		2	2	2	-	-	-	-														6
Jones, Chad											-	-	1										1
Jones, Corey	1	1	4	6	3	2	2	4	3	4	2	3	3	3	2	6	1	4	7	2	2	3	68
LeCras, Brent						2	-																2
Lower, Ed																2	1			3	4		10
Makepeace, Troy			4	4	2				2	2	1	2	2	2	4	3				1			29
McConnell, Daniel																			2	3	-	2	7
McIntosh, Hamish	1	1	-			1	-	3	-	2				-	1	1	1	-	-	-	-	-	11
Moran, Brad																					3	2	5
Perry, Joel		1	1	-	1	2	-	-							1								6
Petrie, Drew	6	2		1	3	3	3	-	2	6	8	1	7	2	2	-	-	1	-	4	2	1	54
Pratt, Daniel	1	-		2	1	3	3	4	1	-	1	1	2	1	3	2	2	1	1				29
Rawlings, Brady	1	3	3	3	1	3	2	2	3	5	2	3	-	4	2	3	3	1	5	1	1	1	52
Rawlings, Jade										-	-										1		1
Rocca, Saverio			-	-	-								1				-	-	1	1		2	5
Sansbury, Eddie				1	-						5								1	2	2	3	14
Schwarze, Ben							1					1	2	1	1	3	-	2	1	1		-	13
Simpson, Adam	2	2	3	1	3	3	4	4	2	4	6	4	3	3	1	2	-	5	6				58
Sinclair, Jess	1	1		2	3	3	3	3	2	4	5	5	5	2	1	2	3	2	1	1	1	3	53
Swallow, Andrew								6	3	4				3	6	5	2	6	3	4	2	1	45
Thompson, Nathan	-	2	2	1	1	1	1	1	2	1	1	2	4	-	1	2	-	1	-	-	1	-	24
Thurley, Cameron	3	4	-							3	-												10
Trotter, David			2	3																			5
Urch, Callum																	1	1					2
Watt, Shannon	-	-						3	-	3	2	-	2	-	-	1	1	-	-	1	2	-	15
Wells, Daniel	4	3	2	2	2	3	1	3	3	2	5	-	2	3	-	2	2	3	3	4	2	2	53
Totals	47	46	45	48	50	44	46	52	41	58	54	42	53	42	41	43	34	52	48	44	42	33	1005
Opponent	PA	GE	CW	WC	ME	HW	AD	FR	SK	SY	RI	CA	ES	WB	BL	AD	GE	PA	WC	ME	HW	CW	
