Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Bowden, Joel	14	24	13	13	14	14	8	28	13	17	22	10	18	17	22		10	21	9	14	15	10	326
Bowden, Patrick	14	10	15	7	8	10	4	19	16	17	19	11	24	24	15	8	7	19	21	10	12	10	300
Brown, Nathan	12	6	2								9	14	17	10	9	9	5						93
Chaffey, Mark																	9	11	8	6	8	8	50
Coughlan, Mark	5	11	5	14	13	11	7	11	18	23	9	1											128
Deledio, Brett	13	12	7	11	13	9	14	14	4		14	10	14	16	15	8	12	11	11	13	9	11	241
Foley, Nathan	7	7		10	4	4	13	8	6	5	10	5	11	13	9	11	7	10	9	10	11	7	177
Gaspar, Darren	1	2	1							4			7	5	2	7							29
Hall, Ray			8	11	5	3			4	8	6	11					4	5	7	6	7		85
Hartigan, Brent		6	7	8	10	14	3	5															53
Howat, Cameron																		17	15	14	10	13	69
Hughes, Cleve					3	4	1																8
Humm, Jeremy			9																				9
Hyde, Chris	8	9	8	9	15	13	13	9	13	12	7	10	11	8	6	7	11	6	13	7	7	7	209
Jackson, Daniel		6	4	3			3	4															20
Johnson, Kane	15	12	10	8	5				8	5	13	13	12	12	10	19	12	12	5	8	14	9	202
Kellaway, Andrew	7	5	8	12	14	8		17	11	11	15	4	19	10	10	9							160
Knobel, Trent								1	2	2													5
Krakouer, Andrew	7	6			11	8	9	19	11		5	7	10	15	4	10		6	7	10	4		149
McGuane, Luke							2															3	5
Meyer, Danny								2	11	5	8	6	3			7	5						47
Moore, Kelvin															2	7							9
Newman, Chris	13	9	4	9	9	15	12	16	13	8	6	10	1										125
Oakley-Nicholls, Jarrad						7	1							5				-					13
Pattison, Adam	1			2				8	3	3	2	10	2	3	4			4	7	1	3	4	57
Pettifer, Kayne	10	15	11	8	15	16	6	20	17	15	20	17	19	19	12	15	13	15	14	17	11	12	317
Polo, Dean						11	6	8	7	6	7	6	14	10	7	6	12	10	2	11	8	10	141
Raines, Andrew	7	7	6	9	11	14	5	13	3	11	11	10	16	11	10	6	12	13	9	10	9	13	216
Richardson, Matthew	10	6	8	11	17	8	12	10	13					6	7	7	11	16	15	16	21	8	202
Roach, Tom			4																			4	8
Rodan, David	2			6	2											5	2						17
Schulz, Jay	3	-											4	4	7	7	4	7	6	4	7	-	53
Simmonds, Troy	6	10	9	17	10	12	5	19	11	10	13	13	11	12	16	10	10		12	6	15	14	241
Stafford, Greg				8	2	4	2			2	7	3					5	5	4	8	3	5	58
Tambling, Richard	2		11	8	5	6	8	6	19	6	7	9	10	11	8	5	8	7	8	11	11	10	176
Thursfield, Will		1																					1
Tivendale, Greg	14	15	12	17	12	17	2	9	17	12	14	17	13	17	10	5	16	15	12	12	12	7	277
Tuck, Shane	12	15	13	9	14	12	7	13	14	19	16	10	14	10	7	7	10	12	13	16	10	9	262
White, Matt										7			5	6	10	9	4	3	8	5	5	7	69
Totals	183	194	175	210	212	220	143	259	234	208	240	207	255	244	202	184	189	225	215	215	212	181	4607
Opponent	WB	SK	WC	BL	CA	ES	SY	AD	GE	FR	KA	HW	CW	PA	ME	SY	SK	WB	BL	CA	ES	WC	
