Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	Tot
Ackland, Cain	2	-	2	1			2	1	1	2	-	-	3	-	-	-	-	-	1		1	-		16
Baker, Steven	-	-	1	1	-	1	-	1	3	1	4	1	-	1		-	3			-	2	-	1	20
Ball, Luke	1			-	1	3	-	-	2	1	-	1	-	1	2	-	-	-	1	1	1	-	-	15
Blake, Jason	-	-	-	1	1	3	5	-	-	1	-					-	2	3	1	1		-		18
Brooks, Barry																						1		1
Clarke, Raphael																			-	1	3	-	2	6
Clarke, Xavier		-	-	-	1							-	2	2	-				-	1	-	-	-	6
Dal Santo, Nick	-	-	-	1	1	-	1	-	-	-	-	-	-	1	2	2	1	-	1	-	1	-	1	12
Fiora, Aaron		2	-	-	-	1	-			-	1	-	1	-	-	1	-	-	2	-				8
Fisher, Leigh								-	1	-	1	-	-	1	-	-	-	-		2	-	-	-	5
Fisher, Sam	1	-	-	2	-	-	-	2	-	-	4	1	-	1	-	-	-	-	-	1	-	1	1	14
Gehrig, Fraser	-	1	-		3	1	-	-	4	1	-	-	1	2	1	1	-	2	-	-	1	1	1	20
Gilbert, Sam								2										1						3
Goddard, Brendon	1	3	2		-	1	-	-	1	2	-	2	-	-	-	1	-	-	2	1	1	-	-	17
Gram, Jason	-	-	1	3	1	-	-	1	-	1	-	-	-	-	1	-	-	-	1	-	-	-	-	9
Gwilt, James																		-	1					1
Hamill, Aaron	1	-	1	2		3	-														-	1	1	9
Harvey, Robert	-	-	1	-	1	1	1	-	-	1	2	2	-	-	-	2	-	-	-	1	-	-	1	13
Hayes, Lenny	-	-	1	3	3	-	-	-	2															9
Hudghton, Max	-	1	-	2	1	-	-		1	1	1	-	1	2	3	1	1	-	-	1	-		3	19
Koschitzke, Justin				-		3													2	1	-	1	-	7
Maguire, Matt	1	-	-	1	-	2	1	-	1	2	1	3	2	2	1	3	3	1						24
McGough, Mark									1	-	2													3
McQualter, Andrew			-	-	-		1					1	1	1	-	-	-							4
Milne, Stephen	-	3	2	1	1	2		2	1	-	4	1	2	-	-	2	2	-	1	1	2	4	4	35
Montagna, Leigh		2	4	2	1	1	-	-	-	-	3	1	1	-	2	-	2	1	1	2	-	-	-	23
Murray, Allan	1				-	1	-																	2
Peckett, Justin	2	1						-	3	-	1	1	-	1	-	-	1	-	-	-	1		4	15
Powell, Stephen	-	1						1						3	-	-	-	1			6		1	13
Riewoldt, Nick	1	-	-	-	-	1	1	-	-	-	1	-	-	1	-	-	1	-	-	-	-	-	-	6
Rix, Michael											2	3	1	2	1	1			-	-	2	-	2	14
Schwarze, Troy			-	1	-	1	1	1	1	1	-	1	1											8
Thompson, Andrew	-	-	-	1	-	1	1	-	2	-					-		1	-	1	-		-	4	11
Voss, Brett	1	1	2	-	-	-	-	-	-	1	1	-	1	2	-	-	-	-	-	1	1	-	-	11
Watts, Fergus	-																							
Totals	12	15	17	22	15	26	14	11	24	15	28	18	17	23	13	14	17	9	15	15	22	9	26	397
Opponent	WC	RI	BL	PA	FR	WB	GE	CA	KA	ME	SY	AD	HW	CW	ES	PA	RI	WC	GE	FR	WB	BL	ME	
