Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	GF	Tot
Armstrong, Steven													-				1	-	1	-		2	-	1	-	-	5
Banfield, Drew									-	-	-	-	-		-	-	-			-	-	-	-		-	-	
Braun, Michael	1	1	1	2	1	-	1	1	1	2	-	-		-	-	-	2	-	-	1	-	1	-	1	1	-	17
Butler, Sam													-	1	-	1	2	-	1	2	1	-	-	1	-	-	9
Chick, Daniel	-		-	-	1	-	1	-	-	-	3	-	-	-		-	-	-	-		-	1	1	-	-	2	9
Cousins, Ben	-	-	2				-	-	-	-	-	-	-	1	-		1	3	-	4	-	-	-	-	-	-	11
Cox, Dean	-	-	-	-	-	-	1	-	-	-	1	1	-						1	-	-	1	1	-	-	-	6
Embley, Andrew	1	-	-	1	-	-	1	2	-	-	-	-	-	-	-	-		-	-	-	-			-	1	-	6
Fletcher, Chad	-	-	1	-	-	1	2	1	1	-	-	-	-	-	-			-	-	2	-	1	-	-	2	1	12
Gardiner, Michael													-	-	-												
Glass, Darren	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	
Graham, Jaymie	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-		-		2
Hansen, Ashley	-						1	1	1	-	-			1	-		-	1	-					-	-	-	5
Hunter, Adam	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-					-	-	-	-	-	1	2
Hurn, Shannon					-	-		-				-			-	-											
Jones, Brett		-		-	-	-									1	-	-	-		-	1	-	-	-	-	-	2
Jones, Rowan	-	-	-	1	-	-	-			1	1	1	-		1	1	3	1	1	-	1	1	-	-	-	-	13
Judd, Chris	1	-	1	1	-	-	-	-	1				-	-	1	-	1	-	2	-	-	1	1	1	-	-	11
Kerr, Daniel	1	1	1	-		-	1	2	-	-	-	-	-	1		1	2	-	-	-				2	-	1	13
LeCras, Mark														-	-							1	-				1
Lynch, Quinten	-	-	3	-	-	-	1	-	-	1	1	-	1	1	-	-	1	1	-	-	1	1	-	-	-	-	12
McDougall, Andrew																-											
Morton, Mitch																	-										
Nicoski, Mark	-	-	-	-			-	-	-	-	-	-	-	-													
Priddis, Matt										-		-															
Rosa, Matt		-	2	-	-	-	-	-	-	-	-		-			-						2	-	-			4
Sampi, Ashley	1	1	-	-	1	-	-										1	1	-	1	-						6
Seaby, Mark	-	-	-	-	-	-	-	1	1		-	-		1	-	-	2	1	1	-	-	2		1	-	-	10
Selwood, Adam	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	1	-	3
Staker, Brent	-	1	1	2	-	1	-	1	1	2	-	1	1	1	-	1	-	1	-	1	-	2	2				19
Stenglein, Tyson	1	-	-	-	2	-	-	-	-	-	-	-	-	-	1	-	-	1	1	-	-	-	-	-	2	-	8
Waters, Beau	-	-	-	-	1			-	1	-	-	-		-	-	-	-	-	-	-	-	-	-	1	-	-	3
Wirrpanda, David	1	-	-	-	1	-	-	-	-	-	1	-	-	-	-	1	-	-	-	-	-		-	-		-	4
Wooden, Josh					1	3																					4
Totals	8	4	12	7	8	5	10	9	7	6	8	3	2	7	4	5	17	10	8	12	4	16	5	8	7	5	197
Opponent	SK	AD	RI	KA	BL	FR	CW	ES	ME	GE	CA	PA	WB	HW	SY	CW	AD	SK	KA	BL	FR	RI	SY	WB	AD	SY	
