Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	GF	Tot
Armstrong, Steven													-				-	-	-	-		-	-	-	-	-	
Banfield, Drew									-	-	-	-	-		-	-	-			-	-	-	-		-	-	
Braun, Michael	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	
Butler, Sam													-	-	-	-	-	-	-	-	-	-	1	-	-	-	1
Chick, Daniel	-		-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-		-	-	1	-	-	-	1
Cousins, Ben	-	-	-				-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	
Cox, Dean	24	29	20	16	17	25	22	23	21	24	28	10	16						11	23	12	21	39	18	16	34	449
Embley, Andrew	-	1	-	-	-	-	-	-	1	-	1	-	-	-	-	-		-	-	-	-			-	-	-	3
Fletcher, Chad	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			-	-	-	-	-	-	-	-	-	
Gardiner, Michael													15	11	16												42
Glass, Darren	-	1	1	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	2
Graham, Jaymie	1	-	-	-	-	-	1	-	1	-	2	-	-	-	-	4	-	-	-	-	-	-	3		-		12
Hansen, Ashley	-						-	-	-	-	-			-	-		-	-	-					-	-	-	
Hunter, Adam	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-					-	-	-	-	-	-	2
Hurn, Shannon					-	-		-				-			-	-											
Jones, Brett		-		-	-	-									-	-	-	-		-	-	-	-	-	-	-	
Jones, Rowan	-	-	1	-	-	1	-			1	4	1	-		-	-	1	-	-	-	-	-	2	-	-	-	11
Judd, Chris	-	-	-	-	-	-	-	-	-				-	1	-	-	-	-	1	-	-	-	-	-	-	-	2
Kerr, Daniel	-	-	-	-		-	-	-	-	-	-	-	-	-		-	-	-	-	-				2	-	-	2
LeCras, Mark														1	-							-	-				1
Lynch, Quinten	1	-	-	-	-	1	1	-	-	2	-	3	2	-	-	2	10	9	-	-	2	-	2	1	1	-	37
McDougall, Andrew																-											
Morton, Mitch																	-										
Nicoski, Mark	-	-	-	-			-	-	-	-	-	-	-	-													
Priddis, Matt										-		-															
Rosa, Matt		-	-	-	-	-	-	-	-	-	1		-			-						-	-	-			1
Sampi, Ashley	-	-	-	-	-	-	-										-	-	-	-	-						
Seaby, Mark	15	5	9	6	11	18	14	10	10		9	7		15	31	24	25	16	16	12	5	8		9	4	6	285
Selwood, Adam	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	2
Staker, Brent	-	1	-	-	-	1	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-				3
Stenglein, Tyson	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	1	3	-	-	-	-	1	-	-	-	6
Waters, Beau	-	-	-	-	-			-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	
Wirrpanda, David	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-		-	
Wooden, Josh					-	-																					
Totals	41	37	31	22	28	46	38	33	33	28	48	22	33	28	47	30	37	29	28	35	19	29	49	30	21	40	862
Opponent	SK	AD	RI	KA	BL	FR	CW	ES	ME	GE	CA	PA	WB	HW	SY	CW	AD	SK	KA	BL	FR	RI	SY	WB	AD	SY	
