Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	GF	Tot
Armstrong, Steven													-				-	1	3	1		-	2	-	-	-	7
Banfield, Drew									2	7	4	3	4		2	1	1			4	1	2	1		3	3	38
Braun, Michael	3	5	1	2	2	1	4	1	1	4	2	-		5	3	6	2	3	4	2	-	1	6	4	3	1	66
Butler, Sam													4	-	3	3	-	3	2	2	1	2	1	-	2	1	24
Chick, Daniel	5		4	3	2	5	3	2	2	2	2	2	2	2		5	4	3	6		1	1	6	5	1	9	77
Cousins, Ben	4	-	1				3	4	1	2	-	-	1	-	-		3	-	3	1	2	2	6	1	2	3	39
Cox, Dean	4	2	-	-	-	2	1	3	1	3	1	1	2						2	1	2	1	2	1	-	3	32
Embley, Andrew	-	1	1	-	-	4	3	1	2	2	-	-	-	4	-	2		2	2	2	-			2	-	1	29
Fletcher, Chad	3	-	1	2	-	-	-	1	2	3	1	1	1	-	-			2	-	-	1	-	1	1	-	-	20
Gardiner, Michael													3	1	-												4
Glass, Darren	5	5	6	8	4	4	8	8	5	3	8	11	5	4		4	8	7	-	3	4	4	8	4	9	7	142
Graham, Jaymie	-	3	-	6	5	1	3	5	3	7	4	5	-	4	1	-	5	1	4	3	1	4	2		3		70
Hansen, Ashley	4						-	-	1	1	2			2	-		1	2	-					-	1	1	15
Hunter, Adam	1	3	-	2	2	7	4	2	12	1	7	3	2	7	5	1					1	6	3	1	-	5	75
Hurn, Shannon					1	1		-				5			4	1											12
Jones, Brett		3		4	1	1									1	5	2	4		3	2	2	3	3	3	8	45
Jones, Rowan	-	-	-	-	-	-	-			1	1	1	-		1	-	-	3	4	1	1	-	-	1	-	2	16
Judd, Chris	3	2	1	2	1	-	2	4	-				2	2	3	3	1	-	2	-	-	2	-	3	4	3	40
Kerr, Daniel	4	1	1	3		3	3	1	2	3	3	3	-	-		-	7	4	8	1				3	1	3	54
LeCras, Mark														2	2							-	-				4
Lynch, Quinten	-	2	1	2	-	2	-	-	1	1	-	1	1	1	2	1	3	1	1	-	-	-	1	4	-	1	26
McDougall, Andrew																-											
Morton, Mitch																	-										
Nicoski, Mark	3	3	3	3			3	3	3	5	2	3	4	-													35
Priddis, Matt										-		1															1
Rosa, Matt		-	1	-	3	3	-	1	-	1	2		2			1						-	2	4			20
Sampi, Ashley	-	3	1	1	1	-	1										-	2	4	1	-						14
Seaby, Mark	-	2	-	3	1	-	-	1	3		2	-		1	4	3	2	7	5	-	-	3		2	1	2	42
Selwood, Adam	3	6	-	3	1	1	-	4	4	2	1	2	3	3	1	1	4	4	2	2	1	2	3	4	1	3	61
Staker, Brent	2	1	2	3	3	2	-	1	-	4	2	5	1	6	-	2	-	4	1	-	3	1	-				43
Stenglein, Tyson	2	7	4	7	3	5	4	2	1	1	4	6	5	1	5	1	1	3	2	4	3	2	4	3	3	5	88
Waters, Beau	3	4	1	2	1			1	2	1	6	3		1	-	1	1	-	3	1	-	1	2	2	1	2	39
Wirrpanda, David	1	-	4	-	4	1	3	2	1	5	2	6	3	1	2	1	2	2	1	7	1		3	1		2	55
Wooden, Josh					4	-																					4
Totals	50	53	33	56	39	43	45	47	49	59	56	62	45	47	39	42	47	58	59	39	25	36	56	49	38	65	1237
Opponent	SK	AD	RI	KA	BL	FR	CW	ES	ME	GE	CA	PA	WB	HW	SY	CW	AD	SK	KA	BL	FR	RI	SY	WB	AD	SY	
