Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	SF	Tot
Bateman, Chance	-			-	-		-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
Birchall, Grant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Boyle, Tim	-	-	2	-	-	-	1	-	1	-	1	-	-					-	2	-	1	2	-	-	10
Brown, Campbell		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Campbell, Robert	9	29	19	14	9	22	10	12	13	16	11	33	13	15	17	11	19	12	17	16	11	20	14	23	385
Clarke, Tim	-	-																							
Crawford, Shane		-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	2
Croad, Trent	-	-				1	-	-	-		-	-	-	-	-	-	-	-	-	1	-	-	-	-	2
Dixon, Ben		-	-	-	-	-	-	-		-					-	-	-	-	-	-	-	-	-	-	
Dowler, Beau																	-								
Ellis, Xavier	-	-	-	-	-					-		-	-	-	-	-				-	-				
Franklin, Lance	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-		-	-	-	-	-	-	-	
Gilham, Stephen	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
Guerra, Brent	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Hodge, Luke	-	1	-	-	-	-	-	-	-	1	-	-	-	-	-	1	1	-	1	2	-	1	2	2	12
Jacobs, Danny	-	-	-	-					-	-	-	1		-											1
Ladson, Rick	-	-	-		-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Lewis, Jordan	-	1	-	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	2	1	-	6
Little, Matthew																-									
McGlynn, Ben	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-		-			2
Mitchell, Sam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	
Moss, Garry							-																		
Murphy, Tom					-	-	-										-								
Osborne, Michael	-		-	-	-	-	-	-	-	-	1	-	-										-	-	1
Roughead, Jarryd	-		-	2	-	-		7	-	-	1	-	1	-	1	3	2	2	5	1	4	6	1	1	37
Sewell, Brad	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	1
Smith, Joel								-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Taylor, Simon	10	12	12	14	19	21	12	17	16	16	11	21	16	15	15	18	16	6	10	8	10	14	14	13	336
Thorp, Mitch															1										1
Thurgood, Josh					-									-											
Tuck, Travis																	-								
Vandenberg, Richard						-											-	-	-		-	-	-	-	
Williams, Mark	-	-	-	-																					
Young, Clinton	-	-	-	1		-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	2
Totals	19	43	33	32	29	44	23	37	30	34	25	55	32	30	35	34	38	20	35	29	27	45	32	39	800
Opponent	BL	ME	KA	GE	WB	ES	FR	SK	WC	PA	SY	CA	CW	AD	RI	SK	KA	ES	BL	PA	WB	SY	AD	KA	
