Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	Tot
Bentley, Greg			84	75	82	59	87	86	88	55			62	65	67			32								70.2
Boak, Travis												61	46	73	87	71	62	67	67	87	38	54	56	75	58	64.4
Brogan, Dean	80	77	28				65	50			62	81	57	55	77	54	86			68	75	74	62	71	65	65.9
Burgoyne, Peter		69	68	75	88	84	77	80	86	76	84	95	93	90	86	94	79	96	90	88	94	88	83	93	90	85.3
Burgoyne, Shaun	89	82	80	78	83	86	84	89	92	94	87	82	84	82	60	81	79	84	88	89	86	82	90	95	88	84.6
Carlile, Alipate														81	100	94	75	82	93	44		69	77			79.4
Cassisi, Domenic	100	85	91	100	94	100	94	96	97	100	89	85	94	91	87	79	81	89	90	97	91	82	89	82	87	90.8
Chaplin, Troy	79	84			94	85										87	82	95	77	96	94	100	100	96	88	89.8
Cockshell, Adam	68	58																								63.0
Cornes, Chad	94	100	95	100	93	94	85	97	81	82	97	90	88	92	93	91	87	97	96	89	88	95	94	94	90	92.1
Cornes, Kane	92	88	92	91	98	90	84	100	100	100	96	93	96	100	93	85	87	100	100	93	92	98	96	97	90	94.0
Deluca, Fabian									48	35									42							41.7
Ebert, Brett	100	93	89	94	91	94	88	95	97	89	85	93	69	77	94	82	90	90	86	89	85	83	88	77	83	88.0
Gray, Robbie										69	75	84	75			75										75.6
Krakouer, Nathan	75	59	66	60	57	69	60		90		55						62	46								63.5
Lade, Brendon	95	68	91	82	69	88	69	83	82	73	68	92	52	97	69	69	98	95	86	88	89	81	81	82	66	80.5
Logan, Tom	61	66	65	70																	75	67	58	78	62	66.9
Lonie, Nathan	72	99	85	97	93	94	90	96	81	93			88	100	66	73	82	89	78							86.8
Mahoney, Josh		84	75	82	89	62	78	61						68												74.9
Motlop, Daniel	34					63	73	80	1				85	87	81	84	74	90	86	93	83	78	79	82	80	74.1
Pearce, Danyle	79	88				81	90	73	85	81	84	66	87		69	84	95	85	74	82	84	74	75	92	81	81.4
Pettigrew, Michael	93	93	100	86	100	97	87	95	91	100	93	94	97	88	98	88	92	93	81	92	91	96	95	84	92	92.6
Rodan, David	78	79	84	61	75	62	81	77	93	78	82	83	93	84	90	76	83	87	87	85	84	83	77	89	87	81.5
Salopek, Steven	90	81	89	66	82			67	88	37	78	45								62	66	76	75	84	85	73.2
Surjan, Jacob	88	87	92	100	100	100	91		86	94	87	83	97	100	84	90	80	77	89	85	90	90	87	72	98	89.5
Symes, Brad				95	89			83		82	88	60													66	80.4
Thomas, Matt						95	82	56	85																	79.5
Thomson, Adam														66	69		67	59	58	40						59.8
Thurstans, Toby	92	96	91	61	46	45	91	87	100	100	93	93	100	98	100	93	100	88	95	87	85	96	100	93	92	88.9
Tredrea, Warren			78	71	84	77	86	74	92	94	86	87	80	75	80	91				74	87	71	87	73	79	81.3
Wakelin, Darryl	74		100	100	91	100	89	100	64	100	100	100	100								70			83	95	91.1
Westhoff, Justin										86	82	93	87	52	77	86	88	87	93	92	83	89	92	83	77	84.2
White, Damon	87	78	71	80	85	77	69	76	75	82	59	68							66							74.8
Wilson, Michael	79	87	85	77	18						70	71	71	82	74	71	71	71	79	81	70	74	62	26		69.4
Totals																										
Opponent	FR	KA	AD	CW	SK	ME	RI	SY	GE	HW	CA	ES	BL	WB	WC	RI	ME	AD	CA	HW	GE	FR	WC	KA	GE	
