Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Bowden, Joel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Bowden, Patrick	-	-		-																			
Brown, Nathan												-	-	-	-	-	-	-	-	-	-	-	
Connors, Daniel																	-	-	-	-			
Deledio, Brett	-	-	-	-	-	-	-	-	2	-	-	1	-	-				-	2	-	-	-	5
Edwards, Shane				-	-			-	-	-	-		-	-	-	-	-	-	-	-	-	-	
Foley, Nathan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	-	-	-	3
Gaspar, Darren	-	-	-	-	-																		
Graham, Angus																		-	-				
Hartigan, Brent															-								
Howat, Cameron	-	-	-				-	-	-	-	-	-	-	-	-	-			-	-			
Hughes, Cleve					-	-	-				-	-					-	-					
Hyde, Chris	-	-	-	-	-	-	-				-	-	-		-	-						-	
Jackson, Daniel					-	-		-	-	-	-	-	-	-	-	-			-	-	-	-	
Johnson, Kane	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1
King, Jake				-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Kingsley, Kent									-	-	-												
Krakouer, Andrew	-	-	-	-			-	-	-			-					-						
McGuane, Luke	-	-	-	-	-	-	-									-	-	-	-	-	-	-	
Meyer, Danny						-		-	-														
Moore, Kelvin	-	-	-			-											-				-	-	
Newman, Chris	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	5
Oakley-Nicholls, Jarrad					-	-	-																
Pattison, Adam	-	-	-				-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	
Pettifer, Kayne	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	4
Polak, Graham	-	-	-	-	2	-	-	-	-	-	-	3	-	-	-	-	-	-	-	-	-	-	5
Polo, Dean	-	-	-	-			-	-		-	-												
Raines, Andrew	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Richardson, Matthew	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	1	-	3	-	6
Riewoldt, Jack									-					-		-	-	-		-	-	-	
Schulz, Jay	-	-	-	-	-	-	-	-		-					-	-					-		
Simmonds, Troy			-	-	-	-							-	-	-	-	-	-					
Tambling, Richard	-	-	1	-	-	-		-	-	1	-	-	-	-	-		-	-	-	-	-	-	2
Thursfield, Will								-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Tivendale, Greg	-	-	-	-	-		-	-	-	-		-	-	-	-	-		-	-	-	-	-	
Tuck, Shane	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2
White, Matt						-	-			-	-	-	-	-									
Totals	2	0	1	2	2	0	0	0	2	1	0	6	0	0	0	0	0	0	6	0	6	5	33
Opponent	CA	SY	CW	WB	WC	GE	PA	AD	ES	BL	FR	ME	SK	KA	HW	PA	SY	GE	CW	WC	ES	SK	
