Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	Tot
Addison, Dylan	-	-	1	-	-	-	-	1	-	-	1	-	-	-	-	-	2									5
Akermanis, Jason	2	-	-	3	-	-	1	2	1	2	-	1	1	2	-	-	-	-	-	-	2	1	-	-	-	18
Boyd, Matthew	-	-	1	1	1	-	-	2	1	1	-	1	-	-	1	-	-	-	-	-	1	1	-	1	-	12
Callan, Tim		-	-	-	-	1	-		-	-									-	-	-	-	-	1	-	2
Cooney, Adam	2	1	2	2	-	1	-	-	1	-	1	1	-	-	2	-	-	1	-	-	2	-	-	-	2	18
Cross, Daniel	1	-	1	1	-	2	-	1	-	2	1	-	2	-	1	-	1	1	-	2	1	1	-	1	-	19
Eagleton, Nathan	2			-	-	-	1	1	1	1	2	1	-	1	-	-	-	-	-	1	-	2	1	-	-	14
Everitt, Andrejs											-	-	1	-	-	-	-	1			-					2
Giansiracusa, Daniel	-	1	2	1	1	-	1	1	-	-	-	-	2	1	-	-	2	1	3	-	1	-	-	1	-	18
Gilbee, Lindsay	-	2	-	-	1	-	-	1	-	1	2	-	1	-	1	1	-	1	-	-		-	-	1	1	13
Griffen, Ryan	-	-	-	-	-	1	1	1	-	1	-	2	-	2		-	-	-	2	-	4	-	-	-	-	14
Hahn, Mitch	1	1	1	1	1	-	1	1	1	1	1	-	1	2	-	-	-	1	-	1	2	-	1	1	-	19
Harbrow, Jarrod			-	-	2										-	1	1	1	-	-	-	-	1	-	-	6
Hargrave, Ryan	1	1	-	-	-	1	-	-	1	-	-	-	-	1	-	-	1	-	1	-	1	1	-	-	-	9
Higgins, Shaun	1	-																			-	-	-	-	1	2
Hill, Josh	-	-	-	1	-	-	1	-						-	1		-	2		-	1	1	-	2	-	9
Hudson, Ben	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-		-	-		-	-	-	2
Johnson, Brad	1	1	1	2	-	1	2	1	-	1	2	-	1	3	-	-	-	1	1	-	1	-	1	-	-	20
Lake, Brian	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Minson, Will	-	-	-	1	1	-	1	1	-	-	2	-	1	-	-	-	-	-	2	1	1	1	1	1	-	14
Morris, Dale	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Murphy, Robert	1	1	-	1	1	1	2	2	1	-		1	1	-	3	1	-	-	2	-	1	1	1	2	-	23
Ray, Farren									-	-	-	1	1	-	-	-	-	-	-	-			-			2
Reid, Sam																						-				
Skipper, Wayde																						-				
Street, Peter																			-							
Tiller, Stephen							-	-		1	-			1	-	-		-	-					1	-	3
Ward, Callan											-	-	-						-	1	1					2
Welsh, Scott	-	2	-	-	1	-	-	1	2	-	1	-	-	1		1	1	-	2	-	2	-	1	-	-	15
West, Scott	-	3	-			1																				4
Wight, Cameron	-	-	-	-	-	-	1	-	-						1											2
Williams, Tom								-	-	-	1	-	-													1
Totals	12	13	9	14	9	9	12	16	9	11	15	9	12	14	10	4	8	10	13	6	21	9	7	12	4	268
Opponent	AD	ME	SK	ES	RI	WC	SY	FR	NM	HW	SK	BL	CW	PA	ME	GE	CA	SY	NM	BL	ES	AD	HW	SY	GE	
