Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Bell, Peter	-	-	1	-	1	1	-	2	-		1	-	-	1									7
Black, Heath	-		-					-	-	-	1												1
Bradley, Kepler								-	-	-	-							-	-	-	-	-	
Browne, Andrew															-	1			1	-		1	3
Campbell, Adam		2																	-	-	2	1	5
Carr, Josh	-	-	-	-	-	-				-	2	-	-	1	-	-	-	-	1		-	-	4
Carr, Matthew	-	-	-		-																		
Crowley, Ryan	-	-	1	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	1	-	-	4
Dodd, Steven	-	-	-	-	-	-	-	-	-					-	-	-	-	1	1	-	-		2
Drum, Marcus					-	2	-	-		-									-	-	-	-	2
Duffield, Paul			-	-				-	2	-							-	-	-	-	1	-	3
Dunn, Ryley												1	-	-									1
Farmer, Jeff	1	-	1	-	1	-	2	-	1	-	1	1	-		2	1	2	-		1	-	-	14
Foster, Andrew							-																
Gilmore, Daniel	1	-	-	-	-	-	-																1
Grover, Antoni	1	-	-	-	-	-			-	-	-	-	-	-	-	-	-	-		-			1
Hayden, Roger	-	-	-	-	1	-		-				-	-	-					-	-	-	1	2
Head, Josh														1		-	-						1
Headland, Des	-	3	-	-																	1	-	4
Hinkley, Clayton					-	-								1	-							2	3
Ibbotson, Garrick		-			-	-	-	2	-	-	-	-	-	-	-	-	1	1	-	1	-	-	5
Johnson, Mark	-						2				-	-	-	-	-	-	-	2	1	1	-	1	7
Johnson, Michael	-	-	-		-	-	-	-	1	1	-	-	-		-	1	2	-	-	-	2	-	7
Mayne, Chris		-	1	1					-	-	-	2	-	2	-	-	-	-	1	1	1	3	12
McManus, Shaun	-				1	-	-	2	-	-	-					-	-	2					5
McPharlin, Luke	1	-		1	-	-	-	-	-	-	-	-	-		-	-	-	-	-	1	-	-	3
Mundy, David	-	-	-	1	1	-	1	-	-	-	-	-	-	-	1	1	1	-	-	1	-	1	8
Murphy, Ryan			-			1	-					1	-				-	-			1	1	4
OBrien, Brock							-									-							
Palmer, Rhys		1	2	-	2	2	-	-	-	1	-	1	-	-	-		-	-	1	-	-	-	10
Pavlich, Matthew	1	1	1	1	-	1	-	1	2	2	1	-	-	1	1	3		2	2	-			20
Peake, Brett	1	1	1	-				-	-	1	-	-	-	1	-	1	3	-	-	-	-		9
Sandilands, Aaron	-	2	-	-	-	1	-	1	-	-	-	-	-	-	-	1	-	2	-	-	-	-	7
Schammer, Byron	1	-	-	-	-	-	-	-	1	-		-	1	1	-	-	-	-	-	1	-	-	5
Solomon, Dean	-			2	-	-	2	-	-	-	-	-	-	-	-								4
Tarrant, Chris	-	1		-			1	1	1	-	-	3	2	1	-	1	2	-	-				13
Thornton, Scott				-	1	1	-	-	1	-	-			-	-	1	-	-	1	-	-	-	5
Warnock, Robert			1	-							-	1	-	-	-	-	-						2
Totals	7	11	9	6	8	9	8	9	9	5	6	10	4	10	4	12	11	10	9	8	8	11	184
Opponent	CW	HW	WC	RI	AD	GE	ME	WB	CA	PA	BL	NM	SK	ES	GE	ME	PA	WC	SY	SK	RI	CW	
