Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	Tot
Ablett, Gary	3	1	2	2	2	1		1	3	2	-	1	-	4	1				-	1	-	-	1	1	-	26
Bartel, Jimmy	2	1	2	-	3	-	2	2	1	2	1	-	3	4	2	-	2	5	3	1	4	-	2	5	2	49
Blake, Mark	-	-	-	1	1	-	-	1	2	1	-	-	1	-	1	1	-	2	-	1	-	2	-	1	-	15
Byrnes, Shannon	-	1	1							2	-								-	-	-	-				4
Chapman, Paul	1	-	3	3	2	1	1	-			1	-	-	2	1	-	-				1	-	-		-	16
Corey, Joel	-	4	2	3	-	3	4	2	1	1	-	2	1	1	2	1	3	-	-	1	1	2	-	1	-	35
Enright, Corey	6	5	4	-	1	1	4	4	5	1	4	3	1	5	2	3	4	2	4	1	2	1	2	2	3	70
Gamble, Ryan	-	-		4		1	-	-	-							-	-	1	-	-		-				6
Harley, Tom	3	4	4	-	1	-	2	1	-	3	-	1	-	1	3	3	3	3	2	4	1	3	1	2	-	45
Hawkins, Tom	-	-	-	-	-	-	-	-	-	-																
Hunt, Josh	2	3	2	4	1	3	2	1	2			6	4	3	2	1	4	1	2	3	2	1	-	4	4	57
Johnson, David																	1									1
Johnson, Steve	2	-	-	3	1	-	-	2	1	-	2	-	1	-	1	1	1	1	1	3	1	-	1	1	1	24
Kelly, James	2	2	1	3	1	-	1	-	1	1	3	2	1	1		-	-	-	3	1				-	1	24
Ling, Cameron	2	6	2	6	1	1	4	2	-	1	1	3	1	1	-			1	2	3	-	1	1	1	1	41
Lonergan, Tom										-	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	2
Mackie, Andrew	1				2	2	1	1	5	2	3	3	5	3	3	4	3	-	3	3	2		1	2	2	51
Milburn, Darren	5	2	3	-	1	5	2	1	1	1	6	3	1	3	4	3		4			-	2	4	3	4	58
Mooney, Cameron	-	-	-	2	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2
Mumford, Shane						-	-	-																		
Ottens, Brad										-	-	-	-	1	-	-	-	-	-	-	1	-	-	-	-	2
Prismall, Brent					-						1	1	-			2	-	1	3	1	-	-	-			9
Rooke, Max			1	6	-		2	2		1	1	-	1	-	1	-	-	1	1	-	-		1	-	1	19
Scarlett, Matthew	3	3	1	-	1	2	6	3	1	2	-			5	5	3	1	4	6		4	1	2	1	2	56
Selwood, Joel	2	1	-	3	2	3	-	2	-	2		1	-	2	-	3	5	-	2	2	2	-	1	1	1	35
Stokes, Mathew	-	3	1	-	1	1	-		2	1	1	-		-	1	3	-	-	2	2		1	1	-	-	20
Taylor, Harry		2	3	-		2	3	2	2	4		3	6		1	3	5	3	3	5	-	2	10	1	2	62
Tenace, Kane	-																									
Varcoe, Travis									-	-	-	-	-	-	-	-	1	1		1	-	-	2	2	-	7
West, Trent	-	1	-	1	-				2																	4
Wojcinski, David		-	1	-	1	3	3	-	3	2	3		3	-	2									2		23
Totals	34	39	33	41	22	29	37	27	32	29	28	29	29	36	32	31	33	30	37	33	21	16	31	30	24	763
Opponent	PA	ES	ME	SK	SY	FR	BL	RI	CW	CA	NM	PA	WC	AD	FR	WB	HW	RI	ME	SY	NM	WC	SK	WB	HW	
