Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	Tot
Bateman, Chance	6	4	10	9	7	6		4	10	7	10	1				7	5	4	4	6	3	4	5	2	4	118
Birchall, Grant	8	4	3	4	4	6	6	5	4	3	2	3	2	-	7	4	3	9	2	-	5	8	3	3	2	100
Boyle, Tim	5	3	2								2	4	5													21
Brown, Campbell		6	3	8	5	3	6	5	2	5	3	5	5	2	4	2	5	8	6	5	6	4	5	5	4	112
Campbell, Robert	5	8	5	2	-	6	3	3	7	5	5	4	4	6	5	5	2	6	4	6		4	1	6	5	107
Clarke, Tim	3			3	2				-	6	8	3		4												29
Crawford, Shane				3	8	4	3	1						3	2			2	6	7	4		6	2	5	56
Croad, Trent	-				3	3	2	1	2	2	1			6	4	4	4	3	-	1	3	3	2	1	-	45
Dew, Stuart	5	5					1	1	3			4	7					7	3	1	12	2	6	3	8	68
Ellis, Xavier	2	6	1	5	1	4	-	5	2	2	5	5	4	4	3	1	7	10	6	2		4		4	6	89
Franklin, Lance	11	8	4	8	10	4	8	9	7	4	12	10	3	5	8	5	5	13	8	9	7	7	9	6	3	183
Gilham, Stephen	3	4	2	3	1	2	4	2	4	5	5	4	1	1	4	1	5	3	4	4	4	3		2	2	73
Guerra, Brent	3	3	5	4	-	5	5	2					4	4	2	-	2	3	-	2	6	4	3	-	2	59
Hodge, Luke		9	6	10	9	7	6				9	5	6	10	12	11	8	7	6	5		6	7	5	11	155
Kennedy, Josh									7	5	4															16
Ladson, Rick	5	7	5	6	5	5	2	5	2	7	4	6	6	10	9	5	4	-	7	2	8	1	3	1	4	119
Lewis, Jordan			11		7	7	12	11		10	10	7	7	4		5	11	9	6	5	17	10	6	12	6	173
McGlynn, Ben						3	3	4																		10
Mitchell, Sam	12	9	7		9	8	15	8	11	14	12	5	10	4	6	5	9	12	11	12	7	14	11	14	5	230
Morton, Jarryd									5	5	2	4	6	8	2	3										35
Murphy, Tom	4	1	2	-					2	5		3	1	2	5	5	3	1	3	2	3	9	3			54
Osborne, Michael	8	5	3	5	5	8	-	5	2	3	7	2	4	8	9	8	4			4	7	7	5	3	10	122
Renouf, Brent												1	6	5							6	1	2	3	1	25
Rioli, Cyril	7	7	5	9	3	4	3	7	10	3	5	3	5	4	4	10	7	5	7	3	5	5	5	4	6	136
Roughead, Jarryd	7	8	3	4	4	8	9	6	4	4	6	6	1	10	6	8	3	6	5	2	5	6	8	8	4	141
Sewell, Brad	8	7	13	7	7	7	15	13	9	5					9	8	5	7	5	12	9	8	12	9	8	183
Stokes, Cameron	4	4	1	3													1	3	2		3		1			22
Taylor, Simon	5	4	6	4	3	2	4	6	6	-	6				3	-	2	6	4	3	6					70
Tuck, Travis	3	10	3	-									7		6	5	13									47
Williams, Mark				-	4	4	5	4	5	3	6	1	2	3	7	7	2	4	6	3	3	4	4	8	7	92
Young, Clinton	2	-	2	2	3	1	2	1	2	-	4	5	6	-	4						3	3	3	3	4	50
Totals	116	122	102	99	100	107	114	108	106	103	128	91	102	103	121	109	110	128	105	96	132	117	110	104	107	2740
Opponent	ME	FR	NM	AD	BL	RI	CW	PA	ME	WB	ES	AD	NM	WC	SY	SK	GE	CW	BL	RI	WC	CA	WB	SK	GE	
