Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Bentley, Greg														83	83	80	76	82					80.8/498:48
Boak, Travis	57	69	69	89	84	76	87	83	77	85	79	82	79				78	86		87	81		79.3/1657:48
Brogan, Dean	66	68	60	76	70	68	76	75	81	73	63	80	77	77	71	70	83	77	85		72	86	74.0/1900:47
Burgoyne, Peter	92	86	92	88	88	94	89	96	90	86	90	74	71						90	92	81	86	87.4/1814:40
Burgoyne, Shaun	82	79	81	90	91	84	91	87				87	89	92	82	86	82	84	82	85	85	88	85.6/1987:12
Carlile, Alipate	84	92	80	96	97	88	98	94	92	96	100	100	84	85	94	96	91	100	100	92	94	89	92.8/2498:53
Cassisi, Domenic	85	86	94	92	89	88	89	85	89		88	75	95	82	88	85	88	88	92	87	85	89	87.6/2252:26
Chaplin, Troy		88	92	96	74	96	93	93	78	93	82	92	96	88	94	90	76		98	89	71		88.3/2051:25
Cornes, Chad	96	93	94	96	90	80			92	92	82	86	74		95	94							89.6/1432:13
Cornes, Kane	95	93	100	92	97	95	84	95	97	91	92	90	94	88	92	94	92	91	92	95	86	86	92.4/2486:09
Deluca, Fabian														54	35		64	58	51				52.6/319:59
Ebert, Brett	87	76	91	90	90	92	87	85	85				84	83	84	87	91	94	83	87	82	79	86.2/2008:34
Farmer, Mitch																		70	76	68			71.2/259:45
Gray, Robbie							63	77	71	65	81	75	71	75						82		70	73.0/894:54
Krakouer, Nathan					60					60	58												59.3/219:25
Lade, Brendon	90	81	59	66	61	58	73	49	63	59	59	67	62			52				86	79	55	65.8/1373:40
Logan, Tom	66				62	79	82	90	80	87	92	94	76	92	87	90	77	90	82	84	87	93	83.6/1938:50
Lonie, Nathan														88	90	75	70	85				72	79.9/589:42
Lower, Nick												82	81	84	83	81	85	74	79	80	76	79	80.4/1071:57
Motlop, Daniel	77	83	75	91	71	82	79	76	78	87	84	87	87	80	86	79	88	83	84		84	92	82.5/2119:38
Motlop, Marlon																					70	82	76.1/179:15
Pearce, Danyle	80	67	72	57		61	78	74	85	89	77	72	88	80	82	84	81	74	87	73	76	85	77.2/1982:24
Pettigrew, Michael	89	84	87	89	94	90	86	84	89	86	87	90	95	90	88	77	92	92	86	84			87.9/2160:18
Rodan, David	63	67	89	82	86	75	81	78	70	86	86	65	89	76	87	89	78	85	72	70	72	76	78.3/2108:20
Salopek, Steven	74	82	82	81	76	85	82	86	85	79	88	81	63			82	62						79.2/1467:52
Salter, Nick																		34	74				53.2/128:51
Stewart, Paul	84	69	69	69						73	68			69				84	67		88	73	73.9/990:42
Surjan, Jacob	83	83	91	80	89	82	79	84	78	91		81			84	74	84	84	81	77	89	82	82.9/1925:25
Thomas, Matt	84	82	76	21									79										68.5/426:25
Thomson, Adam					61	66	71	58						76	72	80							69.1/592:44
Thurstans, Toby	96	93	80	100	100	88	87	96	84	92	87						92	94		60	88	94	89.5/1761:17
Tredrea, Warren	81	87	81	82	91	92	56	79	91	78	90	82	95	79	80	90	83						83.4/1745:20
Westhoff, Justin	88	92	89	75	79	83	90	78	79	85	88	79		93	87	66	88	90	87	88	87	89	84.7/2176:44
Westhoff, Matthew																				78	84	88	83.3/299:37
White, Damon														83	56				96	96	83	69	80.5/575:47
Williams, Ryan																			58	61			59.5/142:05
Wilson, Michael									67	68	80	80	72										73.3/450:35
Totals																							
Opponent	GE	SY	AD	BL	WC	SK	ES	HW	SY	FR	CA	GE	RI	WB	NM	AD	FR	SK	CA	CW	ME	NM	
