Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	Tot
Allen, Jarryd													-	-	1									-		1
Armitage, David					-	-	-	-		-	-		-	-	-	-	-							-	-	
Baker, Steven						-	1																			1
Ball, Luke	-	-	-	-	-	1	2	1	1	3	-	2	-	-	-	1	1	-								12
Birss, Shane						-	-	-	-	-	-										-	-				
Blake, Jason		-	-	1	-	-		-	-	-	1	-	1	-	-	-	1	1	-	3	-	1	-	1	-	10
Clarke, Raphael	2	1	1				-	-												2	1	2	1	5	1	16
Clarke, Xavier	6	3	-	-	5	-	3																-			17
Dal Santo, Nick	-	3	7	2	3	4	4	2	2	5	1	-		2	2	-	3	2	1	2	2	-	3	4	-	54
Dempster, Sean				-	-	3	-	-	-	2	-	-	2	1	1	-	3	-	-	3	1	-				16
Eddy, Robert													1	-	-	-	-	-	1	1	-	-	-	-	-	3
Ferguson, Matthew										-	-															
Fiora, Aaron	1	1	1	1					-							-	-	-	1						-	5
Fisher, Leigh	-	-	-	-	-	-		-	-		-															
Fisher, Sam	-	2	-	-	-	-	-	2	-	2	-	3	-	-	1	-	2	2	-	-	-	2	-	3	-	19
Gardiner, Charlie	-				-	-	-	-				1	-	1						-	-	1	-			3
Gardiner, Michael	-	-					-	-	-	-	-	-					-									
Geary, Jarryn	6	-	-						-	-	1	-	-					-	-							7
Gehrig, Fraser		-	-	-			-	-																		
Gilbert, Sam	-	-	1	-	-							-	-	-	-	-	-	-	3	2	-	-	-	-	-	6
Goddard, Brendon			-	3	1	-	-	1	1	2	-	-	1	3	2	-	3	2	4	3	1	1	-	-	1	29
Gram, Jason	1	-	1	-	2	-	-	1	2	5	4	9	4	3	2	-	-	2	2	1	2	3	-	5	-	49
Gwilt, James											-	2	-	-	-			-	-	-	-	1	-	1	-	4
Harvey, Robert	-	1	-	-	3	-	-	2	-	1		-	1	-	2	-	-	-	1	2	-	4	-	-	1	18
Hayes, Lenny	2	2	-	4	-	-	-	-	-	-	-	2	1		1	-	-	-	2	-	1	2	-	-	-	17
Hudghton, Max	-	2	2	-	-	-		1	-	1	2	1	-	1	-	-	-		-	-	-	1	-	-	-	11
Jones, Clinton	2			-	-				-	-	2	2	1	-	2	2	1	-	-	4	-	-	1	-	-	17
King, Steven	-	-	-	-	-			-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Koschitzke, Justin	-	-	-	-	-	-	-	-	-	-	-			1	2	1		-	-	-	-	1	-	1	-	6
Maguire, Matt				1	-	-	-																			1
McEvoy, Ben													-													
McQualter, Andrew												-	-	-	-	-	-	-	-	-			-	-	-	
Milne, Stephen	2	1	-	1	1	-	-	1	-	-	1	-		-	1	-	5	-	1	6	2	2	4	2	-	30
Montagna, Leigh	1	1	3	4	-	-	-	-	2	4	2	1	2	1	1	-	2	3	-	5	3	1	-	6	-	42
Riewoldt, Nick	-	-	-	-	-	-	-		-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	1
Rix, Michael						-																				
Schneider, Adam	1	-	2				1	2	3	1	1	-				-	-	2	-	2	-	1	-	3	-	19
Totals	24	17	18	17	15	8	11	13	11	26	15	24	14	13	18	4	21	14	16	36	13	23	9	31	3	414
Opponent	SY	CA	WB	GE	ES	PA	RI	CW	BL	ME	WB	SY	FR	NM	CA	HW	WC	PA	CW	FR	AD	ES	GE	CW	HW	
