Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	SF	Tot
Adcock, Jed	18	22	25	25	13	15	16	17	27	30	18	19	26	29	3									11	314
Austin, Matt								10	10	6					3						11	10	14	8	72
Black, Simon		28	16	25	24	24	24	28	27	23	33	29	29	18	33	21	30	27	23	37	18	24	29	14	584
Bradshaw, Daniel	13	15	8	7	10	10	14	13	15	14	13	8	12	10	11	4			11	13	11		16	12	240
Brennan, Jared				20	17	21	12	13	26	14	24	19	26	15		15	19	13	21	18	17	18	18	22	368
Brown, Jonathan	15	18	12	14	9	24	19	11	8	15	19	18	18	10	23	15	21	15	21	16	8	22	15	19	385
Charman, Jamie	11	5		8																					24
Clark, Mitch	18	6	10	14	6	15	12	16	21	21	15	13	18	20	14	15	22	20	28	22	21	18	15	10	390
Collier, Tom	10				9				10						17	10	5								61
Cornelius, Aaron									9																9
Dalziell, Bradd	28	21	26	28	11											22	16	20							172
Drummond, Josh	15	30	25	15	16	19	21	18	27	17	-				29	14	25	20	17	18	13	6		14	359
Hanley, Pearce																	10								10
Harding, Scott	9					10	9	13	9	7	15	12	19	9					8	10	19	14	9		172
Hawksley, James																		16	11	12	15	10	9	15	88
Henderson, Lachie					6					15	14	13	11	9								13			81
Hooper, Rhan	18	7								8	4	12	11	6									3	6	75
Johnstone, Travis	37	16	16	13	15	28	15	34	11		16			20						17	20	25	20	16	319
Leuenberger, Matthew	13	6	7																						26
Macdonald, Joel	28	19	15	13	11	15	17	15	33	10	17	25	26	21	31	14	15	26	14	17	11	15			408
McGrath, Ashley	17	7	14	15	8	13	11	13	20	14	11	19	22	22	30	14	21	29	12	16	20	21	19	15	403
Merrett, Daniel	16	9	11	13	7	15	16	7					10	11	15	9	13	11	9	13	3		11	16	215
Notting, Tim			6	11					9	14	17	12			20	15	13		11	14				21	163
Patfull, Joel	21	15	9	14	12	17	15	7					14	14	20	15	8	10	10	10	12	6	14	16	259
Polkinghorne, James					9	8	12	11	8	11	12	15	9	12	15	12	12	5	7	20	7	9	12	10	216
Power, Luke	35	33	15	28	20	24	27	19	20	19	26	36	33	25	34	18	26	23	28	24	31	16	24	31	615
Proud, Albert		11	11			16	15	11		14	11	17	10	13	8	8	14								159
Redden, Jack															8	16	22	18	13	7	24	12	11	7	138
Rich, Daniel	21	19	17	12	12	15	16	18	14	25	15	11	20	12	32	31	18	19	12	17	17	17	12	13	415
Rischitelli, Michael	19	18	10	20	5	15	11	12	7	21	16	20	19	20	19	19	17	15	17	12	14	11	15	17	369
Rockliff, Tom																		5							5
Roe, Jason			9	17	10							12	14					8				8	17		95
Selwood, Troy	15	10	20	14	12	24	9					1						7	7						119
Sheldon, Sam						10	15	13	13	13	14	13	19	14	6	12	8	8	11	6	16	8	11	9	219
Sherman, Justin	23	18	13	12	15	21	19	35	26	14	21	29	13	26	22	15	22	24	33	27	22	18	14	16	498
Stiller, Cheynee	20	15	18	12		18	14	13	10	13	17	17	27	14	10	11	16	12	16	18	12	12	9		324
Totals	420	348	313	350	257	377	339	347	360	338	348	370	406	350	403	325	373	351	340	364	342	313	317	318	8369
Opponent	WC	CA	SY	CW	GE	ES	RI	AD	SK	NM	CA	HW	ME	PA	GE	FR	NM	CW	ES	WB	PA	SY	CA	WB	
