Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	SF	Tot
Adcock, Jed	3	2	6	-	2	2	1	3	3	3	4	6	3	4	1									2	45
Austin, Matt								1	-	-					-						1	-	2	-	4
Black, Simon		2	1	1	1	2	1	1	1	1	3	2	1	1	6	1	1	3	-	2	2	-	1	1	35
Bradshaw, Daniel	-	-	-	-	3	-	-	-	1	2	1	-	-	-	-	-			-	-	-		-	-	7
Brennan, Jared				2	2	1	1	3	2	1	-	3	4	-		3	1	1	-	3	3	1	1	2	34
Brown, Jonathan	-	1	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2
Charman, Jamie	-	1		-																					1
Clark, Mitch	3	-	2	2	2	2	-	3	1	5	1	1	-	2	1	1	2	1	2	1	1	1	-	1	35
Collier, Tom	1				2				-						5	1	-								9
Cornelius, Aaron									-																
Dalziell, Bradd	3	1	2	2	2											-	2	2							14
Drummond, Josh	2	8	6	9	5	4	6	3	10	4	-				8	2	6	5	6	2	2	3		2	93
Hanley, Pearce																	-								
Harding, Scott	1					1	-	2	-	-	1	-	-	-					-	-	-	1	1		7
Hawksley, James																		3	2	1	1	4	-	4	15
Henderson, Lachie					2					1	1	2	-	2								1			9
Hooper, Rhan	-	-								-	-	-	-	-									-	1	1
Johnstone, Travis	3	2	-	-	2	-	2	2	-		3			2						3	1	2	-	1	23
Leuenberger, Matthew	-	-	1																						1
Macdonald, Joel	3	3	-	-	2	4	3	3	3	1	2	4	3	6	3	2	3	7	4	4	-	2			62
McGrath, Ashley	4	3	3	5	5	1	3	3	7	3	4	3	4	10	1	1	6	7	1	1	2	2	8	3	90
Merrett, Daniel	2	5	3	2	3	3	3	2					1	1	2	-	3	-	3	4	-		7	6	50
Notting, Tim			-	-					-	3	3	-			-	1	-		1	-				6	14
Patfull, Joel	5	4	-	3	3	3	2	-					3	1	6	1	1	1	3	1	2	1	4	4	48
Polkinghorne, James					1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	-	-	-	-	4
Power, Luke	5	1	1	3	4	2	4	1	1	2	2	5	3	1	5	4	1	1	-	-	5	-	-	2	53
Proud, Albert		-	-			1	-	-		1	-	-	-	-	-	-	1								3
Redden, Jack															1	2	3	1	1	-	-	1	-	-	9
Rich, Daniel	-	1	2	1	1	-	1	-	1	3	1	-	1	-	3	2	5	3	1	2	3	1	2	2	36
Rischitelli, Michael	-	1	1	-	1	2	-	-	-	-	1	1	2	1	-	1	1	-	-	1	-	-	1	1	15
Rockliff, Tom																		-							
Roe, Jason			4	8	4							2	4					2				1	3		28
Selwood, Troy	1	-	1	2	3	1	-					-						-	-						8
Sheldon, Sam						2	4	3	2	3	1	1	3	2	1	1	-	-	1	-	1	-	-	1	26
Sherman, Justin	1	-	-	1	1	4	1	-	2	2	1	-	-	-	-	1	1	1	1	3	3	1	3	3	30
Stiller, Cheynee	3	1	-	1		1	-	2	2	-	1	-	1	1	-	1	2	-	2	3	1	4	-		26
Totals	40	36	33	42	52	36	32	32	36	35	30	30	33	34	43	25	39	38	28	34	28	26	33	42	837
Opponent	WC	CA	SY	CW	GE	ES	RI	AD	SK	NM	CA	HW	ME	PA	GE	FR	NM	CW	ES	WB	PA	SY	CA	WB	
