Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	Tot
Addison, Dylan	3	3	3	2	-	-		2									1	1	2	3	3					23
Akermanis, Jason	1	5	1	2		-	-	2	2	3	1	1	1	1	2	-	2	-	-	1	-	2	1	2	-	30
Boyd, Matthew	2	3	1	1	2	2	1	1	1	2	2	-	1	2	2	-	2	1	2	3	2	2	2	3	1	41
Callan, Tim									3															3	2	8
Cooney, Adam	-	1	1			1	2	2	-	-	2	1	3	-	-	2	-	1	-	2	1	2	1	-	-	22
Cross, Daniel	4	6	2	2	1	1	2	2	1	2	-	3	-	3	3	1	2	2	2			-	1	4	2	46
Eagleton, Nathan	-	3	2	-	3	2	1	1	2	1	-	2	-	1	1	1	1	-	-	1	1	-	2	1	-	26
Everitt, Andrejs	1					7	2	2										4	1			-				17
Giansiracusa, Daniel	-	1	-	2	1	1	1	1	2	6	1	-	2								-	3	1	-	2	24
Gilbee, Lindsay	4	7	1	1	1	2	2	2	2	-	3	4	1	4	2	-		2	4	3	4	2	2	1	-	54
Grant, Jarrad					1																					1
Griffen, Ryan	2	1	2	1	1	1	-	-	2	-	-	1	2	1	-	1	1	1	-				1	3	-	21
Hahn, Mitch	3	6	2	-	-	2	2	-	2	1	-	3	2	1	2	1	1	-	1	-	3	-	2	1	4	39
Harbrow, Jarrod		4		2	4	5	2	5	1	2	2	5	2	3	3	5	5	-	5	2	4	6	6	8	5	86
Hargrave, Ryan	2	7	3	5	1	2	3			2	4	5	6	2	4	6	1	5	5	6	1	4	3	1	1	79
Higgins, Shaun	3	1	-	3	-	1			1	1	1	1	-	-	1	1	-				3	1	-	1	-	19
Hill, Josh	-	3	4	1	3	-	1	-	1	2	2	-	-	-	2	-	1	2	3	2	3	3	1			34
Hudson, Ben	-	3	2	3	-	2	-	5	4	-	1	1	1	3	2	1	1	1	2	-	2		1	1	2	38
Johnson, Brad	2	-	-	1	-	1	2	2	1	-	2	3	4	1	1	-	1	-	-	-	1	-	2	4	1	29
Lake, Brian	4	6	7	1	2	6	3	5	8	2	2	3	5	10	7	6	7	3	3	4	5	7	5	4	12	127
Minson, Will	1	-	2	2	1	1	4	-	1	-	2	1	-	2	1	2	2	3	1	-	1	1	-	1	1	30
Morris, Dale	3	7	3	8	5	7	2	9	3	7	6	3	6	8	7	7	5	3	9	4	7	4	7	11	9	150
Murphy, Robert					1	-	2	-				3	2	2	3	1	-			2	1	-	2	2	2	23
Picken, Liam		-	4	1	-	2	-	-	4	-	-	2	2	1	1	2	-	2		1	4	4	3	1	2	36
Reid, Sam														2						1	1	1				5
Stack, Brennan											2							1	3							6
Tiller, Stephen	1		4	11						5	3															24
Ward, Callan	-	4	-	-	2				1	3	3	2	1	-	-	2	1	-	2	-	-	3	3	3	1	31
Welsh, Scott							2	2	1	-		6	5	1	1	-	1			2	3	4	1	4	-	33
Williams, Tom	1	7	3	4	2		3	4	1						5	3	5	3	2	4						47
Wood, Easton																			2	3						5
Totals	37	78	47	53	31	46	37	47	44	39	39	50	46	48	50	42	40	35	49	44	50	49	47	59	47	1154
Opponent	FR	NM	RI	WC	CA	SK	AD	ME	GE	SY	RI	PA	NM	HW	CW	ES	SK	FR	WC	BL	GE	CW	GE	BL	SK	
