Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	Tot
Anthony, John	-	1	-	-	-	1		2	-	-	3	-	-	-	-	1	1	-	-	1	1	2	-	1	-	14
Barham, Jaxson				1	-	1	1										-	1								4
Beams, Dayne		1	-	-	-	-		-					4	1	2	3	-	-	-	-	2	-	1		1	15
Brown, Leigh		-	2	-	1	-	1	-	-	1	-	-	-	-	-	1	-	1	1	-	-		1	-	3	12
Brown, Nathan	-	1	-	-	1	-	-	-	1	1	-		-	2		-										6
Bryan, Chris	-																									
Clarke, Martin	1	1	-	2	-	1	1	-	-	-	1	-														7
Cloke, Travis	1	1	1	-	-	-	-				1	-	1	2	2	-	2	2	1	2	-	1	-	2	-	19
Cook, Ryan								1	-																	1
Corrie, Anthony						1	2	-																		3
Cox, Shannon	-	-	1	-	1			-	-	1	1	-	1													5
Davis, Leon	1	2	2	1	1	-		-	-	-	-	1		-	1	-	1	2	-	-	1	1	1	-	1	16
Dawes, Chris													-				-		-	2						2
Dick, Brad		1	-						1	-	1	1	-	1	1	-			-	1	2	-		-	-	9
Didak, Alan	1	1	-	-						-	-	1	-	1	2	1	1	-	-	6	-	1	-	-	-	15
Fraser, Josh	2	3	3	3	1	1	-		2	3	3	1	1	-	-						3	-	2			28
Goldsack, Tyson	-			1	-				-				1	-	1			1	2			1		-	-	7
Johnson, Ben	-	1	1												1	2	1	1	1	1	-	-	-	1	-	10
Lockyer, Tarkyn	-	-	-	1	-	2	3	3	-	1	-	-	-	1	-	-	1	-	-	-	-	1	1	-	2	16
Lumumba, Heritier	2	1	1	1	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-	-	-	1	1	9
Macaffer, Brent					-	-	-																	1	1	2
Maxwell, Nick	-	1	1			2	2	1	1	1	-	-	2	1	1	-	1	-	-	-	2	1	-	-	2	19
McCarthy, John																						1	-			1
Medhurst, Paul	-	-	-	-	1	1							-	1	-	-	3	1	-	1	1	-	1	1		11
OBree, Shane	1	-	1	-	-	-	1	3	1	1	1	2	-	-	-	-	-	1	-	1	1	-	-	3	1	18
Pendlebury, Scott	1	-	1	3	3	3	1	3	1	-	-	-		1	2	-	1	1	1	-	-		-			22
Prestigiacomo, Simon	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	1	-	-	-	-	1	4
Reid, Ben	-							1																		1
Rocca, Anthony				1	-		2																1			4
Shaw, Heath		-	1				1	1	-	-	-	1	-	-	-	2	3	1	-	-	-	1	-	-	1	12
Sidebottom, Steele							-	1	-	2	1	1					-	1					2	-	-	8
Stanley, Danny							-																			
Swan, Dane	2	-	2	-	-	-	1	-	1	-	-	-	-	1	-	1	1	-	-	1	-	-	1	-	1	12
Thomas, Dale	1		1	1	-	4	-			1	-	1	-	-	1	1	-	1	-	-	1	-	2	-	1	16
Toovey, Alan	1	-		-	-	1	-	-	1	1	-	1	-	-	-	1	2	-	2	-	-	1	2	1	-	14
Wellingham, Sharrod						1	1	1	1	-	-	-	-	-	-	1				-	1	-		1	-	7
Wood, Cameron								2	-	1		-				5	-	1	3	-	-	-		-	2	14
Totals	14	16	18	15	9	19	17	19	10	14	12	10	11	12	14	21	18	15	11	17	15	11	15	12	18	363
Opponent	AD	ME	GE	BL	ES	NM	SK	CA	WC	PA	ME	SY	FR	ES	WB	HW	CA	BL	AD	RI	SY	WB	SK	AD	GE	
