Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	Tot
Atkinson, Jarrod																			9	6	8	11	9	43
Bellchambers, Tom							2	3	4	2										9	5			25
Daniher, Darcy		7	3	3																				13
Davey, Alwyn	9	3	4	10	7	4	5	8	6	7	12	7	4	7	5	8	9		3	10	3			131
Dempsey, Courtenay	5	5	7	7	6	6	12	18	11		12	12	8	12	6	6	10	2	11	6			7	169
Dyson, Ricky	7	9	4	6	8	9	6	13	12	9	5	6	4	11	4	7	4	9	7	8	7	5	10	170
Fletcher, Dustin	6	8	4	8	7	3						6	6	3	4	10	8	3	4	2	4	6	10	102
Hille, David	9	8	11	6	-																			34
Hocking, Heath	14	10	7		9	11	11	17	5	16	8	11	10	9	8	6		13	11			12	12	200
Hooker, Cale						10	16	14	8	12	11	10	10	10	9	7	10	14			11	6	15	173
Houli, Bachar	10						8	14	7	18	19								14					90
Hurley, Michael	2														7	9	8	11	3	6	5	2	8	61
Jetta, Leroy			6		6	10			4	7											5			38
Lloyd, Matthew	6	5	6	5	3	5	8	2	2	5	9	3	2	6	5	4	7					5		88
Lonergan, Sam	4				8	5	9	5	11	11	16	7	9	11	6	6		10	8	10		7		143
Lovett-Murray, Nathan					13	12	5	17	8				8	2			13	11	15	13	14	11	18	160
Lovett, Andrew	13	6	8	6	3	11	8	10	9	11	8	8	7	6	8	6	6	4		5	11	7	6	167
Lucas, Scott	3	2	2	3	2	6					11	6	7	5	5	4	4	2						62
McPhee, Adam	4	5		7	10	10	8	12	5	7	9	9		17	6	9	8	7	3	5	9	9	5	164
McVeigh, Mark				7						3	11	8			2	11	5		11	8	5	4	6	81
Monfries, Angus	11	11	10	10	9	2	7	6	4	7	10	9	6	3			9	11	6	6	10	10	5	162
Myers, David		5	5		3	9	5	2																29
Nash, Jay			11	4																				15
Neagle, Jay	1						-	1	-	4	2							4	1	1	1	4	2	21
Pears, Tayte	5	5	5	9	4	5	7	15	3	10	9	10	12	12	9	5	8	11	12	9	11	7	9	192
Prismall, Brent											12	15	11	9	8	9	18	9	12	10	10	5	9	137
Quinn, Michael		12		5															11	5	7		3	43
Reimers, Kyle											4	6	3	7	5	3	6	4	13					51
Ryder, Patrick	7	5	3	5	10	4	5	6	14	15	8	9	11	6	3	6	3	6	4	6		5		141
Skipworth, Hayden	15	8	8	13						13	10	8	8	8				8					4	103
Slattery, Henry	5	4	5	5	6	11	9	6	4	5			8	8	4	9	15	8	9	5	7	4	8	145
Stanton, Brent	10	7	11	12	11	18	15	6	5	11	13	13	6	11	9	11	8	8	8	14	9	15	12	243
Watson, Jobe	12	21	9	14	13	24	16	26	14	13	16	16	9		18	10	17	15	19	19	5	8	8	322
Welsh, Andrew												13	16	11	7	14	9	10		13	11	6	16	126
Winderlich, Jason	8	14	6	9	11	10	17	13	10	9		14	4	10	13	8	11				11	10	8	196
Zaharakis, David		4	5	10	2	5	4	4	3	7	6													50
Totals	166	164	140	164	151	190	183	218	149	202	221	206	169	184	151	168	196	180	194	176	169	159	190	4090
Opponent	PA	FR	CA	NM	CW	BL	HW	SK	RI	GE	AD	ME	CA	CW	SY	WB	RI	WC	BL	SK	FR	HW	AD	
