Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Ballantyne, Hayden													3	6	2	1	2	5			5	1	25
Bradley, Kepler	4	5	2	4							3	3		7	5	5	2	6	8	7	6	7	74
Broughton, Greg			2					3		11	4	11	4	8	8	2	6	11	11	4	8	2	95
Browne, Andrew	2	3																					5
Campbell, Adam											1	2				2							5
Clarke, Zac													1	2	3	1	1						8
Crowley, Ryan	3	1	7	2	5	5																	23
Dodd, Steven	6	3	2	7	1	3	2	2	5	8	3	2	5	9	7	4	6	7	5	2	3	4	96
Drum, Marcus	5																		6	3	4	4	22
Duffield, Paul	4	5		8	3	8	5	6	3	7	-	7	4	7	4	7	1	2	7	2	7	1	98
Foster, Andrew										1	-	3	3			1							8
Gilmore, Daniel			2	14										2									18
Grover, Antoni	2	3	5	5	6	12	5	5	-	6		5	3	16	8	5	3	9	3	4	5	7	117
Hasleby, Paul	5	6	7	4	3	7	5	5	2	7	-	5	10	7	2	2	3	3	4	2	4	1	94
Hayden, Roger				7	3	4	4	2	4												3	5	32
Head, Josh	6	4	3	5						6	3												27
Headland, Des									5	3			7	8				8	8	5	8	5	57
Hill, Stephen	1	-	4	3	3	6	4	1	3	4	3	3	1	4	6	4	3	2	6	3	-	5	69
Hinkley, Clayton			2		3	2	2	2	7					1	3								22
Ibbotson, Garrick	3	2	8	6	8	12	3	3	6	9	6	7	9	2	2	4	2	6	4	2	5	1	110
Johnson, Michael	7	4	9	7	5	5	3	3	6	2													51
Mayne, Chris																		3	5	5	1	6	20
McPharlin, Luke	6	4	7	4	5	10	3	6	6	3		6	6	9	7	2				4	10	4	102
Mundy, David	2	8	7	7	9	6	8	1	3	9	4	2	5	5	2	3	3	8	5	3	4	6	110
Murphy, Ryan	3				1	5	4	3	-						2								18
Palmer, Rhys	2	8	3	4	1																		18
Pavlich, Matthew	1	5	5	5	3	6	5	8	3	2	4	4	-				5	6	5	6	3	3	79
Peake, Brett	5	2	5	7	-	4	3	4	6	4	4		3	2	2	1	4		6	1			63
Pearce, Clancee											6	2				6	4	4	6		3	1	32
Pratt, Luke							3																3
Ruffles, Tim															4	-	3						7
Sandilands, Aaron	3	3	-	2	3	7	7	4	2	7	6	5	8	4			5	4	4	2	4	-	80
Schammer, Byron	3	4	5	8	2	5	6	4	4	4	2	3	3	8	3				5	4	2	5	80
Solomon, Dean		6	3	8	7	4	2	3	2	-	3	2	5		2	3	1	5	2	2			60
Suban, Nick	2	3	3	3	-	4	5	1	2	1	1	1	1	4	4	2	6	1	4	2	2	4	56
Tarrant, Chris	1	7	6	1	1	2	5	2	4	8	1	6	3	9	4	3	3	4	6	3	3	5	87
Thornton, Scott		4			4	6	4	4	2	3	3	2	5	5	4	4	4	4					58
Walters, Michael											6	3						5					14
de Boer, Matthew						4	-	-	-	7	2	4	2	5	2	2	3	9	4	3	1	8	56
van Berlo, Jay																	3	1	3	-			7
Totals	76	90	97	121	76	127	88	72	75	112	65	88	91	130	86	64	73	113	117	69	91	85	2006
Opponent	WB	ES	AD	SK	SY	WC	CA	HW	NM	RI	PA	GE	CW	CA	AD	BL	WC	WB	PA	ME	ES	GE	
