Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	Tot
Ablett, Gary	91	96	92	89	88	78			90	83	89	92	95	98		90	92	88	90	89	93	87	88	92	90	90.0/2399:25
Bartel, Jimmy	90	85	89	81	90	88	86	94	81	85	91	87	88	95	84		87	85	88	94	94	84	86	90	91	88.0/2561:42
Blake, Mark	46	71	59	59	57	64	57	63	66	62	64	62	59	53	63					57	70	66	66	61	46	60.4/1540:46
Byrnes, Shannon			76	79	78	76	80	74		85	80	81	82	75	94	86	67	76	79	87	88	82	81	79	78	80.1/2122:38
Chapman, Paul	81	86	88	89	79	76	75		81		88	90	93	92	83	85	85	93			37		69	77	90	81.9/1992:27
Corey, Joel	89	85	82	92	85	83	86	86	86			90	90	91	81	90	91	92	92	93	87	81	84	81	85	87.1/2428:40
Djerrkura, Nathan										80	55				59											65.0/231:44
Enright, Corey	96	93	79	94	86	93	90	89	92	91	90	87	90	91	92	81	91	94	91	91	87	79	93	90	91	89.7/2715:32
Gamble, Ryan	78	80							35		71	64			87						77	79				71.0/687:01
Gillies, Tom															82	80		82	87	84	88					83.8/594:45
Harley, Tom							80	79	86	20			76	72	85			75	88	85		84	77	79	64	74.9/1269:31
Hawkins, Tom		87	85	72	84	83	83	87	85	87	84	81	88	66	88	77	91	76	87	85	93	85	88	85	82	83.7/2427:50
Hogan, Simon		67												63	77	68	66	61	76	65		89	67			69.8/835:51
Johnson, David					73	78			84	84		77	22							76	79					71.7/695:48
Johnson, Steve	87	92	89	85	87	87	93	95	96	95	88	89	92					79	83	87				80	83	88.2/1931:46
Kelly, James	94	90	89	94	88	75	83	81	82	88	92	87	84	91								66	80	83	87	85.3/1870:26
Laidler, Jeremy															83											83.0/96:27
Ling, Cameron	96	90	70	76			86	91	89	92	92	95	84	89		79	91	84	87	84	80	80	80	83	89	85.8/2295:28
Lonergan, Tom	78			92				97			94				89	85	95		100	87						90.7/982:18
Mackie, Andrew	98	88	89	88	79	92	90	92	94	92	93	93	91	87		85	97	91	90	92	88	90	90	88	86	90.2/2624:19
Milburn, Darren	82	89	82		95	83	81	20		92	86	82	88	66		87	88	98	76		82	94	91	88	81	82.4/2090:19
Mooney, Cameron	86	90	85	81	87	88	89	88		90	91	89	92	96	97	88	89	93	81	94	96	88	92	86	88	89.3/2589:41
Mumford, Shane				59	43	56	45	52	45	64	42	42	52	47	57	68	78	70	79	53	49					55.6/1209:20
Ottens, Brad	71	15																				60	75	71	67	59.8/435:20
Rooke, Max	78	73	82	72	77	80	86	84	86	68		61	78	97	81	81	84	82	79		86	84		74	86	80.0/2139:10
Scarlett, Matthew	77	95	95	94	100	93	100	94	97	96	97	97	96	97		86	41			96	93	98	96	89	100	92.0/2463:41
Selwood, Joel	72	78	90	78	88	88	83	84	87	83	84	82	87	86	83	81	91	86	86	88	85	67	71	80	79	82.7/2503:15
Stokes, Mathew	81		78	81	82	82	81	90	87		76			74	87	84	80	85	81	82	84	86	81			82.2/1886:22
Taylor, Harry	96	81	95	83	100	92	88	92	93	86		90	85	89	100	80	56			87	87	91	93	85	89	88.0/2355:16
Tenace, Kane															61	80	68	60	67							67.2/400:13
Varcoe, Travis	70	79	82	75	76	82	81	87	89	87	84	83	89	84		85	80	71	82	44			75	85	81	79.6/2129:47
West, Trent			47																							47.0/57:26
Wojcinski, David	62	88	77	87	77	84	77	79	71	90	70				87	75	92	78	31		76	81	76	75	66	76.2/1937:57
Totals																										
Opponent	HW	RI	CW	AD	BL	ME	SY	NM	WB	ES	WC	FR	PA	SK	BL	ME	HW	AD	CA	SY	WB	FR	WB	CW	SK	
