Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Bailey, Max																					-	-	
Bateman, Chance	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	1	-	-	-	-	-	-	2
Birchall, Grant	-	-	-				-	-	-	-	-	-	-	-	-	1	-	-	-	-	1	2	4
Brown, Campbell	-	-	1	-	-	1	-	-	-	-		-	3	-	-	-	-	1	1	-	-	-	7
Campbell, Robert				-	1	1	1	-	-	2	-	-	-	-	-				2	2			9
Dew, Stuart	2	1	-	-	-	-	-	-		-	2	-											5
Dowler, Beau				-	-	-	-	-	-					-	-	-	-		1		2	-	3
Ellis, Xavier		-	-							-	-	-	-	-	-	-	-	-					
Franklin, Lance	4	-	4	4	-	1	1	1	1	2	6	-	-	-	5	-	3	-	1	1	3		37
Gilham, Stephen			-											-	1	-	-	1	-	-	-	-	2
Guerra, Brent	-	-	1	1		-		-	-	1	1	-	-	1	-	1	-	1					7
Hodge, Luke	-	1	-	1	-	1	1				2	1	-	2	-	-	-	-	1	-	-	-	10
Kennedy, Josh		-												-	-	-	-	-	-	-	1	-	1
Ladson, Rick													-	-	-								
Lewis, Jordan				-	-	2	-	-	-	-	1	-	-	-	-	-	-	-	1	-	1	1	6
McGlynn, Ben							-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	2
Milne, Riley																					-	-	
Mitchell, Sam	1	-	-	1	-	-	-	1	-	-	-	-	1	-	-	-	-	-	-	-	-	-	4
Morton, Jarryd		-	1	-	-	-		-	-	-										-			1
Moss, Garry		-	-	-	-	-	-	1	-													-	1
Murphy, Tom	-	-	-	1	-	-	2	-	-	-		-	-	-	1	-	-	-	-			-	4
Muston, Beau									1	-	-	-	-							-	-	-	1
Osborne, Michael	1					-	-	-	-	-	-	-	-	-	1	-	-		-	-	-	1	3
Renouf, Brent	-	-	-	-	-	-					-	1				-	-	1	2	1	-	-	5
Rioli, Cyril	-	-	1	-	-	-	-	-	-	-	1				-	-	-	-	-	-	1	2	5
Roughead, Jarryd	2	-	2	-	-	2	-	-	2	1	3	2	1	-	-	3	2	1	-				21
Savage, Shane																				-	1	-	1
Schoenmakers, Ryan	-	-	-								-	-	-			1	-	-	-	-	-	-	1
Sewell, Brad	-			-	-	-	-	-	-	-	-	1	-	1	-	-	-	-		-	-	1	3
Shiels, Liam										-	-			-	-	-	-	-	-	-	-	-	
Stokes, Cameron	-	-	-	-	-		-		-				-	-				-					
Suckling, Matt	-																						
Taylor, Simon	-			-	1	-	1	-	-	-	-	-	-	-	2	-	1	-	1	-			6
Thorp, Mitch		-																					
Tuck, Travis	-		-		-	-	-	-			-	-							-	-	-		
Whitecross, Brendan	-	-	-	1	-	-	-	-	-	-			-					-	-				1
Williams, Mark	-	1	1	2	-	-	-	-	1	1	1	-	-										7
Young, Clinton	-	-	-	-	-																		
Totals	10	3	11	11	2	8	6	3	5	7	18	5	5	4	10	7	6	5	11	4	10	8	159
Opponent	GE	SY	NM	PA	WC	CA	ES	FR	ME	AD	SY	BL	WC	WB	NM	CW	GE	PA	SK	AD	RI	ES	
