Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Bailey, Max																					9	-	9
Bateman, Chance	24	12	29	33	22	19	8	22	23	22	14	23	29	21	21	27	23	27	22	24	29	26	500
Birchall, Grant	29	14	26				28	22	24	25	17	18	17	13	17	22	18	28	20	20	25	23	406
Brown, Campbell	6	15	21	13	7	10	9	12	13	16		17	19	19	9	11	17	25	13	13	9	8	282
Campbell, Robert				5	12	12	7	8	10	13	6	14	13	6	8				12	10			136
Dew, Stuart	13	8	24	14	18	18	10	16		12	16	11											160
Dowler, Beau				18	11	24	18	18	12					18	15	11	14		7		14	9	189
Ellis, Xavier		19	3							29	7	33	17	19	10	23	19	13					192
Franklin, Lance	13	11	13	19	12	14	12	11	14	12	17	5	11	10	24	24	20	20	19	14	21		316
Gilham, Stephen			15											18	11	14	11	13	15	26	15	9	147
Guerra, Brent	23	12	38	14		16		14	17	18	11	27	17	12	19	24	26	21					309
Hodge, Luke	20	17	27	17	26	16	11				23	27	31	22	25	34	11	21	24	23	30	19	424
Kennedy, Josh		16												19	14	19	21	15	26	26	22	16	194
Ladson, Rick													16	16	14								46
Lewis, Jordan				24	34	27	21	23	31	31	20	32	29	23	24	29	25	21	29	33	20	22	498
McGlynn, Ben							14	21	19	15	18	5	22	13	20	18	19	21	21	38	17	17	298
Milne, Riley																					10	14	24
Mitchell, Sam	34	11	37	16	40	35	26	34	31	22	20	31	40	26	26	25	38	28	31	32	35	36	654
Morton, Jarryd		13	28	23	14	10		20	25	12										14			159
Moss, Garry		16	15	25	24	14	12	10	14													13	143
Murphy, Tom	9	3	15	17	18	21	13	15	14	18		17	12	10	13	15	18	13	17			12	270
Muston, Beau									31	26	8	16	11							18	21	15	146
Osborne, Michael	4					13	11	14	16	19	12	18	27	11	11	15	17		21	10	18	25	262
Renouf, Brent	7	10	14	7	12	6					4	10				11	8	10	7	7	5	12	130
Rioli, Cyril	10	16	18	23	17	16	22	16	16	22	4				7	14	14	21	15	14	14	18	297
Roughead, Jarryd	10	13	14	7	16	20	12	11	10	15	15	8	17	6	12	15	16	9	17				243
Savage, Shane																				7	19	15	41
Schoenmakers, Ryan	5	10	10								6	10	12			17	7	9	10	13	10	9	128
Sewell, Brad	20			28	28	32	19	29	29	31	24	28	32	29	30	25	29	18		22	26	11	490
Shiels, Liam										16	7			10	15	13	16	17	14	10	20	12	150
Stokes, Cameron	9	10	8	13	9		10		7				5	11				8					90
Suckling, Matt	14																						14
Taylor, Simon	9			7	10	7	9	5	10	10	9	14	8	4	10	11	12	10	6	8			159
Thorp, Mitch		4																					4
Tuck, Travis	31		23		18	25	19	13			18	18							25	15	21		226
Whitecross, Brendan	10	14	29	23	19	17	16	20	25	14			18					15	12				232
Williams, Mark	10	12	17	20	3	19	13	12	14	9	11	9	5										154
Young, Clinton	18	11	11	22	9																		71
Totals	328	267	435	388	379	391	320	366	405	407	287	391	408	336	355	417	399	383	383	397	410	341	8193
Opponent	GE	SY	NM	PA	WC	CA	ES	FR	ME	AD	SY	BL	WC	WB	NM	CW	GE	PA	SK	AD	RI	ES	
