Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Bailey, Max																					1	-	1
Bateman, Chance	10	4	10	4	4	3	2	8	3	3	4	7	5	4	3	5	5	6	4	9	4	8	115
Birchall, Grant	6	5	6				7	4	8	6	8	2	4	6	6	6	3	2	3	5	6	2	95
Brown, Campbell	2	5	3	6	2	2	2	3	7	3		6	9	6	3	3	7	7	3	4	2	2	87
Campbell, Robert				1	3	8	3	1	4	2	1	2	-	2	-				4	4			35
Dew, Stuart	2	2	7	2	3	3	-	2		2	6	2											31
Dowler, Beau				5	3	8	9	5	5					10	5	1	2		2		4	7	66
Ellis, Xavier		3	1							7	2	9	6	6	2	6	4	1					47
Franklin, Lance	8	7	7	8	4	4	1	4	8	3	9	3	1	3	8	5	7	4	3	4	8		109
Gilham, Stephen			4											5	3	4	3	3	5	9	-	4	40
Guerra, Brent	5	3	5	6		5		1	3	7	5	4	2	3	1	9	4	5					68
Hodge, Luke	2	6	4	3	4	2	2				6	6	2	6	1	5	1	3	4	6	4	4	71
Kennedy, Josh		4												5	5	1	1	1	3	7	3	1	31
Ladson, Rick													1	2	3								6
Lewis, Jordan				5	8	6	3	4	8	10	6	8	2	9	5	6	5	7	5	5	2	9	113
McGlynn, Ben							6	10	8	4	7	2	8	2	4	6	4	3	9	5	6	8	92
Milne, Riley																					3	4	7
Mitchell, Sam	7	-	2	2	8	6	7	10	8	1	6	6	7	5	1	4	6	2	5	7	3	8	111
Morton, Jarryd		2	6	8	9	-		6	12	2										6			51
Moss, Garry		2	5	10	9	3	6	5	3													4	47
Murphy, Tom	1	1	3	9	9	8	8	5	5	7		8	3	4	4	4	2	2	6			2	91
Muston, Beau									10	6	4	4	-							5	8	2	39
Osborne, Michael	3					6	4	4	6	8	4	5	4	3	1	4	-		5	2	4	10	73
Renouf, Brent	1	3	4	-	2	1					-	4				2	3	3	5	1	-	1	30
Rioli, Cyril	6	2	4	4	4	3	8	3	1	7	2				-	4	2	5	6	2	2	9	74
Roughead, Jarryd	6	1	7	1	2	11	8	5	4	3	6	5	4	1	4	5	6	4	4				87
Savage, Shane																				2	4	2	8
Schoenmakers, Ryan	1	2	2								2	4	2			5	3	1	1	6	1	3	33
Sewell, Brad	1			5	5	6	5	4	8	6	2	5	5	6	3	4	4	6		4	2	2	83
Shiels, Liam										6	1			1	1	3	-	3	4	3	1	2	25
Stokes, Cameron	2	1	1	6	1		2		3				2	2				2					22
Suckling, Matt	2																						2
Taylor, Simon	1			2	3	1	3	2	5	3	1	6	-	1	4	1	2	3	4	1			43
Thorp, Mitch		2																					2
Tuck, Travis	7		2		3	6	6	1			5	4							6	3	4		47
Whitecross, Brendan	6	3	10	8	8	7	6	4	14	7			4					5	4				86
Williams, Mark	3	3	10	10	-	9	4	3	7	3	7	5	-										64
Young, Clinton	6	3	3	9	2																		23
Totals	88	64	106	114	96	108	102	94	140	106	94	107	71	92	67	93	74	78	95	100	72	94	2055
Opponent	GE	SY	NM	PA	WC	CA	ES	FR	ME	AD	SY	BL	WC	WB	NM	CW	GE	PA	SK	AD	RI	ES	
