Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Adams, Leigh															-	2			5	3	4	4	18
Anthony, Liam													4	1	4	2	3	4	2	5	4	4	33
Campbell, Matt	-	4	7	1			5				3						-	2	-	1	2	3	28
Edwards, Aaron					2	3	-	1	3	3	1	3									1	1	18
Firrito, Michael	4	5	5	4	3	3	2	2	2	2	2	4	3	5	4	3	1	1	1	1	2	4	63
Garlett, Cruize												1	4	1							3	3	12
Gibson, Josh	4	-	-	-	1	1	-	2	1	2	1	1	2	2	-	2	4	1	-	1	1	6	32
Goldstein, Todd		-					-	1	1	-				1		1	-	-	2	-	-	1	7
Greenwood, Levi					2	3				1					-	2	2	2	3	2	-	3	20
Grima, Nathan								-	1		-	-	-	-	-	-		-	-	-	1	2	4
Hale, David	1	-	-	4	2	1	1	-	1	2	1		2	3	1	1	-						20
Hansen, Lachlan	-	-	-	1	3							-	3	3	3	1	3	-	-	2	-	1	20
Harding, Leigh	4	4	1	1	2	4	2	2	1	3	5	-	4	3	3	3	1	-					43
Harris, Daniel						1	-	1		-		2	2	-	1				1	4			12
Harvey, Brent	3	1	3	6	-								3	6	5	2	6	4	5	1	2	3	50
Jones, Corey			4									1	1	1	2	3	3	5	1	5			26
Lower, Ed	1	-		5	3	2	5	1													-	1	18
McIntosh, Hamish	3	2	4	1	1	2	2	1	3	4	-	2	2	1	5	4	5	2	-	-	1	2	47
McMahon, Scott	-	1	-	-	4	3	-	-	4	1	1	1	-	-	-	1	-	-	1	2	-	2	21
Obst, Alan																					-	2	2
Petrie, Drew	2	3	1	3	2	-	3	5	3	2	2	4	1	2	-	1	4	8	7	6	1	3	63
Power, Sam	4	3	4	2	2	2	3	2	4		1	1			-	6	4	2	2	3			45
Pratt, Daniel	2	3	2	3	1	-					-	-	2	2		2		1	1	2			21
Rawlings, Brady	1	3	4	-	4	2			1	2	-	1	-	3	1	2	-	-	3	2	3	2	34
Riggio, Matt								1															1
Ross, Ben							8	6	3	5	1	2	8	1			5						39
Simpson, Adam	3	7	2	1	3	4	3	3	3	2	4	2	3	4	3	2	4	4					57
Smith, Josh	-		4	1																	4	3	12
Swallow, Andrew	3	2	4	1	1	1	3	-	-	2	-	2	4	4	3	2	2	5	4	1	3	2	49
Thomas, Lindsay	6	1	1	1	4	4	1	6	5	2	3	3			2	5	5	1	5	1		2	58
Thompson, Scott	1	-	1	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	1	-	-	-	5
Urquhart, Gavin	2	4	4	2	3	6		2	2	1	-	1	3	-	2		3	1	1	1			38
Warren, Ben				1	2	1	3	3	2	5	1		-										18
Watt, Shannon						2	1														4		7
Wells, Daniel	8	5	2				3		2	6	2												28
Wright, Sam								2	1	2	1												6
Ziebell, Jack	1	1	1	4	2	4	4		-	1		2											20
Totals	53	49	54	42	47	49	49	41	43	48	29	34	52	43	39	47	55	43	45	43	36	54	995
Opponent	ME	WB	HW	ES	RI	CW	PA	GE	FR	BL	SK	AD	WB	SY	HW	RI	BL	CA	ME	WC	SK	PA	
