Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Boak, Travis	2	2	2	2	3	3	1	5	3	6	2					3	2	5	5	3	-	3	52
Broadbent, Matthew																-	1					3	4
Brogan, Dean	2		1	3	2	1	2	2	2	3	1	3	2	-	1	2		4	3	6	4	1	45
Burgoyne, Peter	1	3	5			4	3	2	-	2	1	2	3	4	2					2		5	39
Burgoyne, Shaun	-	3	-														3	1	1	2	2	2	14
Carlile, Alipate	-	1	2	4	2	-	2	-	1	1	2		1	2	-	3	2	5	-	2	2	2	34
Carr, Josh	-	2	1	1	3				3		-	4	3	2	-					-			19
Cassisi, Domenic	3	2	5		4	2	5	3	2	1	3	2	4	2	-	5	2	6	3	4	3	4	65
Chaplin, Troy	3	1	1	2	5	5	1	2	1	5	-	1	1	2			2	3	2	2	-	6	45
Cornes, Chad	3	2	1	5	4	2	2	1	-	2					6	4	1	2	2	1	3	8	49
Cornes, Kane	4	4	4	3	4	3	3	-	-	1	4	6	2	1	1	3	3	3	4	3	2	5	63
Davenport, Jason							-	1					2	2	-	2	2	4	3			2	18
Ebert, Brett	3	1	3	2	5	1	1	3	1	2	2	2	-	-	3	2	3			3	2	2	41
Gray, Robbie	1	1	-	-	-	1	1	4	3	2		2	1	1	3	-	4	3	2	1		5	35
Hartlett, Hamish				2	2	-		1	1	5								2	3	2	1	1	20
Krakouer, Nathan	1	3	1	1	2	1	-	4		2			3	2	3	-	1	3	4	5	2	2	40
Lade, Brendon	-	2	3	2	3	-	1	-	1	2	4	3	1	-	2	1	4	1	5	3	-	2	40
Logan, Tom				1	-	4	-	-	3	-	-	1	1	2	2			1	-		1		16
Lower, Nick					2						-		4			1	2						9
Meyer, Danny												3	4	1									8
Motlop, Daniel	2	2	2	4	2	2	1	-	3			1									4		23
Motlop, Marlon									1		2	-											3
Pearce, Danyle	3	3	2	5	3	3	1	1	1	3	4	1	1	1	3	2	3	2	3	1	4	1	51
Pettigrew, Michael	2	3	2	5	3	2	-	1	1	3	-	3	1		3								29
Rodan, David	4	2		1	3	1	3	-		1	1	3	5	1	4	-	3	2	2	2	1		39
Salopek, Steven	1	2	-	3	2	2	4		2	4	2	5		1	2	5	2			2			39
Salter, Nick																1		4	-		2	1	8
Stewart, Paul														3	1	-	3			3	1	-	11
Surjan, Jacob	2	1	3	3	-	2	2	2	-	2	3	1	3	1	2	1	4	3	1		1	2	39
Thomas, Matt			2	5		2	5	1	2	2								-	2	1	3	2	27
Thompson, Wade			1	4																			5
Thurstans, Toby		-									3	2	3	1	2	-	1	-	1		2		15
Tredrea, Warren	3	2	-	1	5	3	1	-	2	-	2	1	2	4	-	2	1	2	2	3	2		38
Westhoff, Justin	4	-									1	4	-	2	2	2	1	-	2	1		2	21
Westhoff, Matthew										1	3	2											6
Totals	44	42	41	59	59	44	39	33	33	50	40	52	47	35	42	39	50	56	50	52	42	61	1010
Opponent	ES	WC	ME	HW	SK	AD	NM	RI	SY	CW	FR	WB	GE	BL	ME	WC	AD	HW	FR	CA	BL	NM	
